567f46c5e1db47f28a722ce353c79b9bf85c630cd6beccd47bd09c0febb4a8cd,d34d4ec077bcf57fcf6c4ad81439a2d4369416e7069579c8382457d1c28affb3,0dd04d32e03026cd26a030c66781779f4a451c1621c608735a5ee6e680a880c7,0a72c00244aead85d9bab3084472c009a866391e449c7babe697e5322dd5e517,6df9580c1719f609ed97f834f254818daa21da45484748a5b7c4cfaab1a1e962
"隨機裝備箱","1","99002","能夠獲得隨機的裝備。","box_rank_1-3"
"RANK3～6的裝備道具","2","99002","角色於RANK1～4中必要的裝備道具","eq_rank_3-6"
"RANK4～7的裝備道具","3","99002","角色於RANK4～7中必要的裝備道具","eq_rank_4-7"
"初音的記憶碎片","4","99002","","1000120101"
"栞的記憶碎片","5","99002","","1000120102"
"禊的記憶碎片","6","99002","","1000220101"
"美美的記憶碎片","7","99002","","1000220102"
"真步的記憶碎片","8","99002","","1000320101"
"香織的記憶碎片","9","99002","","1000320102"
"可可蘿（夏日）的記憶碎片","10","99002","","1000420101"
"咲戀的記憶碎片","11","99002","","1000420102"
"RANK5～8的裝備道具","12","99002","角色於RANK5～8中必要的裝備道具","eq_rank_5-8"
"美冬（夏日）的記憶碎片","13","99002","","1000520101"
"秋乃的記憶碎片","14","99002","","1000520102"
"純的記憶碎片","15","99002","","1000620101"
"優花梨的記憶碎片","16","99002","","1000620102"
"宮子（萬聖節）的記憶碎片","17","99002","","1000720101"
"依里的記憶碎片","18","99002","","1000720102"
"杏奈的記憶碎片","19","99002","","1000820101"
"深月的記憶碎片","20","99002","","1000820102"
"胡桃（聖誕節）的記憶碎片","21","99002","","1000920101"
"望的記憶碎片","22","99002","","1000920102"
"怜（新年）的記憶碎片","23","99002","","1001020101"
"優衣的記憶碎片","24","99002","","1001020102"
"惠理子（情人節）的記憶碎片","25","99002","","1001120101"
"璃乃的記憶碎片","26","99002","","1001120102"
"真琴的記憶碎片","27","99002","","1001220101"
"雪的記憶碎片","28","99002","","1001220102"
"露的記憶碎片","29","99002","","1001320101"
"伊緒的記憶碎片","30","99002","","1001320102"
"初音的記憶碎片","31","99002","","1001420101"
"栞的記憶碎片","32","99002","","1001420102"
"空花的記憶碎片","33","99002","","1001520101"
"莫妮卡的記憶碎片","34","99002","","1001520102"
"禊的記憶碎片","35","99002","","1001620101"
"美美的記憶碎片","36","99002","","1001620102"
"隨機裝備箱","37","99002","能夠獲得隨機的裝備。","box_rank_2-4"
"隨機裝備箱","38","99002","能夠獲得隨機的裝備。","box_rank_2-5"
"隨機裝備箱","39","99002","能夠獲得隨機的裝備。","box_rank_3-6"
"隨機裝備箱","40","99002","能夠獲得隨機的裝備。","box_rank_4-5"
"隨機裝備箱","41","99002","能夠獲得隨機的裝備。","box_rank_6-7"
"隨機裝備箱","42","99002","能夠獲得隨機的裝備。","box_rank_7-8"
"隨機裝備箱","43","99002","能夠獲得隨機的裝備。","box_rank_8-10"
"隨機裝備箱","44","99002","能夠獲得隨機的裝備。","box_rank_8-11"
"隨機裝備箱","45","99002","能夠獲得隨機的裝備。","box_rank_9-12"
"拉姆的記憶碎片","46","99002","","1001720101"
"鈴莓的記憶碎片","47","99002","","1001720102"
"真步的記憶碎片","48","99002","","1001820101"
"香織的記憶碎片","49","99002","","1001820102"
"伊緒（夏日）的記憶碎片","50","99002","","1001920101"
"美咲的記憶碎片","51","99002","","1001920102"
"可可蘿（夏日）的記憶碎片","52","99002","","1002020103"
"咲戀的記憶碎片","53","99002","","1002020104"
"香織（夏日）的記憶碎片","54","99002","","1002120103"
"霞的記憶碎片","55","99002","","1002120104"
"美冬（夏日）的記憶碎片","56","99002","","1002220101"
"秋乃的記憶碎片","57","99002","","1002220102"
"流夏的記憶碎片","58","99002","","1002320101"
"碧的記憶碎片","59","99002","","1002320102"
"純的記憶碎片","60","99002","","1002420101"
"優花梨的記憶碎片","61","99002","","1002420102"
"禊（萬聖節）的記憶碎片","62","99002","","1002520101"
"鏡華的記憶碎片","63","99002","","1002520102"
"宮子（萬聖節）的記憶碎片","64","99002","","1002620101"
"依里的記憶碎片","65","99002","","1002620102"
"智的記憶碎片","66","99002","","1002720101"
"茉莉的記憶碎片","67","99002","","1002720102"
"杏奈的記憶碎片","68","99002","","1002820101"
"深月的記憶碎片","69","99002","","1002820102"
"望（聖誕節）的記憶碎片","70","99002","","1002920101"
"伊莉亞的記憶碎片","71","99002","","1002920102"
"胡桃（聖誕節）的記憶碎片","72","99002","","1003020101"
"望的記憶碎片","73","99002","","1003020102"
"鈴莓（新年）的記憶碎片","74","99002","","1003120101"
"胡桃的記憶碎片","75","99002","","1003120102"
"怜（新年）的記憶碎片","76","99002","","1003220101"
"優衣的記憶碎片","77","99002","","1003220102"
"栞（魔法少女）的記憶碎片","78","99002","","1003320101"
"靜流的記憶碎片","79","99002","","1003320102"
"惠理子（情人節）的記憶碎片","80","99002","","1003420101"
"璃乃的記憶碎片","81","99002","","1003420102"
"未央（NGs）的記憶碎片","82","99002","","1003520101"
"千歌的記憶碎片","83","99002","","1003520102"
"真琴的記憶碎片","84","99002","","1003720101"
"雪的記憶碎片","85","99002","","1003720102"
"望（聖誕節）的記憶碎片","86","99002","","1003820101"
"伊莉亞的記憶碎片","87","99002","","1003820102"
"露的記憶碎片","88","99002","","1003920101"
"伊緒的記憶碎片","89","99002","","1003920102"
"咲戀的記憶碎片","90","99002","","1004020101"
"真陽的記憶碎片","91","99002","","1004020102"
"莫妮卡的記憶碎片","92","99002","","1004120101"
"空花的記憶碎片","93","99002","","1004120102"
