4563e4f27e17dc12c2f653f4b61e06bbe59b8102cff0d1532ea1e6b6a1b549c0,8a260a6d330ef388ac03f8b477bafff6cc2b3efc98e3921d5077ac97efb4e50c,c95b71138c8e4cfdaed790d4f1074446a58768b7fd88076b2851bb9ab96f22a8,0d02dcbfe41fe002c2b2e6990c3115d80b031c5a18a8baedb1243f6f387b35aa,3620d3d7df916bc54d3429cc4da67cedbe027a66026e16654ee8afc76ff5e43b,e0d02397e5de9b6b175f2729a8c0160ee356c02f49fc0791c5e1118e0cd08153,9bfe0454dfd6f0a33f3e06f66385e9079b9f7cfd385db6022e4f0e2e7f159c11,620945de1a820aa46e99c62052b33091833209a1a58d3a8b5ef6de4b52756f74,5f946a0959fad1cfc7dae15f18ce42ef3dc59513565f40e48b0e4bab546c6717,b3925e9d4198d9b37a0f7dd7c063f1649f475753267a158c74c0c76dd486df35,133cd0e218a6500e36583994389cff368f58d1fdb8b4548b56c7cbca3c7f3a30,7ad66d0f0238c5b1dc1bcee18e0c666606c19da6561e03d04f7293cc07b111a9,b7abb7008768c18c5f396559361181b2c9a8a267b9df2997d264d18c170f6015
"0","0","0","0","10010001","10010484","1","0","57","0","1","0","0"
"1","0","0","0","10010099","10010100","1","0","59","0","2","0","10010674"
"10001","0","0","0","10010100","10010101","1","0","58","0","11","0","10010099"
"0","0","0","0","10010101","10010102","1","0","57","0","12","0","10010100"
"1","0","0","0","10010102","10010103","1","0","56","0","2","0","10010101"
"2","0","0","0","10010103","10010104","1","0","55","0","2","0","10010102"
"0","0","0","0","10010104","10010105","1","0","54","0","4","0","10010103"
"1","0","0","0","10010105","10010106","1","0","53","0","3","0","10010104"
"0","0","0","0","10010106","10010107","1","0","52","0","12","0","10010105"
"0","0","0","0","10010107","10010559","1","0","51","0","5","0","10010106"
"2","0","0","0","10010110","10010111","1","0","48","0","2","0","10010560"
"0","0","0","0","10010111","10010561","1","0","47","0","6","0","10010110"
"3","0","0","0","10010113","10010114","1","0","45","0","2","0","10010561"
"10001","0","0","0","10010114","10010562","1","0","44","0","11","0","10010113"
"0","0","0","0","10010116","10010117","1","0","42","0","4","0","10010562"
"0","0","0","0","10010117","10010118","1","0","41","0","6","0","10010116"
"3","0","0","0","10010118","10010563","1","0","40","0","3","0","10010117"
"10001","0","0","0","10010119","10010120","1","0","49","0","11","0","10010559"
"0","0","0","0","10010120","10010121","1","0","48","0","4","0","10010119"
"3","0","0","0","10010121","10010565","1","0","47","0","2","0","10010120"
"2","0","0","0","10010123","10010566","1","0","45","0","2","0","10010565"
"10003","0","0","0","10010125","10010126","1","0","43","0","7","0","10010566"
"0","0","0","0","10010126","10010127","1","0","42","0","4","0","10010125"
"10001","0","0","0","10010127","10010128","1","0","41","0","7","0","10010126"
"2","0","0","0","10010128","10010563","1","0","40","0","2","0","10010127"
