05e2f4c26386bb7ec4433e76ec202f536fb6f0b2c0c3995601bdebe3d0976d5d,792132aa4f41a5cae43d5b1a1fa7c123b8aaa121336f7d59c3950f2a67f79fe7,9526cc7f43bb1412440aef6d5e65300165c50ad8c8b3fa2d584c1aaf01606a80,6e5836f7e7a5f10c44f939a10a6ec9fc664f08ad562a3a9c62834f3715affc69,9a18d4e8477726afc2cb330215849fa3bd765aaec48c3fb37600268d03f1629b,5c481f7654ac4c5f212e9af2979a43117a58f973c8d9146b43095b37673b1267,37f67466f3d4dc5e6394fdf45899d822beb94601b7c0130a14cf25958cd33464
"1004","50","250","150","1","200","100"
"1004","80","400","240","2","320","160"
"1004","50","250","150","3","200","100"
"1004","50","250","150","5","200","100"
"1004","80","400","240","6","320","160"
"1004","1","3","1","12","2","1"
"1005","50","250","150","1","200","100"
"1005","50","250","150","3","200","100"
"1005","80","400","240","4","320","160"
"1005","50","250","150","5","200","100"
"1005","80","400","240","7","320","160"
"1005","1","3","1","13","2","1"
"1010","25","125","75","1","100","50"
"1010","40","200","120","2","160","80"
"1010","25","125","75","3","100","50"
"1010","25","125","75","5","100","50"
"1010","40","200","120","6","160","80"
"1011","25","125","75","1","100","50"
"1011","25","125","75","3","100","50"
"1011","40","200","120","4","160","80"
"1011","25","125","75","5","100","50"
"1011","40","200","120","7","160","80"
"1006","100","500","300","1","400","200"
"1006","50","250","150","2","200","100"
"1006","100","500","300","3","400","200"
"1006","100","500","300","5","400","200"
"1006","50","250","150","6","200","100"
"1006","1","3","1","12","2","1"
"1007","100","500","300","1","400","200"
"1007","100","500","300","3","400","200"
"1007","50","250","150","4","200","100"
"1007","100","500","300","5","400","200"
"1007","50","250","150","7","200","100"
"1007","1","3","1","13","2","1"
"1008","25","125","75","1","100","50"
"1008","40","200","120","2","160","80"
"1008","25","125","75","3","100","50"
"1008","25","125","75","5","100","50"
"1008","40","200","120","6","160","80"
"1008","1","3","1","14","2","1"
"1009","25","125","75","1","100","50"
"1009","25","125","75","3","100","50"
"1009","40","200","120","4","160","80"
"1009","25","125","75","5","100","50"
"1009","40","200","120","7","160","80"
"1009","1","3","1","14","2","1"
"1012","50","250","150","1","200","100"
"1012","80","400","240","2","320","160"
"1012","50","250","150","3","200","100"
"1012","50","250","150","5","200","100"
"1012","80","400","240","6","320","160"
"1012","1","5","3","12","4","2"
"1013","50","250","150","1","200","100"
"1013","50","250","150","3","200","100"
"1013","80","400","240","4","320","160"
"1013","50","250","150","5","200","100"
"1013","80","400","240","7","320","160"
"1013","1","5","3","13","4","2"
"1014","40","200","120","1","160","80"
"1014","25","125","75","2","100","50"
"1014","40","200","120","3","160","80"
"1014","40","200","120","5","160","80"
"1014","25","125","75","6","100","50"
"1015","40","200","120","1","160","80"
"1015","40","200","120","3","160","80"
"1015","25","125","75","4","100","50"
"1015","40","200","120","5","160","80"
"1015","25","125","75","7","100","50"
