442ebfcb2ab13720b56e6ebc94c59e5abf7e3a1e9b3e48fb7ea96610edaac070,cc9b354d9a77a03d51c8b957dc5116deaf4d9988552b0aaaeabfbd457de14b16,5e475a419314145a4977c103e750ff8c95acedce858f73af75ffdd9c71bbf970,5b05cd406ebcd16bf49f3128df6a7678fc2c2032de6a53e623a6434f1353a072,4c77ec697753d148e9a0e0d5c7026d4ce6ac48e8eaa10476ef7581706efa0852,64fbeabdac762fceb9a2e82407770ba8d5df88b01c966918bb08cc575c16cdd6
"2114001","1","212","1005","802100290","211"
"2114002","1","212","1006","802100290","211"
"2114003","1","212","1007","802100290","211"
"2114004","1","212","1008","802100290","211"
"2113061","0","100","100501","802100266","104"
"2113062","0","100","100502","802100266","104"
"2113063","0","102","100503","802100266","105"
"2113064","0","103","100504","802100266","106"
"2113065","0","100","100505","802100266","104"
"2113066","0","100","100506","802100266","104"
"2113067","0","102","100507","802100266","105"
"2113068","0","103","100508","802100266","106"
"2113069","0","100","100509","802100266","104"
"2113070","0","100","100510","802100266","104"
"2113071","0","100","100511","802100267","104"
"2113072","0","100","100512","802100267","104"
"2113073","0","102","100513","802100267","105"
"2113074","0","103","100514","802100267","106"
"2113075","0","100","100515","802100267","104"
"2113076","0","100","100516","802100267","104"
"2113077","0","102","100517","802100267","105"
"2113078","0","103","100518","802100267","106"
"2113079","0","100","100519","802100267","104"
"2113080","0","100","100520","802100267","104"
"2113081","0","100","100521","802100268","104"
"2113082","0","100","100522","802100268","104"
"2113083","0","102","100523","802100268","105"
"2113084","0","103","100524","802100268","106"
"2113085","0","100","100525","802100268","104"
"2113086","1","112","100526","802100268","208"
"2113087","1","110","100527","802100268","201"
"2113088","0","100","100528","802100268","104"
"2113089","0","102","100529","802100268","105"
"2113090","0","103","100530","802100268","106"
"2113031","1","114","100601","802100263","203"
"2113032","1","113","100602","802100263","202"
"2113033","0","102","100603","802100263","105"
"2113034","0","103","100604","802100263","106"
"2113035","1","114","100605","802100263","203"
"2113036","1","113","100606","802100263","202"
"2113037","1","111","100607","802100263","204"
"2113038","1","113","100608","802100263","202"
"2113039","1","113","100609","802100263","202"
"2113040","0","103","100610","802100263","106"
"2113041","1","114","100611","802100264","203"
"2113042","1","113","100612","802100264","202"
"2113043","0","102","100613","802100264","105"
"2113044","0","103","100614","802100264","106"
"2113045","1","114","100615","802100264","203"
"2113046","1","113","100616","802100264","202"
"2113047","1","111","100617","802100264","204"
"2113048","1","113","100618","802100264","202"
"2113049","1","113","100619","802100264","202"
"2113050","0","103","100620","802100264","106"
"2113051","0","102","100621","802100265","105"
"2113052","1","114","100622","802100265","203"
"2113053","1","113","100623","802100265","202"
"2113054","1","111","100624","802100265","204"
"2113055","0","103","100625","802100265","106"
"2113056","1","112","100626","802100265","208"
"2113057","1","110","100627","802100265","201"
"2113058","1","114","100628","802100265","203"
"2113059","1","113","100629","802100265","202"
"2113060","0","103","100630","802100265","106"
"2113091","1","112","100701","802100269","205"
"2113092","1","112","100702","802100269","206"
"2113093","0","117","100703","802100269","102"
"2113094","0","102","100704","802100269","105"
"2113095","0","102","100705","802100269","105"
"2113096","1","113","100706","802100269","202"
"2113097","1","114","100707","802100269","203"
"2113098","0","117","100708","802100269","102"
"2113099","0","102","100709","802100269","105"
"2113100","1","113","100710","802100269","202"
"2115001","1","112","100711","802100270","205"
"2115002","0","117","100712","802100270","102"
"2115003","0","102","100713","802100270","105"
"2115004","0","103","100714","802100270","106"
"2115005","1","114","100715","802100270","203"
"2115006","1","113","100716","802100270","202"
"2115007","1","112","100717","802100270","207"
"2115008","0","102","100718","802100270","105"
"2115009","0","103","100719","802100270","106"
"2115010","1","113","100720","802100270","202"
"2115011","1","112","100721","802100271","205"
"2115012","1","112","100722","802100271","208"
"2115013","0","117","100723","802100271","102"
"2115014","0","102","100724","802100271","105"
"2115015","0","103","100725","802100271","106"
"2115016","1","112","100726","802100271","208"
"2115017","1","110","100727","802100271","201"
"2115018","0","117","100728","802100271","102"
"2115019","0","102","100729","802100271","105"
"2115020","0","103","100730","802100271","106"
"2113001","0","104","100801","802100260","103"
"2113002","0","100","100802","802100260","104"
"2113003","0","100","100803","802100260","104"
"2113004","0","102","100804","802100260","105"
"2113005","0","102","100805","802100260","105"
"2113006","0","100","100806","802100260","104"
"2113007","0","100","100807","802100260","104"
"2113008","0","102","100808","802100260","105"
"2113009","0","102","100809","802100260","105"
"2113010","0","101","100810","802100260","107"
"2113011","0","104","100811","802100261","103"
"2113012","0","100","100812","802100261","104"
"2113013","0","100","100813","802100261","104"
"2113014","0","102","100814","802100261","105"
"2113015","0","103","100815","802100261","106"
"2113016","0","100","100816","802100261","104"
"2113017","0","100","100817","802100261","104"
"2113018","0","102","100818","802100261","105"
"2113019","0","103","100819","802100261","106"
"2113020","0","100","100820","802100261","104"
"2113021","0","104","100821","802100262","103"
"2113022","0","100","100822","802100262","104"
"2113023","0","100","100823","802100262","104"
"2113024","0","102","100824","802100262","105"
"2113025","0","102","100825","802100262","105"
"2113026","1","112","100826","802100262","208"
"2113027","1","110","100827","802100262","201"
"2113028","0","102","100828","802100262","105"
"2113029","0","103","100829","802100262","106"
"2113030","0","104","100830","802100262","103"
