fc1e971c87060357ddd434c8e251173d2d43a692ed9bb855d4de2cbc2d6ac71b,b5adc270992ab9823f67c08a202faf836073c89bddcd05671ce1f748cae9f03a,65debae19dd2efe3bb548454881b482ebef6cbf9ac5ae346df3fd6c01421cb1f,794a931e657401f437cf68fe42db106ae71f96f3fe690cd740dae720089fb6cd,9d9124fe15dfa6f85dceb1a20ec5bc408253793944d42bb046938cc93b9785c9,418d2f5c7292f04dfc2b9a2e2fbd96d1fc7d4d5e64e9586a200c12aab5182e9a,bf897a77fc2d99e1b22698ce14f88614d79398c30eaafc2620c748c4e10231f9,c55c1f357d94962708785d91395a780679535dca7effc8a9a0e12cae2dbe6647,35fae51dd26d0d606fb3adbf67fc6127b2f8a5282cbb8145d1281b45f729c3c7
"100111","5000","50","0","0","0","0","20000","30000"
"100112","5000","50","0","0","0","0","20000","30000"
"100113","5000","50","0","0","0","0","20000","30000"
"100121","12500","125","0","0","0","0","30000","45000"
"100122","12500","125","0","0","0","0","30000","45000"
"100123","12500","125","0","0","0","0","30000","45000"
"100131","20000","200","0","0","0","0","40000","60000"
"100132","20000","200","0","0","0","0","40000","60000"
"100133","20000","200","0","0","0","0","40000","60000"
"100211","5000","50","0","0","0","0","20000","30000"
"100212","5000","50","0","0","0","0","20000","30000"
"100213","5000","50","0","0","0","0","20000","30000"
"100221","12500","125","0","0","0","0","30000","45000"
"100222","12500","125","0","0","0","0","30000","45000"
"100223","12500","125","0","0","0","0","30000","45000"
"100231","20000","200","0","0","0","0","40000","60000"
"100232","20000","200","0","0","0","0","40000","60000"
"100233","20000","200","0","0","0","0","40000","60000"
"100311","5000","50","0","0","0","0","20000","30000"
"100312","5000","50","0","0","0","0","20000","30000"
"100313","5000","50","0","0","0","0","20000","30000"
"100321","12500","125","0","0","0","0","30000","45000"
"100322","12500","125","0","0","0","0","30000","45000"
"100323","12500","125","0","0","0","0","30000","45000"
"100331","20000","200","0","0","0","0","40000","60000"
"100332","20000","200","0","0","0","0","40000","60000"
"100333","20000","200","0","0","0","0","40000","60000"
"100411","5000","50","0","0","0","0","20000","30000"
"100412","5000","50","0","0","0","0","20000","30000"
"100413","5000","50","0","0","0","0","20000","30000"
"100421","12500","125","0","0","0","0","30000","45000"
"100422","12500","125","0","0","0","0","30000","45000"
"100423","12500","125","0","0","0","0","30000","45000"
"100431","20000","200","0","0","0","0","40000","60000"
"100432","20000","200","0","0","0","0","40000","60000"
"100433","20000","200","0","0","0","0","40000","60000"
