0847aba825e9f1733ad13091f52a60674fdd5b9ee7b8c7111e5bc8d73e91cafe,e1832908063293299af627c9dc5ba768ce318f1248981adbcbfe589c5bb84beb,06c03c1fa4c8435d62962021ffc1668508e5241c2181797326f45cbc50ad8ec3,dded3c938f65063803c963d43c579a75d664e1385fcbd636b29aec2a1ac99de8,c9de2787634ac95403a4d604839821acc22fd80730af133a2e979d03bf244e0f,540fe3f2a30d6a6075f201f71c5cf2f19a39155d3d0ae95dd73a5c5d09b780cc,84a4cfab5fb8ca491332c87d9bcadd48b140f977260127f44ceea5af05238ff9,9b927ede514eb7b7556acbcf924c4bb3f25d1f4073d33e780e0b189ec3af7f9b,95deca13c33664f557f41855ec4d31a7dfe96b46675a2e1b88ef754f766c3ae4,ea870a143e1145ace0ede91e463bcc43251f9cf030a01325ab7547da6a834306,4005bc15f65d2e7bb8df0e388a7b77bb129f85c207e86bbd63d14470ead9e09f,5ea9a0cdcea35d5da465b9fdc4597b27421993bbcb96474ad64042e585882e40,ecbfdcbf8c0c4ef6b2777eab2060f4ed6ad5e6fcf4da9eb0632c4e47fd21e054,bca980294255053c683793fca6772431c56221115a79effb293aeee8e6a0e251,939f0a4d479b6f8a2a30faf8acdb66cc1cb72e2cb17b11cb71c9543a603d61f0,c4fd3a912be3b1583f6da1f5d42de25fe415986bd9996cb44905545614bed850
"0","20000","0","0","0","收集 15 種布丁","1","1","15","0","0","0","12","94002","0","0"
"0","30000","0","0","0","收集 30 種布丁","1","2","30","0","0","0","12","94002","0","0"
"0","50","0","0","0","收集 40 種布丁","1","3","40","0","0","0","8","91002","0","0"
"0","50000","0","0","0","收集 50 種布丁","1","4","50","0","0","0","12","94002","0","0"
"0","50","0","0","0","收集 55 種布丁","1","5","55","0","0","0","8","91002","0","0"
"0","100000","0","0","0","收集 60 種布丁","1","6","60","0","0","0","12","94002","0","0"
"0","1","0","91002","8","收集所有 66 種布丁","1","7","66","0","100","0","15","11001164","0","0"
"0","50000","0","0","0","完成 25％ 布丁筆記本","2","8","25","0","0","0","12","94002","0","0"
"0","50","0","0","0","完成 50％ 布丁筆記本","2","9","50","0","0","0","8","91002","0","0"
"0","100000","0","0","0","完成 75％ 布丁筆記本","2","10","75","0","0","0","12","94002","0","0"
"100","1","0","11001165","15","完成 100％ 布丁筆記本","2","11","100","8","1","91002","16","9000100","0","0"
