af6c68fda9c48d07937971784e0ee7a4417d4072b2cc8ca5646bbdda4109c6e9,b6645f91b5af7b45beaf83d4577dc6da04e1450290264caef523e324ab5268af,4753651fa26d51e6824db2d5063947710bd974f21fa9f61c58a1864038eaf98c,3c4257e15be27ac12482c55357b85f091089878c7cb2b2bc73ce78be65d8303f,58bcb7ec4f904fe591806632d921bf813c753fa1b1b97d4e8951d6f6d30640f7,bfddf2c90d6874b9293721da459135a248fbdfdbd6fd681affc08184626e93dd,fc6c3e5ad508583596af4ca59b02ced1641ae1a1fd432cf54c926f1465a605dc,359c04d86b702642f98316543fad6dc0a88abae9868e3758846345a40c1ef965,6153b59df48ed0ce0c5979b8d7bca15b667a09dd852f77771c0f311b91d25849,5c4b5914e3d2a582ebdbdca78c4a1b7e434bb4d8ed7cac58ba4882c4bdae6ce4,af697cce7f94e208e0891f21ae6cf939816741a3511bb780948ac19ac2145b0c
"1.65","-175","1010001","100","1","pkb_idle_normal","113511","1","64","1","1"
"0.2","","1010002","1","113511","","pkb_talk_wish","3","","1",""
"","","1010003","0","vo_minigame_1006","","vo_minigame_1006_top_101","21","0","1",""
"0","0","1010004","8","113511","0","今天也和老師\n一起努力加油吧～","11","0","1","0"
"","","1010005","","0","","","91","","1",""
"0.2","","1010006","1","113511","","pkb_idle_normal","3","","1",""
"1.65","-175","1020001","100","1","pkb_idle_normal","113511","1","64","2","1"
"0.2","","1020002","1","113511","","pkb_talk_wish","3","","2",""
"","","1020003","0","vo_minigame_1006","","vo_minigame_1006_top_102","21","0","2",""
"0","0","1020004","6","113511","0.5","老師很相信\n大家的實力喔～！\n要加油喲～♪","11","0","2","0"
"","","1020005","","6","","","93","","2",""
"0.2","1","1020006","0","113511","","pkb_talk_fun","3","pkb_idle_normal","2",""
"","","1020007","","1020004","","","91","","2",""
"0.2","","1020008","1","113511","","pkb_idle_normal","3","","2",""
"1.65","-175","1030001","100","1","pkb_idle_normal","113511","1","64","3","1"
"0.2","1","1030002","0","113511","","pkb_smile","3","pkb_idle_normal","3","0.2"
"","","1030003","0","vo_minigame_1006","","vo_minigame_1006_top_103","21","0","3",""
"0","0","1030004","6","113511","0","要小心別受傷喔，\n不可以勉強自己～♪","11","0","3","0"
"","","1030005","","2","","","93","","3",""
"0.2","","1030006","1","113511","","pkb_talk_wish","3","","3",""
"","","1030007","","1030004","","","91","","3",""
"0.2","","1030008","1","113511","","pkb_idle_normal","3","","3",""
"57","-155","1040001","100","3","pkb_idle_normal_l","3","5","64","4","1"
"0.2","1","1040002","0","3","","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","4","0.2"
"","","1040003","0","vo_minigame_1006","","vo_minigame_1006_top_601","21","0","4",""
"0","0","1040004","8","3","0","今天的練習\n我也不會手下留情的！\n好好跟上我吧！","11","0","4",""
"","","1040005","","0","","","91","","4",""
"0.2","","1040006","1","3","","pkb_idle_normal_l","3","","4",""
"57","-155","1050001","100","3","pkb_idle_normal_l","3","5","64","5","1"
"0.2","1","1050002","0","3","","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","5","0.2"
"","","1050003","0","vo_minigame_1006","","vo_minigame_1006_top_602","21","0","5",""
"0","0","1050004","8","3","0","很好！\n提起幹勁\n開始練習吧──！","11","0","5",""
"","","1050005","","2","","","93","","5",""
"0.2","1","1050006","0","3","","pkb_talk_handsup_l","3","pkb_idle_normal_l","5","0.2"
"","","1050007","","1050004","","","91","","5",""
"0.2","","1050008","1","3","","pkb_idle_normal_l","3","","5",""
"57","-155","1060001","100","3","pkb_idle_normal_l","3","5","64","6","1"
"0.2","1","1060002","0","3","","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","6","0.2"
"","","1060003","0","vo_minigame_1006","","vo_minigame_1006_top_603","21","0","6",""
"0","0","1060004","8","3","0","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！","11","0","6",""
"","","1060005","","3","","","93","","6",""
"0.2","1","1060006","0","3","","pkb_talk_guts_l","3","pkb_idle_guts_l","6",""
"","","1060007","","1060004","","","91","","6",""
"0.2","","1060008","1","3","","pkb_idle_normal_l","3","","6",""
"1.65","-175","1070001","100","1","pkb_idle_normal","113411","1","64","7","1"
"0.2","1","1070002","0","113411","","pkb_talk_fun","3","pkb_talk_joy1","7","0.2"
"","","1070003","0","vo_minigame_1006","","vo_minigame_1006_top_201","21","0","7",""
"0","0","1070004","8","113411","0","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！","11","0","7","0"
"","","1070005","","3.4","","","93","","7",""
"0.2","1","1070006","0","113411","","pkb_talk_handsup","3","pkb_idle_normal","7","0.2"
"","","1070007","","1070004","","","91","","7",""
"0.2","","1070008","1","113411","","pkb_idle_normal","3","","7",""
"1.65","-175","1080001","100","1","pkb_idle_normal","113411","1","64","8","1"
"0.2","","1080002","1","113411","","pkb_talk_joy2","3","","8",""
"","","1080003","0","vo_minigame_1006","","vo_minigame_1006_top_202","21","0","8",""
"0","0","1080004","8","113411","-1","初音也要一起\n幫忙練習～！\n閃亮亮～☆","11","0","8","0"
"","","1080005","","3.6","","","93","","8",""
"0.2","","1080006","0","113411","","pkb_hatsune_kiran","3","","8",""
"","","1080007","","1080004","","","91","","8",""
"0.2","","1080008","1","113411","","pkb_idle_normal","3","","8",""
"1.65","-175","1090001","100","1","pkb_idle_normal","113411","1","64","9","1"
"0.2","","1090002","1","113411","","pkb_talk_joy2","3","","9",""
"","","1090003","0","vo_minigame_1006","","vo_minigame_1006_top_203","21","0","9",""
"0","0","1090004","6","113411","0","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！","11","0","9","0"
"","","1090005","","3","","","93","","9",""
"0.2","1","1090006","0","113411","","pkb_surprise","3","pkb_idle_surprise1","9","0.2"
"","","1090007","","1","","","93","","9",""
"0.2","","1090008","1","113411","","pkb_talk_joy3","3","","9",""
"","","1090009","","1090004","","","91","","9",""
"0.2","","1090010","1","113411","","pkb_idle_normal","3","","9",""
"1.65","-175","1100001","100","1","pkb_idle_normal","106531","1","64","10","1"
"0.2","1","1100002","0","106531","","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","10",""
"","","1100003","0","vo_minigame_1006","","vo_minigame_1006_top_301","21","0","10",""
"0","0","1100004","8","106531","0","欸，趕快開始練習吧，\n我已經按捺不住，\n好想趕快投球啊！","11","0","10","0"
"","","1100005","","2.8","","","93","","10",""
"0.2","","1100006","1","106531","","pkb_talk_joy1","3","","10",""
"","","1100007","","1100004","","","91","","10",""
"0.2","","1100008","1","106531","","pkb_idle_normal","3","","10",""
"1.65","-175","1110001","100","1","pkb_idle_normal","106531","1","64","11","1"
"0.2","","1110002","1","106531","","pkb_talk_normal","3","","11",""
"","","1110003","0","vo_minigame_1006","","vo_minigame_1006_top_302","21","0","11",""
"0","0","1110004","8","106531","0","老娘的特訓可不是\n鬧著玩的，做好\n心理準備了吧？","11","0","11","0"
"","","1110005","","3.2","","","93","","11",""
"0.2","1","1110006","0","106531","","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","11","0.2"
"","","1110007","","1110004","","","91","","11",""
"0.2","","1110008","1","106531","","pkb_idle_normal","3","","11",""
"1.65","-175","1120001","100","1","pkb_idle_normal","106531","1","64","12","1"
"0.2","1","1120002","0","106531","","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","12","0.2"
"","","1120003","0","vo_minigame_1006","","vo_minigame_1006_top_303","21","0","12",""
"0","0","1120004","8","106531","0.5","你們的氣勢可不是\n只有嘴上功夫吧？\n展現給我看看！","11","0","12","0"
"","","1120005","","3.2","","","93","","12",""
"0.2","1","1120006","0","106531","","pkb_talk_doya","3","pkb_idle_doya","12",""
"","","1120007","","1120004","","","91","","12",""
"0.2","","1120008","1","106531","","pkb_idle_normal","3","","12",""
"1.65","-175","1130001","100","1","pkb_idle_normal","102311","1","64","13","1"
"0.2","1","1130002","0","102311","","pkb_talk_fun","3","pkb_talk_joy1","13","0.4"
"","","1130003","0","vo_minigame_1006","","vo_minigame_1006_top_401","21","0","13",""
"0","0","1130004","8","102311","0","今天也要打很多球！\n一起加油吧，\n噗吉！","11","0","13","0"
"","","1130005","","1130004","","","91","","13",""
"0.2","","1130006","1","102311","","pkb_idle_normal","3","","13",""
"1.65","-175","1140001","100","1","pkb_idle_normal","102311","1","64","14","1"
