92a77eeb9e3fdac6a87ba9b266c1ae995026dbb5cb9285aad79d2e4abbd863a7,da5da3e2ffa0ea06e0b31a06beda74dafcb55c6afbd3424f065d7aa89e74d392,e832c0c5a61dc75df15b67205eea84995a50c781f287176e4d955210d91306a6,268dd0b9e3ce138413bd68fb9202204f61f0651d9f6a7ef2b40c6164a9a1223c,279ae35b87c962ee85221c5a2c12c372ebad0d82a01eb18ceb7c162df31d1642,0b64d7bbf484b6656fb542ac6e86eba8abe16486d9a6c2dffce5bebadc307dd7,4a54900e9b4f1e499d5b416d5a4cafeb8ecaeb78cca577c58ca63e126518e906,2ca58603b41615da2f21337e0a306a281a53bae44afbbd67e0f3d0ef07a403ac,ded148c683a1b8ffc9c4d749ac420349da8f81e651d13fc1b8c4c2b5336cd646
"1","1","6","-1","2030/12/31 23:59:59","100","93001","2018/01/01 05:00:00","18001001"
"2","1","6","-1","2030/12/31 23:59:59","100","93001","2018/01/01 05:00:00","18001002"
"3","1","5","-1","2021/02/09 04:59:59","30","0","2018/01/01 05:00:00","11001001"
"4","1","12","-1","2021/02/09 04:59:59","30000","94002","2018/01/01 05:00:00","11001001"
"5","1","8","-1","2021/02/09 04:59:59","10","91002","2018/01/01 05:00:00","11001001"
"6","1","5","-1","2021/02/09 04:59:59","40","0","2018/01/01 05:00:00","11003001"
"7","1","2","-1","2021/02/09 04:59:59","2","20002","2018/01/01 05:00:00","11003001"
"8","1","8","-1","2021/02/09 04:59:59","10","91002","2018/01/01 05:00:00","11003001"
"9","1","5","-1","2021/02/09 04:59:59","20","0","2018/01/01 05:00:00","13002001"
"10","1","5","-1","2021/02/09 04:59:59","20","0","2018/01/01 05:00:00","18004001"
"11","1","5","-1","2021/02/09 04:59:59","25","0","2018/01/01 05:00:00","16006001"
"12","1","5","-1","2021/02/09 04:59:59","25","0","2018/01/01 05:00:00","16007001"
"13","1","2","-1","2021/02/09 04:59:59","3","22001","2018/01/01 05:00:00","16007001"
"14","1","5","-1","2021/02/09 04:59:59","30","0","2018/01/01 05:00:00","11004001"
"15","1","2","-1","2021/02/09 04:59:59","2","20002","2018/01/01 05:00:00","11004001"
"16","1","2","-1","2021/02/09 04:59:59","500","90007","2018/01/01 05:00:00","11004001"
"17","1","5","-1","2021/02/09 04:59:59","40","0","2018/01/01 05:00:00","11005001"
"18","1","12","-1","2021/02/09 04:59:59","30000","94002","2018/01/01 05:00:00","11005001"
"19","1","2","-1","2021/02/09 04:59:59","500","90007","2018/01/01 05:00:00","11005001"
"20","1","5","-1","2030/12/31 23:59:59","30","0","2018/01/01 05:00:00","11006001"
"21","1","2","-1","2030/12/31 23:59:59","2","20003","2018/01/01 05:00:00","11006001"
"22","1","5","-1","2023/04/17 04:59:59","30","0","2018/01/01 05:00:00","15004001"
"23","1","2","-1","2023/04/17 04:59:59","100","90007","2018/01/01 05:00:00","15004001"
"24","1","5","-1","2021/02/09 04:59:59","40","0","2018/01/01 05:00:00","14001001"
"25","1","12","-1","2021/02/09 04:59:59","80000","94002","2018/01/01 05:00:00","14001001"
"26","1","2","-1","2021/02/09 04:59:59","2","20003","2018/01/01 05:00:00","14001001"
"27","1","5","-1","2021/02/09 04:59:59","50","0","2018/01/01 05:00:00","14003001"
"28","1","12","-1","2021/02/09 04:59:59","140000","94002","2018/01/01 05:00:00","14003001"
"29","1","2","-1","2021/02/09 04:59:59","4","22002","2018/01/01 05:00:00","14003001"
"30","1","8","-1","2030/12/31 23:59:59","30","91002","2018/01/01 05:00:00","21001001"
"31","1","12","-1","2030/12/31 23:59:59","2000","94002","2018/01/01 05:00:00","21001001"
"33","1","8","-1","2030/12/31 23:59:59","30","91002","2018/01/01 05:00:00","21001002"
"34","1","2","-1","2030/12/31 23:59:59","2","22001","2018/01/01 05:00:00","21001002"
"36","1","8","-1","2030/12/31 23:59:59","30","91002","2018/01/01 05:00:00","21001003"
"37","1","2","-1","2030/12/31 23:59:59","1","22002","2018/01/01 05:00:00","21001003"
"39","1","8","-1","2030/12/31 23:59:59","30","91002","2018/01/01 05:00:00","21001004"
"40","1","2","-1","2030/12/31 23:59:59","1","22003","2018/01/01 05:00:00","21001004"
"42","1","8","-1","2030/12/31 23:59:59","90","91002","2018/01/01 05:00:00","21001005"
"43","1","2","-1","2030/12/31 23:59:59","2","22003","2018/01/01 05:00:00","21001005"
"45","1","8","-1","2030/12/31 23:59:59","60","91002","2018/01/01 05:00:00","21002001"
"46","1","12","-1","2030/12/31 23:59:59","4000","94002","2018/01/01 05:00:00","21002001"
"48","1","8","-1","2030/12/31 23:59:59","60","91002","2018/01/01 05:00:00","21002002"
"49","1","2","-1","2030/12/31 23:59:59","4","22001","2018/01/01 05:00:00","21002002"
"51","1","8","-1","2030/12/31 23:59:59","60","91002","2018/01/01 05:00:00","21002003"
"52","1","2","-1","2030/12/31 23:59:59","2","22002","2018/01/01 05:00:00","21002003"
"54","1","8","-1","2030/12/31 23:59:59","60","91002","2018/01/01 05:00:00","21002004"
