64924a82641b8a93bc6c3dd703eb6def38e65a22aa087c9840039c553ef8f883,6394118c7510d8a8bfbe750f2a65a8ef9b0d6982531da52df10d86b9e0767ee1,4408a19e2af0864101903317853b6e28910fe069a3cc1ead55aa0f31d71a2663,0d2659d77115496b07d4af114a1f6eeb9961321ab7ff32a66be71b63316532ff,f13bc72d0e9c35655022046d6e7f4b4a07d9082a6e024933d5bff61153363bee,0f49e02f315953e70956f49b9665abbae66411744dee99402fb3370dfad50f89,9ab60a31967df7d7b1ef327b5661d82b06732b4c3b82fd5dff231e971ad1c05a,c36cc13bad8c71323644ece7b5977110cfc4783b8d0e851a70638104c8e31817,0fd58aa5401c6ce8d19032690cd23a574df9689b4a8493f6182ba1c05fa417c5,d574561c5dde8ccd19398b74d0ca00c1e07d2bf3440e4e7dea35d933994a5522,6a2f47cc3073650d039b859e1524695b9581b2173a6658598dd48935532523c7
"10000101","2021/12/17 16:00:00","1000","10000101","2021/12/24 15:59:59","0","10","7000","1","進行1場戰鬥","0"
"10000102","2021/12/17 16:00:00","1000","10000102","2021/12/24 15:59:59","0","10","7000","5","進行5場戰鬥","0"
"10000103","2021/12/17 16:00:00","1000","10000103","2021/12/24 15:59:59","0","10","7000","10","進行10場戰鬥","0"
"10000104","2021/12/17 16:00:00","1000","10000104","2021/12/24 15:59:59","0","10","7000","15","進行15場戰鬥","0"
"10000105","2021/12/17 16:00:00","1000","10000105","2021/12/24 15:59:59","0","10","7000","20","進行20場戰鬥","0"
"10000106","2021/12/17 16:00:00","1000","10000106","2021/12/24 15:59:59","0","10","7000","25","進行25場戰鬥","0"
"10000107","2021/12/17 16:00:00","1000","10000107","2021/12/24 15:59:59","0","10","7000","30","進行30場戰鬥","0"
"10000108","2021/12/17 16:00:00","1000","10000108","2021/12/24 15:59:59","0","10","7000","35","進行35場戰鬥","0"
"10000109","2021/12/17 16:00:00","1000","10000109","2021/12/24 15:59:59","0","10","7000","40","進行40場戰鬥","0"
"10050501","2021/12/17 16:00:00","1005","10050501","2021/12/24 15:59:59","0","50","7001","3000000","對美空造成300萬累積傷害","1005"
"10050502","2021/12/17 16:00:00","1005","10050502","2021/12/24 15:59:59","0","50","7001","9000000","對美空造成900萬累積傷害","1005"
"10050503","2021/12/17 16:00:00","1005","10050503","2021/12/24 15:59:59","0","50","7001","15000000","對美空造成1500萬累積傷害","1005"
"10050511","2021/12/17 16:00:00","1005","10050511","2021/12/24 15:59:59","1000000","51","7002","1","在1場戰鬥中對美空造成100萬傷害","1005"
"10050512","2021/12/17 16:00:00","1005","10050512","2021/12/24 15:59:59","3000000","51","7002","1","在1場戰鬥中對美空造成300萬傷害","1005"
"10060601","2021/12/17 16:00:00","1006","10060601","2021/12/24 15:59:59","0","60","7001","5000000","對蘭法造成500萬累積傷害","1006"
"10060602","2021/12/17 16:00:00","1006","10060602","2021/12/24 15:59:59","0","60","7001","15000000","對蘭法造成1500萬累積傷害","1006"
"10060603","2021/12/17 16:00:00","1006","10060603","2021/12/24 15:59:59","0","60","7001","24000000","對蘭法造成2400萬累積傷害","1006"
"10060611","2021/12/17 16:00:00","1006","10060611","2021/12/24 15:59:59","2000000","61","7002","1","在1場戰鬥中對蘭法造成200萬傷害","1006"
"10060612","2021/12/17 16:00:00","1006","10060612","2021/12/24 15:59:59","5000000","61","7002","1","在1場戰鬥中對蘭法造成500萬傷害","1006"
"10070701","2021/12/17 16:00:00","1007","10070701","2021/12/24 15:59:59","0","70","7001","3000000","對阿澤爾德造成300萬累積傷害","1007"
"10070702","2021/12/17 16:00:00","1007","10070702","2021/12/24 15:59:59","0","70","7001","9000000","對阿澤爾德造成900萬累積傷害","1007"
"10070703","2021/12/17 16:00:00","1007","10070703","2021/12/24 15:59:59","0","70","7001","15000000","對阿澤爾德造成1500萬累積傷害","1007"
"10070711","2021/12/17 16:00:00","1007","10070711","2021/12/24 15:59:59","1000000","71","7002","1","在1場戰鬥中對阿澤爾德造成100萬傷害","1007"
"10070712","2021/12/17 16:00:00","1007","10070712","2021/12/24 15:59:59","3000000","71","7002","1","在1場戰鬥中對阿澤爾德造成300萬傷害","1007"
"10080801","2021/12/17 16:00:00","1008","10080801","2021/12/24 15:59:59","0","80","7001","5000000","對卡里莎造成500萬累積傷害","1008"
"10080802","2021/12/17 16:00:00","1008","10080802","2021/12/24 15:59:59","0","80","7001","15000000","對卡里莎造成1500萬累積傷害","1008"
"10080803","2021/12/17 16:00:00","1008","10080803","2021/12/24 15:59:59","0","80","7001","24000000","對卡里莎造成2400萬累積傷害","1008"
"10080811","2021/12/17 16:00:00","1008","10080811","2021/12/24 15:59:59","2000000","81","7002","1","在1場戰鬥中對卡里莎造成200萬傷害","1008"
"10080812","2021/12/17 16:00:00","1008","10080812","2021/12/24 15:59:59","5000000","81","7002","1","在1場戰鬥中對卡里莎造成500萬傷害","1008"
