fd1a58d3770148f39e4a7c56b56246ef5952c6ebecf7742f7951cd891389d0f3,eb89d5ef36e9affd5f0b3ee06c14160559c12a78c3d8e740852b7ea2a2465668,ebec3772021c9dafb12ce62675e07f5c17a106cdecf0b390876466b2d07ae0e1,d2840e9026022a1b567939d1e411c82585131b5a9ecf24ad272e14aa5c35721a,9b2945576d3839671aec809bf17beaa23b76bf95ef9426d86edb52e5ec96e2e0,19a9e8721fa3ef6db8bd4c0026495acc0961aad937dda9693dbf6c71e304ee10,40a073d6668b99f0f8d8001bd3ebb3b92c43df14c1c9a992694dd57b865cb88c,d6c13cd2bd059321538c57533476b994d32314bc50c48b3e584988a4bf0b31f3
"1","未鑑定的\n平凡寶物","100","1","53001","未鑑定的平凡寶物","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","200"
"1","未鑑定的\n貴重寶物","200","2","53002","未鑑定的貴重寶物","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","400"
"1","未鑑定的\n頂級寶物","400","3","53003","未鑑定的頂級寶物","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。","800"
"0","平凡寶石","100","1","53004","平凡寶石","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200"
"0","貴重寶石","200","2","53005","貴重寶石","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400"
"0","頂級寶石","400","3","53006","頂級寶石","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800"
"0","平凡金屬塊","100","1","53007","平凡金屬塊","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200"
"0","貴重金屬塊","200","2","53008","貴重金屬塊","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400"
"0","頂級金屬塊","400","3","53009","頂級金屬塊","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800"
"0","平凡卷軸","100","1","53010","平凡卷軸","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200"
"0","貴重卷軸","200","2","53011","貴重卷軸","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400"
"0","頂級卷軸","400","3","53012","頂級卷軸","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800"
"0","平凡皇冠","100","1","53013","平凡皇冠","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200"
"0","貴重皇冠","200","2","53014","貴重皇冠","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400"
"0","頂級皇冠","400","3","53015","頂級皇冠","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800"
"0","平凡符文","100","1","53016","平凡符文","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200"
"0","貴重符文","200","2","53017","貴重符文","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400"
"0","頂級符文","400","3","53018","頂級符文","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800"
"0","平凡王冠","100","1","53019","平凡王冠","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200"
"0","貴重王冠","200","2","53020","貴重王冠","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400"
"0","頂級王冠","400","3","53021","頂級王冠","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800"
"0","平凡古遺物","100","1","53022","平凡古遺物","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","200"
"0","貴重古遺物","200","2","53023","貴重古遺物","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","400"
"0","頂級古遺物","400","3","53024","頂級古遺物","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","800"
