55d1a8034ae43d8d37e7686b64ddac3814b43a957d41aaa755efa03ef024ada1,1673968266bf8c27b93ed82c5a1437948b4f00ad67c9ed183968719bd1f5bbd6,073413813ff67bb4c93f9a3e8a15ff5b01ae659016ff84ec53c3460c5c0ce767,96e10ffd632d2167e142b1b61e685a7f7896818c2e74cfa0cc0aff5367146b64,4c89c9f15612b69df5a651ca2b6b0afa60e2105d7eeeadf324548337ad7e8aaf,9b043688855a020dfbdc0fc04b8086ac7a695fd8ea548580515948c01f733da1,e113324af8eadcf3c47aa8fb7f2a1290dbd620072307aa08f2cb88adfd5f9aba,0e52565471e68968d67bc9e5741110f64e359365eb5d28ae1daa083d013162da
"0","110001","70000","1","111","90110001","完成石像鬼（EASY）","110001"
"0","110001","70000","1","112","90110002","完成石像鬼（NORMAL）","110002"
"0","110001","70000","1","113","90110003","完成石像鬼（HARD）","110003"
"0","110001","70000","1","114","90110004","完成石像鬼（VERY HARD）","110004"
"0","110001","70000","1","115","90110005","完成石像鬼（EXTREME）","110005"
"0","110001","70000","1","121","90120001","完成法師石像鬼（EASY）","120001"
"0","110001","70000","1","122","90120002","完成法師石像鬼（NORMAL）","120002"
"0","110001","70000","1","123","90120003","完成法師石像鬼（HARD）","120003"
"0","110001","70000","1","124","90120004","完成法師石像鬼（VERY HARD）","120004"
"0","110001","70000","1","125","90120005","完成法師石像鬼（EXTREME）","120005"
"0","110001","70000","1","131","90130001","完成守衛石像鬼（EASY）","130001"
"0","110001","70000","1","132","90130002","完成守衛石像鬼（NORMAL）","130002"
"0","110001","70000","1","133","90130003","完成守衛石像鬼（HARD）","130003"
"0","110001","70000","1","134","90130004","完成守衛石像鬼（VERY HARD）","130004"
"0","110001","70000","1","135","90130005","完成守衛石像鬼（EXTREME）","130005"
"0","110001","70000","1","141","90140001","完成石像鬼‧炸裂（EASY）","140001"
"0","110001","70000","1","142","90140002","完成石像鬼‧炸裂（NORMAL）","140002"
"0","110001","70000","1","143","90140003","完成石像鬼‧炸裂（HARD）","140003"
"0","110001","70000","1","144","90140004","完成石像鬼‧炸裂（VERY HARD）","140004"
"0","110001","70000","1","145","90140005","完成石像鬼‧炸裂（EXTREME）","140005"
"0","110001","70000","1","151","90150001","完成石像鬼‧魔幻（EASY）","150001"
"0","110001","70000","1","152","90150002","完成石像鬼‧魔幻（NORMAL）","150002"
"0","110001","70000","1","153","90150003","完成石像鬼‧魔幻（HARD）","150003"
"0","110001","70000","1","154","90150004","完成石像鬼‧魔幻（VERY HARD）","150004"
"0","110001","70000","1","155","90150005","完成石像鬼‧魔幻（EXTREME）","150005"
