118cedd22a77ce2606bc910ec9dda78b703a0e53a005893d57c63e003e43987d,33dda25beb757bc468b7a30a555f9481281cc21acfaf8d53ffaff86d3f1f6bff,5d918bb7b486a3e78048a91228a57f154fc8514452da083523b9fe2f3464a6c0,bf9ee4dbf5fffe323dc783874672b4565ff6460371273bdb481f0aca6882c46c,fcd6687be7585e52af7f81571c20f487dbdb20169f8e56e699185c04b5dd8de1,ddea7f85227ba682ea47d937f5802f1d638c9a8a5d39deb5bbc382126a8e3b9e,1dbc0912481d287e3a300c22462bd310b52e27ae6211c7774b2997fa9541be25,61abd0e28bbdd585035b454685d40a3ea84fca375b43c29edc1ddbf6bd957818,9072ac8bc935a85837719a582274181d4c855c789f06c5da510384626bb35d48
"所有玩家合力打倒100,000次蠻賊三姊妹","1010","7008","1002","32000101","1","100000","1","32000101"
"所有玩家合力打倒150,000次蠻賊三姊妹","1010","7008","1002","32000102","1","150000","2","32000102"
"所有玩家合力打倒200,000次蠻賊三姊妹","1010","7008","1002","32000103","1","200000","3","32000103"
"所有玩家合力打倒100,000次芙蕾雅","1010","7008","1003","32000104","1","100000","4","32000104"
"所有玩家合力打倒150,000次芙蕾雅","1010","7008","1003","32000105","1","150000","5","32000105"
"所有玩家合力打倒200,000次芙蕾雅","1010","7008","1003","32000106","1","200000","6","32000106"
"所有玩家合力打倒200,000次阿剌克涅","1010","7008","1004","32000107","0","200000","7","32000107"
"所有玩家合力打倒300,000次阿剌克涅","1010","7008","1004","32000108","0","300000","8","32000108"
"所有玩家合力打倒400,000次阿剌克涅","1010","7008","1004","32000109","0","400000","9","32000109"
"挑戰1次成群的寶石蜘蛛","1009","7007","1001","32000110","1","1","10","32000110"
"打倒1次蠻賊三姊妹","1009","7007","1002","32000111","1","1","11","32000111"
"打倒1次芙蕾雅","1009","7007","1003","32000112","1","1","12","32000112"
"打倒1次阿剌克涅","1009","7007","1004","32000113","0","1","13","32000113"
