32f0fcb2908c3cd85d671bc63635f1660d4a3ac3dd7ff03920d04f922b2a424a,a95fe8ff2bd0d8070af7a8d61944f80be9a9027543cc4ac0563a0ce854735737,44cc7a20f2ca1ad8ccc0e728a22bd3cc3d6cca0238ec097716d1ce11b10c7a8d,d843b01849a620b2be832c62bac60685195c100204ac704db7cff10722c46e1d,7eb1623016c7a3f9fd46dc1693067db07240bdf121ae7f81a891b23554bd301d
"1","1","小雞","0","26999"
"1","2","生手","0","26999"
"1","3","魚苗","0","26999"
"3","4","新手賽跑者","0","26999"
"1","5","小嬰兒","0","26999"
"1","6","寶寶","0","26999"
"1","7","小人物","0","26999"
"1","8","無用之人","0","26999"
"1","9","外行人","0","26999"
"1","10","小魚","27000","33999"
"1","11","新手","27000","33999"
"3","12","愉悅賽跑者","27000","33999"
"1","13","小輩","27000","33999"
"1","14","新人","27000","33999"
"1","15","女孩","27000","33999"
"1","16","期待之星","27000","33999"
"1","17","原石","27000","33999"
"2","18","新希望","27000","33999"
"1","19","探究者","34000","50399"
"1","20","暴徒","34000","50399"
"1","21","天才","34000","50399"
"1","22","奇才","34000","50399"
"1","23","大人物","34000","50399"
"1","24","麒麟兒","34000","50399"
"1","25","希望","34000","50399"
"1","26","新星","34000","50399"
"1","27","逸才","34000","50399"
"1","28","女僕","50400","59999"
"1","29","前輩","50400","59999"
"1","30","中級者","50400","59999"
"3","31","沙灘搶旗者","50400","59999"
"1","32","魚","50400","59999"
"1","33","領袖","50400","59999"
"1","34","主將","50400","59999"
"1","35","獨當一面","50400","59999"
"1","36","半職業","50400","59999"
"1","37","大型新人","50400","59999"
"1","38","流星","60000","69999"
"1","39","老師","60000","69999"
"1","40","海豚","60000","69999"
"1","41","職人","60000","69999"
"1","42","選手","60000","69999"
"1","43","金槍鮪","60000","69999"
"1","44","中等之中","60000","69999"
"2","45","知名人士","60000","69999"
"1","46","異才","60000","69999"
"1","47","精英","60000","69999"
"1","48","高手","60000","69999"
"1","49","行家","60000","69999"
"1","50","虎鯨","70000","83999"
"1","51","名人","70000","83999"
"1","52","魔術師","70000","83999"
"1","53","師傅","70000","83999"
"1","54","潛水艇","70000","83999"
"2","55","短跑選手","70000","83999"
"1","56","名手","70000","83999"
"2","57","王牌賽跑者","70000","83999"
"1","58","職業選手","70000","83999"
"1","59","看板選手","70000","83999"
"1","60","最高權威","70000","83999"
"1","61","教師","70000","83999"
"2","62","速度之星","84000","99999"
"1","63","豪傑","84000","99999"
"1","64","公主","84000","99999"
"1","65","女神","84000","99999"
"1","66","大師","84000","99999"
"2","67","頭號人物","84000","99999"
"1","68","寵兒","84000","99999"
"3","69","狂暴格里芬","84000","99999"
"1","70","飛龍","84000","99999"
"2","71","專家","84000","99999"
"2","72","頂尖賽跑者","84000","99999"
"1","73","飛毛腿","100000","119999"
"1","74","皇后","100000","119999"
"2","75","冠軍","100000","119999"
"2","76","天才賽跑者","100000","119999"
"3","77","紀錄保持人","100000","119999"
"1","78","極致","100000","119999"
"2","79","涅普堤利昂","100000","119999"
"2","80","希德雷克","100000","119999"
"1","81","女傑","100000","119999"
"1","82","革命家","100000","119999"
"2","83","巨星","100000","119999"
"2","84","幻想之星","120000","999999"
"2","85","超級巨星","120000","999999"
"3","86","世界冠軍","120000","999999"
"1","87","傳奇","120000","999999"
"1","88","超人","120000","999999"
"1","89","托爾披頓","120000","999999"
"1","90","加爾基諾司","120000","999999"
"2","91","水之里歐斯","120000","999999"
"1","92","至寶","120000","999999"
"3","93","宗師","120000","999999"
"1","94","英雄","120000","999999"
"1","95","統治天下","120000","999999"
