a3dfda054b94a4ed2c09ef8a9f52fe7b045124c1232544f5e1740e18b41778f9,fb69166bf76474f1f58e2950128cc67cc86f528a525e20e6928ca31d60917841,6d538a668275f66e544fc1480401c5ae1287c15d1f0b88de2c9d7e9c79d6e3bd,925e61f37bd38d8e0bb8e8285cd0f65ffb4f8418e8be14817b2b0bb5363bdc9d,92db765c6b73df01aea9505016ad439a4ac80a7627ead393e914766323f3f3c5,7ba1715132d4842ce184969bbe79636df0b43b12705c487e11148b60b1b08848,62d2807b75aae47e4a76f5f1c689b94555702a9c1deaeead4f1560ec4e54057f,d5ed2ee68f0c4500e3133b0ad715e12f01848e116305de9c921fe3a93813717f,5820fa0977652241c80ff3a7166a0ac44ea730d807a13460ab8da4294da743c6,ed7647306e2a84c176138a7c1141cfaa82e587067c4b451a0d60d7d66e7b8873,c9a310c770130c56aea3171aed826ef0248265708ac26176a452f63dd0dc984a
"1","105831","1010001","1","-157","0","1","100","01_uek_cmn_idol_def_N","1.3","-496"
"1","105931","1010002","1","-178","0","1","110","01_uek_cmn_idol_def_N","1.3","-355"
"1","112631","1010003","1","-124","1","1","100","01_uek_cmn_idol_def_N","1.3","410"
"1","112531","1010004","1","-258","1","1","110","01_uek_cmn_idol_def_N","1.3","389"
"1","106031","1010005","1","-234","0","1","120","01_uek_cmn_idol_def_N","1.3","-415"
"1","112431","1010006","1","-235","1","1","120","01_uek_cmn_idol_def_N","1.3","262"
"3","01_uek_01_peko","1010007","105831","1","0.2","1","0","","0","01_uek_cmn_pose03"
"3","01_uek_01_kokkoro","1010008","105931","1","0.2","1","0","","0","01_uek_talk_normal"
"3","01_uek_01_kyaru","1010009","106031","1","0.2","1","0","","0","01_uek_cmn_pose02"
"3","01_uek_01_mio","1010010","112631","1","0.2","1","0","","0","01_uek_cmn_pose03"
"3","01_uek_01_rin","1010011","112531","1","0.2","1","0","","0","01_uek_cmn_pose02"
"3","01_uek_01_uduki","1010012","112431","1","0.2","1","0","","0","01_uek_cmn_pose01"
"93","","1010013","3","","","1","","","",""
"3","01_uek_cmn_pose03","1010014","112631","0","","1","1","","0.2",""
"3","01_uek_cmn_pose01","1010015","112431","0","","1","1","","0.2",""
"3","01_uek_cmn_pose03","1010016","105831","0","","1","1","","0.2",""
"3","01_uek_talk_normal","1010017","105931","1","0.1","1","0","","0.2","01_uek_cmn_idol_def_N"
"3","01_uek_cmn_pose02","1010018","106031","1","0.1","1","0","","0.2","01_uek_cmn_idol_def_N"
"3","01_uek_cmn_pose02","1010019","112531","1","0.1","1","0","","0.2","01_uek_cmn_idol_def_N"
"11","唔哇……！\n變得超大的，\n太讚了吧☆","1010020","105831","","","1","10","","",""
"91","","1010021","0","","","1","","","",""
"11","盆栽小花已經長到\n讓人猜不透究竟會\n高到什麼程度了。","1010022","105931","","","1","10","","",""
"91","","1010023","0","","","1","","","",""
"11","這種情況下，\n就讓人想看看\n上面是怎樣呢！","1010024","112631","","","1","10","","",""
"91","","1010025","0","","","1","","","",""
"11","確實是呢……而且\n說不定還能知道\n變成這樣的原因。","1010026","112531","","","1","10","","",""
"91","","1010027","0","","","1","","","",""
"11","反正我也挺感興趣，\n就陪陪妳們吧。","1010028","106031","","","1","10","","",""
"91","","1010029","0","","","1","","","",""
"11","好♪大家一起\n加油以登頂\n為目標吧！","1010030","112431","","","1","10","","",""
"91","","1010031","0","","","1","","","",""
"1","104431","1020001","1","0","0","2","100","02_uek_cmn_idol_def_N","1.3","0"
"3","02_uek_02_ilya","1020002","104431","0","","2","0","","","02_uek_02_ilya_loop"
"11","哈～哈哈哈！\n妾身要踏出征服\n世界的第一步了！","1020003","104431","","","2","10","","","0"
"91","","1020004","0","0","","2","","","",""
"1","105831","1030001","1","-10","0","3","100","01_uek_cmn_idol_def_N","1.3","-140"
"1","105931","1030002","1","10","1","3","100","01_uek_cmn_idol_def_N","1.3","120"
"1","106031","1030003","1","0","1","3","100","01_uek_cmn_idol_def_N","1.3","0"
"3","01_uek_03_peko","1030004","105831","0","","3","0","","","01_uek_03_peko_loop"
"3","01_uek_03_kyaru","1030005","106031","0","","3","0","","","01_uek_03_kyaru_loop"
"11","小凱留！\n妳快看，\n景色很棒哦☆","1030006","105831","","","3","10","","","0"
"91","","1030007","0","","","3","","","",""
"11","喂，妳幹嘛啦！\n不要拉我啦！\n會掉下去的！","1030008","106031","","","3","10","","","0"
"91","","1030009","0","","","3","","","",""
"3","01_uek_03_kokkoro","1030010","105931","1","","3","0","","","01_uek_cmn_idol_def_N"
"11","呵呵，在這上面應該\n還有更棒的景色\n在等著我們。","1030011","105931","","","3","10","","","0"
"1","101131","1040001","1","-30","0","4","100","02_uek_cmn_idol_def_N","1.3","-120"
"1","104931","1040002","1","-5","1","4","100","02_uek_cmn_idol_def_N","1.3","20"
"3","02_uek_talk_joy2","1040003","101131","","","4","1","","",""
"11","千萬行星也要\n始於腳下！\n我會加油的！","1040004","101131","","","4","10","","","0"
"91","","1040005","0","","","4","","","",""
"3","02_uek_cmn_idol_def_N","1040006","101131","","","4","1","","0.2",""
"3","02_uek_04_shizuru","1040007","104931","","","4","1","","0.2",""
"11","妳要說的應該是\n千里之行始於\n足下喔，璃乃。","1040008","104931","","","4","10","","","0"
"91","","1040009","0","","","4","","","",""
"3","02_uek_cmn_idol_def_N","1040010","104931","","","4","1","","0.2",""
"1","105031","1050001","1","0","0","5","100","02_uek_cmn_idol_def_N","1.3","-70"
"1","101631","1050002","1","1","1","5","100","02_uek_cmn_idol_def_N","1.3","70"
"3","02_uek_05_misaki","1050003","105031","-15","","5","0","","","02_uek_05_misaki_loop"
"3","02_uek_05_suzuna","1050004","101631","0","","5","0","","","02_uek_05_suzuna_loop"
"11","我要登上大人\n的階梯了～！","1050005","105031","","","5","10","","","0"
"91","","1050006","0","0","","5","","","",""
"11","人家也要成為\n超級巨星名模囉！","1050007","101631","","","5","10","","","0"
"1","100531","1060001","1","25","1","6","100","02_uek_cmn_idol_def_N","1.3","120"
