81499f9e0994107a33c5f1444af281f37891cf0eb465380e02c39fd54433fe82,ac011bf97ef49a0e2a65c8242f482c8876cfaaf84fed4e9257d1bd09424b2ac9,0d680aaa1e4be26a2633ca1cdc39752f4b22d794e3cd408c450ab4386b6c0b0d,f4d2974bf5fc6a1d87c3f96d75c19cb2ab8e1cca11e9d0bfd2cc9f0769e9e186,7e2df1aa9d1473cdd157a253882b2bd3c9dc3e0b2a473485b404302b03432ba4,49d2a9b94b75f69cab6cf5addfc22032515fbcf11400e0095126768d5ac7ae0f
"211","2146041","803100263","1","3001","212"
"211","2146042","803100263","1","3002","212"
"211","2146043","803100263","1","3003","212"
"211","2146044","803100263","1","3004","212"
"213","2147041","803100272","1","3006","212"
"213","2147042","803100272","1","3007","212"
"202","2145039","803100253","1","30011","313"
"105","2145040","803100253","0","30012","302"
"204","2145069","803100256","1","30021","311"
"205","2145070","803100256","1","30022","312"
"212","2145099","803100259","1","30031","310"
"107","2145100","803100259","0","30032","301"
"110","2146039","803100262","0","30041","307"
"105","2146040","803100262","0","30042","302"
"203","2146081","803100267","1","30051","314"
"205","2147019","803100269","1","30061","312"
"106","2147020","803100269","0","30062","303"
"202","2147039","803100271","1","30071","313"
"212","2147040","803100271","1","30072","310"
"104","2145011","803100251","0","300101","100"
"104","2145012","803100251","0","300102","100"
"105","2145013","803100251","0","300103","102"
"104","2145014","803100251","0","300104","100"
"105","2145015","803100251","0","300105","102"
"106","2145016","803100251","0","300106","103"
"105","2145017","803100251","0","300107","102"
"106","2145018","803100251","0","300108","103"
"204","2145019","803100251","1","300109","111"
"104","2145020","803100251","0","300110","100"
"104","2145021","803100252","0","300111","100"
"105","2145022","803100252","0","300112","102"
"104","2145023","803100252","0","300113","100"
"105","2145024","803100252","0","300114","102"
"106","2145025","803100252","0","300115","103"
"105","2145026","803100252","0","300116","102"
"106","2145027","803100252","0","300117","103"
"204","2145028","803100252","1","300118","111"
"104","2145029","803100252","0","300119","100"
"104","2145030","803100252","0","300120","100"
"105","2145031","803100253","0","300121","102"
"104","2145032","803100253","0","300122","100"
"105","2145033","803100253","0","300123","102"
"208","2145034","803100253","1","300124","112"
"212","2145035","803100253","1","300125","110"
"104","2145036","803100253","0","300126","100"
"105","2145037","803100253","0","300127","102"
"106","2145038","803100253","0","300128","103"
"107","2145041","803100254","0","300201","101"
"107","2145042","803100254","0","300202","101"
"105","2145043","803100254","0","300203","102"
"106","2145044","803100254","0","300204","103"
"202","2145045","803100254","1","300205","113"
"203","2145046","803100254","1","300206","114"
"107","2145047","803100254","0","300207","101"
"202","2145048","803100254","1","300208","113"
"203","2145049","803100254","1","300209","114"
"107","2145050","803100254","0","300210","101"
"107","2145051","803100255","0","300211","101"
"105","2145052","803100255","0","300212","102"
"106","2145053","803100255","0","300213","103"
"202","2145054","803100255","1","300214","113"
"203","2145055","803100255","1","300215","114"
"107","2145056","803100255","0","300216","101"
"202","2145057","803100255","1","300217","113"
"203","2145058","803100255","1","300218","114"
"107","2145059","803100255","0","300219","101"
"107","2145060","803100255","0","300220","101"
"105","2145061","803100256","0","300221","102"
"106","2145062","803100256","0","300222","103"
"107","2145063","803100256","0","300223","101"
"208","2145064","803100256","1","300224","112"
"212","2145065","803100256","1","300225","110"
"105","2145066","803100256","0","300226","102"
"106","2145067","803100256","0","300227","103"
"107","2145068","803100256","0","300228","101"
"104","2145071","803100257","0","300301","100"
"107","2145072","803100257","0","300302","101"
"107","2145073","803100257","0","300303","101"
"202","2145074","803100257","1","300304","113"
"203","2145075","803100257","1","300305","114"
"104","2145076","803100257","0","300306","100"
"107","2145077","803100257","0","300307","101"
"204","2145078","803100257","1","300308","111"
"205","2145079","803100257","1","300309","112"
"104","2145080","803100257","0","300310","100"
"107","2145081","803100258","0","300311","101"
"107","2145082","803100258","0","300312","101"
"202","2145083","803100258","1","300313","113"
"203","2145084","803100258","1","300314","114"
"104","2145085","803100258","0","300315","100"
"107","2145086","803100258","0","300316","101"
"204","2145087","803100258","1","300317","111"
"205","2145088","803100258","1","300318","112"
"104","2145089","803100258","0","300319","100"
"107","2145090","803100258","0","300320","101"
"104","2145091","803100259","0","300321","100"
"107","2145092","803100259","0","300322","101"
"202","2145093","803100259","1","300323","113"
"208","2145094","803100259","1","300324","112"
"104","2145095","803100259","0","300325","100"
"107","2145096","803100259","0","300326","101"
"204","2145097","803100259","1","300327","111"
"205","2145098","803100259","1","300328","112"
"105","2146011","803100260","0","300401","102"
"105","2146012","803100260","0","300402","102"
