45cec9f132fcae599473fe21e75c57d117da675256c9e84e2347f188ca879a30,82ea1da21177f646541dbd5c8f72b0eeba4bd69a83e9d00f58dc8cd728b40964,d683417f53adedd8af26b05719ba28dc0a9325cb971bb19f1540779fc6e3042e,33feaf12b3b211fecb54ff46d62fc995387d8d956b6994dc03585636a6c16df4,3f3cca429d404b870c539c0729844db51785eb12fede2e3725298f98763bf180,bb9c9f46118471fa6df6bfc688a0a60afbdec214f8418971f37e521c64cf4b58,84cd461a2c3ce2bf49c9c764882408ca88eaddc83fa8516d4180bfce747d4b42,c0a0f45e9e7638bc5a02a065cdbbea8b2adf81f4669a9ad4b922cd213c196d80,6313bb54ffb9220c56b4a21bdfc8c687de07f27a0b59fcc4a9edcaafb15dea56,ce356c68497987fd2987c4d453333ff31d6f773fbb9535ba372dad66fae31bff
"1","3","1","1","獲得20個零件","0","10000","20","1","100"
"2","3","2","1","獲得25個零件","0","10001","25","1","100"
"2","3","3","1","獲得30個零件","0","10002","30","1","100"
"3","3","4","1","獲得35個零件","0","10003","35","1","100"
"3","3","5","1","獲得40個零件","0","10004","40","1","100"
"4","3","6","1","獲得45個零件","0","10005","45","1","100"
"4","3","7","1","獲得50個零件","0","10006","50","1","100"
"3","2","101","2","將總戰力提升至1500以上","0","20000","1500","1","101"
"3","2","102","2","將總戰力提升至2000以上","0","20001","2000","1","101"
"3","2","103","2","將總戰力提升至2500以上","0","20002","2500","1","101"
"3","2","104","2","將總戰力提升至3000以上","0","20003","3000","1","101"
"3","2","105","2","將總戰力提升至3500以上","0","20004","3500","1","101"
"4","2","106","2","將總戰力提升至4000以上","0","20005","4000","1","101"
"4","2","107","2","將總戰力提升至4500以上","0","20006","4500","1","101"
"4","2","108","2","將總戰力提升至5000以上","0","20007","5000","1","101"
"4","2","109","2","將總戰力提升至6000以上","0","20008","6000","1","101"
"4","2","110","2","將總戰力提升至7000以上","0","20009","7000","1","101"
"5","2","111","2","將總戰力提升至8000以上","0","20010","8000","1","101"
"5","2","112","2","將總戰力提升至9000以上","0","20011","9000","1","101"
"5","2","600","2","將總戰力提升至10000以上","0","20012","10000","1","101"
"2","4","201","3","累積獲得100pt戰鬥點數","0","30000","100","2","200"
"2","4","202","3","累積獲得200pt戰鬥點數","0","30001","200","2","200"
"2","4","203","3","累積獲得300pt戰鬥點數","0","30002","300","2","200"
"2","4","204","3","累積獲得400pt戰鬥點數","0","30003","400","2","200"
"2","4","205","3","累積獲得500pt戰鬥點數","0","30004","500","2","200"
"3","4","206","3","累積獲得600pt戰鬥點數","0","30005","600","2","200"
"3","4","207","3","累積獲得700pt戰鬥點數","0","30006","700","2","200"
"3","4","208","3","累積獲得800pt戰鬥點數","0","30007","800","2","200"
"3","4","209","3","累積獲得900pt戰鬥點數","0","30008","900","2","200"
"3","4","210","3","累積獲得1000pt戰鬥點數","0","30009","1000","2","200"
"7","1","401","5","從布武機那邊獲得5個零件","0","50000","5","4","400"
"7","1","402","5","從布武機那邊獲得10個零件","0","50001","10","4","400"
"7","1","403","5","從布武機那邊獲得15個零件","0","50002","15","4","400"
"7","1","404","5","從布武機那邊獲得20個零件","0","50003","20","4","400"
"7","1","405","5","從布武機那邊獲得25個零件","0","50004","25","4","400"
"7","1","406","5","從布武機那邊獲得30個零件","0","50005","30","4","400"
"7","1","407","5","從布武機那邊獲得35個零件","0","50006","35","4","400"
"7","1","408","5","從布武機那邊獲得40個零件","0","50007","40","4","400"
"7","1","409","5","從布武機那邊獲得45個零件","0","50008","45","4","400"
"6","1","700","5","從布武機那邊獲得50個零件","0","50009","50","4","400"
"7","4","999","6","累積獲得800pt戰鬥點數（可以不限次數達成）","30009","60000","800","2","209"
"6","3","799","7","通過關卡14","0","70000","14","3","300"
"8","3","800","7","通過關卡50","0","70001","50","3","301"
