b69cc183daca0f4c5acce366fabca3bcedabe25ee74c4b6af798c1787be04a85,e9409eaab104ea4ff71c7f0c581291ce1f05eb6b91a9c1dff479f8265e8118f1,79cad8a1402a31219faa8fc4ea2dd9874bb5da16f16c904ec94f14d4fff42ede,1b73ca2273048864b9babf0231afc73dd6e6b1e68db4f75a0f9ce04654c28212,0117f083296d29952b93315273fb4f87b3c362a41559e12f0685bcd35c3824db,ad0057a686b6bb81db814bfb5edbfd40afd98ee83345643d00b41958b9043df3,79997360c691485cd6ef34839053a4f1ab2d4d986780f846f3a82d089ac07ada,14513edf9effe7f289e327b2f374758a47708039bdb62a38e6a3a8e10f2aaab8,e9dcec0cda9cb6082ae78db941b61da37e289f33d627bf46f595e6eda2089970,3cadf618ea07702a21f60d6e324c37a87c4deafd89540cc27991976b2b141b75,c9a9e0a15250884cb3462c76f952f6c07504af1a5ee073081c9fb3131c0bdc1b
"","","","se_travel","","101110001","se_travel_start_1pt","111","23","","0"
"0","1","1","10010","","101110002","10010","111","31","","0"
"0","1","1","10011","","101110003","10011","111","31","","0"
"0","1","0","10020","","101110004","10020","111","31","","0"
"-150","-150","0.68","2","0","101110005","1001001","111","1","<weapon>_idle","62"
"-250","-75","0.68","2","0","101110006","1001002","111","1","<weapon>_idle","61"
"-350","-180","0.68","2","0","101110007","1001003","111","1","<weapon>_idle","63"
"-450","-75","0.68","2","0","101110008","1001004","111","1","<weapon>_idle","61"
"-550","-150","0.68","2","0","101110009","1001005","111","1","<weapon>_idle","62"
"-150","0.68","1","10012","0","101110010","1001001","111","31","","-150"
"-75","0.68","1","10012","0","101110011","1001002","111","31","","-250"
"-180","0.68","1","10012","0","101110012","1001003","111","31","","-350"
"-75","0.68","1","10012","0","101110013","1001004","111","31","","-450"
"-150","0.68","1","10012","0","101110014","1001005","111","31","","-550"
"0","1","0","10030","","101110015","10030","111","31","","0"
"0","1","0","10031","","101110016","10031","111","31","","0"
"","","","","","101110017","0","111","91","",""
"","","","10030","","101110018","1","111","32","",""
"","","","0","","101110019","0","111","91","",""
"","0","0","1001001","","101110020","<weapon>_run","111","3","","1"
"","0","0","1001002","","101110021","<weapon>_run","111","3","","1"
"","0","0","1001003","","101110022","<weapon>_run","111","3","","1"
"","0","0","1001004","","101110023","<weapon>_run","111","3","","1"
"","0","0","1001005","","101110024","<weapon>_run","111","3","","1"
"3","0","","1001001","","101110025","800","111","2","","-150"
"3","0","","1001002","","101110026","700","111","2","","-75"
"3","0","","1001003","","101110027","600","111","2","","-180"
"3","0","","1001004","","101110028","500","111","2","","-75"
