8d68c7555344d51f0f91f722b8c297046959b2a72938f4ee000532f81ab11bc4,9fedcf1aef1bd3c081d70ce6d7317e4844dcb5716f0a2b3cd8f2ada27189a360,c9e4b7913f618ac426b950395c1a68858e02259f10816f1ac583fd271948ccd5,b82c8377a10bbf8b9073692658a9d5ca64f86455b90401356959c136262ec45d,e7776735306a43e9f3f4c3776c4272d23c0c39f2309b84bc00ab6dd258aca1de,2eaba262286228c1bf8363c8d180007cf4e4c8269550a01f26297878ded15888
"-1480","1","11","1","2816","-1480"
"-1400","1","21","1","2816","-1302"
"-1302","1","31","1","2816","-1263"
"-1263","1","41","1","2816","-1224"
"-1224","1","51","1","2816","-1185"
"-1185","1","61","1","2816","-1146"
"-1146","1","71","1","2816","-1146"
"-1146","1","81","1","2816","-1146"
"-1146","1","91","1","2816","-1107"
"-1107","1","101","1","2816","-1068"
"-1068","1","111","1","2816","-1029"
"-1029","1","121","1","2816","-1029"
"-1029","1","131","1","2816","-1029"
"-1029","1","141","1","2816","-1029"
"-1029","1","151","1","2816","-988"
"-988","1","161","1","2816","-947"
"-947","1","171","1","2816","-906"
"-906","1","181","1","2816","-865"
"-865","1","191","1","2816","-865"
"-865","1","201","1","2816","-865"
"-865","1","211","1","2816","-824"
"-824","1","221","1","2816","-783"
"-783","1","231","1","2816","-742"
"-742","1","241","1","2816","-701"
"-701","1","251","1","2816","-660"
"-660","1","261","1","2816","-619"
"-619","1","271","1","2816","-619"
"-619","1","281","1","2816","-619"
"-619","1","291","1","2816","-619"
"-619","1","301","1","2816","-578"
"-578","1","311","1","2816","-537"
"-537","1","321","1","2816","-496"
"-496","1","331","1","2816","-496"
"-496","1","341","1","2816","-496"
"-496","1","351","1","2816","-496"
"-496","1","361","1","2816","-455"
"-455","1","371","1","2816","-414"
"-414","1","381","1","2816","-373"
"-373","1","391","1","2816","-332"
"-332","1","401","1","2816","-332"
"-332","1","411","1","2816","-332"
"-332","1","421","1","2816","-200"
"-1246","2","431","2","2816","-1181"
"-1181","2","441","2","2816","-1152"
"-1152","2","451","2","2816","-1152"
"-1152","2","461","2","2816","-1123"
"-1123","2","471","2","2816","-1094"
"-1094","2","481","2","2816","-1094"
"-1094","2","491","2","2816","-1065"
"-1065","2","501","2","2816","-1065"
"-1065","2","511","2","2816","-1036"
"-1036","2","521","2","2816","-1036"
"-1036","2","531","2","2816","-1007"
"-1007","2","541","2","2816","-978"
"-978","2","551","2","2816","-978"
"-978","2","561","2","2816","-949"
"-949","2","571","2","2816","-920"
"-920","2","581","2","2816","-891"
"-891","2","591","2","2816","-862"
"-862","2","601","2","2816","-862"
"-862","2","611","2","2816","-862"
"-862","2","621","2","2816","-862"
"-862","2","631","2","2816","-833"
"-833","2","641","2","2816","-804"
"-804","2","651","2","2816","-775"
"-775","2","661","2","2816","-746"
"-746","2","671","2","2816","-717"
"-717","2","681","2","2816","-688"
"-688","2","691","2","2816","-659"
"-659","2","701","2","2816","-630"
"-630","2","711","2","2816","-601"
"-601","2","721","2","2816","-572"
"-572","2","731","2","2816","-543"
"-543","2","741","2","2816","-514"
"-514","2","751","2","2816","-449"
"-1226","2","761","3","2816","-1153"
"-1153","2","771","3","2816","-1115"
"-1115","2","781","3","2816","-1115"
"-1115","2","791","3","2816","-1077"
"-1077","2","801","3","2816","-1077"
