708c772c26e7566e13c25b3b20e797d81674f64b127a07643bf07b6d44db16af,2c3c3a2185b5287f9df34c4a6daf1a8e343f8ca6865e872d60ea4edf77562305,6738cc4bcb9fe851fb6d7aa16ad7bd71eaf0e5f8e87e1887b36e5b35d95f235f,97e86656ebc82e3e3c6c3b7dd2e085d0a7f4faac6d323ca427ed858532f267a2,50c32590f95da54a9d3d0a45086ae92ef33a473af2a79a1a4fd652388339eadf,2218d90f4aa286306e226fda011c284bd65033c6f7ba6b8fed3cd169794f2e22,94b528e7ee226fd9017cb0fd60e53736f9dea4081c7641a7ca3de01f46371e1a
"1","1001101","1","0","81001105","0","306700"
"1","1001102","1","0","81001106","0","306700"
"1","1001201","1","0","81001205","0","306800"
"1","1001202","1","0","81001206","0","306800"
"1","1001301","1","0","81001305","0","307000"
"1","1001302","1","0","81001306","0","307000"
"1","1001401","1","0","81001405","0","307500"
"1","1001402","1","0","81001406","0","307500"
"1","1001501","1","0","81001505","0","307300"
"1","1001502","1","0","81001506","0","307300"
"1","1001601","1","0","81001605","0","307700"
"1","1001602","1","0","81001606","0","307700"
"1","1001701","1","0","81001705","0","307400"
"1","1001702","1","0","81001706","0","307400"
"1","1001801","1","0","81001805","0","307900"
"1","1001802","1","0","81001806","0","307900"
"1","1001901","1","0","81001905","0","307800"
"1","1001902","1","0","81001906","0","307800"
"1","1002001","1","0","81002005","0","308100"
"1","1002002","1","0","81002006","0","308100"
"1","1002101","1","0","81002101","0","308000"
"1","1002102","1","0","81002102","0","308000"
"1","1002201","1","0","81002205","0","308300"
"1","1002202","1","0","81002206","0","308300"
"1","1002301","1","0","81002301","0","308200"
"1","1002302","1","0","81002302","0","308200"
"1","1002401","1","0","81002405","0","304705"
"1","1002402","1","0","81002406","0","304705"
"1","1002501","1","0","81002501","0","308400"
"1","1002502","1","0","81002502","0","308400"
"1","1002601","1","0","81002605","0","305004"
"1","1002602","1","0","81002606","0","305004"
"1","1002701","1","0","81002701","0","308600"
"1","1002702","1","0","81002702","0","308600"
"1","1002801","1","0","81002805","0","305205"
"1","1002802","1","0","81002806","0","305205"
"1","1002901","1","0","81002901","0","309300"
"1","1002902","1","0","81002902","0","309300"
"1","1003001","1","0","81003005","0","305500"
"1","1003002","1","0","81003006","0","305500"
"1","1003101","1","0","81003101","0","310000"
"1","1003102","1","0","81003102","0","310000"
"1","1003201","1","0","81003205","0","306000"
"1","1003202","1","0","81003206","0","306000"
"1","1003301","1","0","81000605","0","310300"
"1","1003302","1","0","81003301","0","310300"
"1","1003401","1","0","81001105","0","306700"
"1","1003402","1","0","81001106","0","306700"
"2.5","1003501","2.5","0","100021","0","310500"
"2.5","1003502","2.5","0","100531","0","310500"
"0.4","1003601","0.4","0","81003601","0","310600"
"0.4","1003602","0.4","0","81003602","0","310600"
"1","1003701","1","0","81001205","0","306800"
"1","1003702","1","0","81001206","0","306800"
"1.2","1003801","1.2","0","81003801","0","310700"
"1.2","1003802","1.2","0","81003802","0","310700"
"1","1003901","1","0","81001305","0","307000"
