4e4c60e729692d06ae1c4f4c9e7ba133e5bb1bae476237cf634b1b632660bda9,6ea041ff59ca0b1ed70926ae74609916a5aef7fd6523f35f46c42d3a28258b1f,3702f5171bcd902e34c3751f591d3f1888d839af12b888ee4f33f61842fa7002,6cc32a9574b2286b3d88fd25587bbb8c75c7fde99c493032a8d1de8239b62052,82c58145dcbce9effd5ef0740d73055f8b855c5e6da313315f2b37baad25ca3f,00228647eeddb9e4dde58e8efd08847250101b7bc75f07599787ea6fab7c9d37,879afe3d5a19fdf8288c3b9688400c100864db5086c4c2e618da9750467e17fd,158744ec20f92e2f5db576b1eb62614d3506e3e24e496b61b3907e6fe5d006b0,e2f423120b52e8bf69c0b3e3fa410b11fd265e5e188851eb34a4f59a3166c45c
"累積獲得3個★","3","1001","0","100000001","3","4101","100101","1"
"累積獲得6個★","6","1001","0","100000002","6","4101","100102","2"
"累積獲得9個★","9","1001","1","100000003","9","4101","100103","3"
"累積獲得12個★","12","1001","0","100000004","12","4101","100104","4"
"累積獲得15個★","15","1001","0","100000005","15","4101","100105","5"
"累積獲得18個★","18","1001","0","100000006","18","4101","100106","6"
"累積獲得21個★","21","1001","1","100000007","21","4101","100107","7"
"累積獲得24個★","24","1001","0","100000008","24","4101","100108","8"
"累積獲得27個★","27","1001","1","100000009","27","4101","100109","9"
"累積獲得30個★","30","1001","0","100000010","30","4101","100110","10"
"累積獲得33個★","33","1001","0","100000011","33","4101","100111","11"
"累積獲得36個★","36","1001","1","100000012","36","4101","100112","12"
"累積獲得39個★","39","1001","0","100000013","39","4101","100113","13"
"累積獲得42個★","42","1001","0","100000014","42","4101","100114","14"
"累積獲得45個★","45","1001","1","100000015","45","4101","100115","15"
"累積獲得48個★","48","1001","0","100000016","48","4101","100116","16"
"累積獲得51個★","51","1001","1","100000017","51","4101","100117","17"
"累積獲得54個★","54","1001","0","100000018","54","4101","100118","18"
"累積獲得3個★","3","1002","0","100200001","3","4101","100201","1"
"累積獲得6個★","6","1002","0","100200002","6","4101","100202","2"
"累積獲得9個★","9","1002","1","100200003","9","4101","100203","3"
"累積獲得12個★","12","1002","0","100200004","12","4101","100204","4"
"累積獲得15個★","15","1002","0","100200005","15","4101","100205","5"
"累積獲得18個★","18","1002","0","100200006","18","4101","100206","6"
"累積獲得21個★","21","1002","1","100200007","21","4101","100207","7"
"累積獲得24個★","24","1002","0","100200008","24","4101","100208","8"
"累積獲得27個★","27","1002","1","100200009","27","4101","100209","9"
"累積獲得30個★","30","1002","0","100200010","30","4101","100210","10"
"累積獲得33個★","33","1002","0","100200011","33","4101","100211","11"
"累積獲得36個★","36","1002","1","100200012","36","4101","100212","12"
"累積獲得39個★","39","1002","0","100200013","39","4101","100213","13"
"累積獲得42個★","42","1002","0","100200014","42","4101","100214","14"
"累積獲得45個★","45","1002","1","100200015","45","4101","100215","15"
"累積獲得48個★","48","1002","0","100200016","48","4101","100216","16"
"累積獲得51個★","51","1002","1","100200017","51","4101","100217","17"
"累積獲得54個★","54","1002","0","100200018","54","4101","100218","18"
"累積獲得3個★","3","1003","0","100300001","3","4101","100301","1"
"累積獲得6個★","6","1003","0","100300002","6","4101","100302","2"
"累積獲得9個★","9","1003","1","100300003","9","4101","100303","3"
"累積獲得12個★","12","1003","0","100300004","12","4101","100304","4"
"累積獲得15個★","15","1003","0","100300005","15","4101","100305","5"
"累積獲得18個★","18","1003","0","100300006","18","4101","100306","6"
"累積獲得21個★","21","1003","1","100300007","21","4101","100307","7"
"累積獲得24個★","24","1003","0","100300008","24","4101","100308","8"
"累積獲得27個★","27","1003","1","100300009","27","4101","100309","9"
"累積獲得30個★","30","1003","0","100300010","30","4101","100310","10"
"累積獲得33個★","33","1003","0","100300011","33","4101","100311","11"
"累積獲得36個★","36","1003","1","100300012","36","4101","100312","12"
"累積獲得39個★","39","1003","0","100300013","39","4101","100313","13"
"累積獲得42個★","42","1003","0","100300014","42","4101","100314","14"
"累積獲得45個★","45","1003","1","100300015","45","4101","100315","15"
"累積獲得48個★","48","1003","0","100300016","48","4101","100316","16"
"累積獲得51個★","51","1003","1","100300017","51","4101","100317","17"
"累積獲得54個★","54","1003","0","100300018","54","4101","100318","18"
"累積獲得3個★","3","1004","0","100400001","3","4101","100401","1"
"累積獲得6個★","6","1004","0","100400002","6","4101","100402","2"
"累積獲得9個★","9","1004","1","100400003","9","4101","100403","3"
"累積獲得12個★","12","1004","0","100400004","12","4101","100404","4"
"累積獲得15個★","15","1004","0","100400005","15","4101","100405","5"
"累積獲得18個★","18","1004","0","100400006","18","4101","100406","6"
"累積獲得21個★","21","1004","1","100400007","21","4101","100407","7"
"累積獲得24個★","24","1004","0","100400008","24","4101","100408","8"
"累積獲得27個★","27","1004","1","100400009","27","4101","100409","9"
"累積獲得30個★","30","1004","0","100400010","30","4101","100410","10"
"累積獲得33個★","33","1004","0","100400011","33","4101","100411","11"
"累積獲得36個★","36","1004","1","100400012","36","4101","100412","12"
"累積獲得39個★","39","1004","0","100400013","39","4101","100413","13"
"累積獲得42個★","42","1004","0","100400014","42","4101","100414","14"
"累積獲得45個★","45","1004","1","100400015","45","4101","100415","15"
"累積獲得48個★","48","1004","0","100400016","48","4101","100416","16"
"累積獲得51個★","51","1004","1","100400017","51","4101","100417","17"
"累積獲得54個★","54","1004","0","100400018","54","4101","100418","18"
"累積獲得3個★","3","1005","0","100500001","3","4101","100501","1"
"累積獲得6個★","6","1005","0","100500002","6","4101","100502","2"
"累積獲得9個★","9","1005","1","100500003","9","4101","100503","3"
"累積獲得12個★","12","1005","0","100500004","12","4101","100504","4"
"累積獲得15個★","15","1005","0","100500005","15","4101","100505","5"
"累積獲得18個★","18","1005","0","100500006","18","4101","100506","6"
"累積獲得21個★","21","1005","1","100500007","21","4101","100507","7"
"累積獲得24個★","24","1005","0","100500008","24","4101","100508","8"
"累積獲得27個★","27","1005","1","100500009","27","4101","100509","9"
"累積獲得30個★","30","1005","0","100500010","30","4101","100510","10"
"累積獲得33個★","33","1005","0","100500011","33","4101","100511","11"
"累積獲得36個★","36","1005","1","100500012","36","4101","100512","12"
"累積獲得39個★","39","1005","0","100500013","39","4101","100513","13"
"累積獲得42個★","42","1005","0","100500014","42","4101","100514","14"
"累積獲得45個★","45","1005","1","100500015","45","4101","100515","15"
"累積獲得48個★","48","1005","0","100500016","48","4101","100516","16"
"累積獲得51個★","51","1005","1","100500017","51","4101","100517","17"
"累積獲得54個★","54","1005","0","100500018","54","4101","100518","18"
"累積獲得3個★","3","1006","0","100600001","3","4101","100601","1"
"累積獲得6個★","6","1006","0","100600002","6","4101","100602","2"
"累積獲得9個★","9","1006","1","100600003","9","4101","100603","3"
"累積獲得12個★","12","1006","0","100600004","12","4101","100604","4"
"累積獲得15個★","15","1006","0","100600005","15","4101","100605","5"
"累積獲得18個★","18","1006","0","100600006","18","4101","100606","6"
"累積獲得21個★","21","1006","1","100600007","21","4101","100607","7"
"累積獲得24個★","24","1006","0","100600008","24","4101","100608","8"
"累積獲得27個★","27","1006","1","100600009","27","4101","100609","9"
"累積獲得30個★","30","1006","0","100600010","30","4101","100610","10"
"累積獲得33個★","33","1006","0","100600011","33","4101","100611","11"
"累積獲得36個★","36","1006","1","100600012","36","4101","100612","12"
"累積獲得39個★","39","1006","0","100600013","39","4101","100613","13"
"累積獲得42個★","42","1006","0","100600014","42","4101","100614","14"
"累積獲得45個★","45","1006","1","100600015","45","4101","100615","15"
"累積獲得48個★","48","1006","0","100600016","48","4101","100616","16"
"累積獲得51個★","51","1006","1","100600017","51","4101","100617","17"
"累積獲得54個★","54","1006","0","100600018","54","4101","100618","18"
"累積獲得3個★","3","1007","0","100700001","3","4101","100701","1"
"累積獲得6個★","6","1007","0","100700002","6","4101","100702","2"
"累積獲得9個★","9","1007","1","100700003","9","4101","100703","3"
"累積獲得12個★","12","1007","0","100700004","12","4101","100704","4"
"累積獲得15個★","15","1007","0","100700005","15","4101","100705","5"
"累積獲得18個★","18","1007","0","100700006","18","4101","100706","6"
"累積獲得21個★","21","1007","1","100700007","21","4101","100707","7"
"累積獲得24個★","24","1007","0","100700008","24","4101","100708","8"
"累積獲得27個★","27","1007","1","100700009","27","4101","100709","9"
"累積獲得30個★","30","1007","0","100700010","30","4101","100710","10"
"累積獲得33個★","33","1007","0","100700011","33","4101","100711","11"
"累積獲得36個★","36","1007","1","100700012","36","4101","100712","12"
"累積獲得39個★","39","1007","0","100700013","39","4101","100713","13"
"累積獲得42個★","42","1007","0","100700014","42","4101","100714","14"
"累積獲得45個★","45","1007","1","100700015","45","4101","100715","15"
"累積獲得48個★","48","1007","0","100700016","48","4101","100716","16"
"累積獲得51個★","51","1007","1","100700017","51","4101","100717","17"
"累積獲得54個★","54","1007","0","100700018","54","4101","100718","18"
"累積獲得3個★","3","1008","0","100800001","3","4101","100801","1"
"累積獲得6個★","6","1008","0","100800002","6","4101","100802","2"
"累積獲得9個★","9","1008","1","100800003","9","4101","100803","3"
"累積獲得12個★","12","1008","0","100800004","12","4101","100804","4"
"累積獲得15個★","15","1008","0","100800005","15","4101","100805","5"
"累積獲得18個★","18","1008","0","100800006","18","4101","100806","6"
"累積獲得21個★","21","1008","1","100800007","21","4101","100807","7"
"累積獲得24個★","24","1008","0","100800008","24","4101","100808","8"
"累積獲得27個★","27","1008","1","100800009","27","4101","100809","9"
"累積獲得30個★","30","1008","0","100800010","30","4101","100810","10"
"累積獲得33個★","33","1008","0","100800011","33","4101","100811","11"
"累積獲得36個★","36","1008","1","100800012","36","4101","100812","12"
"累積獲得39個★","39","1008","0","100800013","39","4101","100813","13"
"累積獲得42個★","42","1008","0","100800014","42","4101","100814","14"
"累積獲得45個★","45","1008","1","100800015","45","4101","100815","15"
"累積獲得48個★","48","1008","0","100800016","48","4101","100816","16"
"累積獲得51個★","51","1008","1","100800017","51","4101","100817","17"
"累積獲得54個★","54","1008","0","100800018","54","4101","100818","18"
"累積獲得3個★","3","1009","0","100900001","3","4101","100901","1"
"累積獲得6個★","6","1009","0","100900002","6","4101","100902","2"
"累積獲得9個★","9","1009","1","100900003","9","4101","100903","3"
"累積獲得12個★","12","1009","0","100900004","12","4101","100904","4"
"累積獲得15個★","15","1009","0","100900005","15","4101","100905","5"
"累積獲得18個★","18","1009","0","100900006","18","4101","100906","6"
"累積獲得21個★","21","1009","1","100900007","21","4101","100907","7"
"累積獲得24個★","24","1009","0","100900008","24","4101","100908","8"
"累積獲得27個★","27","1009","1","100900009","27","4101","100909","9"
"累積獲得30個★","30","1009","0","100900010","30","4101","100910","10"
"累積獲得33個★","33","1009","0","100900011","33","4101","100911","11"
"累積獲得36個★","36","1009","1","100900012","36","4101","100912","12"
"累積獲得39個★","39","1009","0","100900013","39","4101","100913","13"
"累積獲得42個★","42","1009","0","100900014","42","4101","100914","14"
"累積獲得45個★","45","1009","1","100900015","45","4101","100915","15"
"累積獲得48個★","48","1009","0","100900016","48","4101","100916","16"
"累積獲得51個★","51","1009","1","100900017","51","4101","100917","17"
"累積獲得54個★","54","1009","0","100900018","54","4101","100918","18"
"累積獲得3個★","3","1010","0","101000001","3","4101","101001","1"
"累積獲得6個★","6","1010","0","101000002","6","4101","101002","2"
"累積獲得9個★","9","1010","1","101000003","9","4101","101003","3"
"累積獲得12個★","12","1010","0","101000004","12","4101","101004","4"
"累積獲得15個★","15","1010","0","101000005","15","4101","101005","5"
"累積獲得18個★","18","1010","0","101000006","18","4101","101006","6"
"累積獲得21個★","21","1010","1","101000007","21","4101","101007","7"
"累積獲得24個★","24","1010","0","101000008","24","4101","101008","8"
"累積獲得27個★","27","1010","1","101000009","27","4101","101009","9"
"累積獲得30個★","30","1010","0","101000010","30","4101","101010","10"
"累積獲得33個★","33","1010","0","101000011","33","4101","101011","11"
"累積獲得36個★","36","1010","1","101000012","36","4101","101012","12"
"累積獲得39個★","39","1010","0","101000013","39","4101","101013","13"
"累積獲得42個★","42","1010","0","101000014","42","4101","101014","14"
"累積獲得45個★","45","1010","1","101000015","45","4101","101015","15"
"累積獲得48個★","48","1010","0","101000016","48","4101","101016","16"
"累積獲得51個★","51","1010","1","101000017","51","4101","101017","17"
"累積獲得54個★","54","1010","0","101000018","54","4101","101018","18"
"累積獲得3個★","3","1011","0","101100001","3","4101","101101","1"
"累積獲得6個★","6","1011","0","101100002","6","4101","101102","2"
"累積獲得9個★","9","1011","1","101100003","9","4101","101103","3"
"累積獲得12個★","12","1011","0","101100004","12","4101","101104","4"
"累積獲得15個★","15","1011","0","101100005","15","4101","101105","5"
"累積獲得18個★","18","1011","0","101100006","18","4101","101106","6"
"累積獲得21個★","21","1011","1","101100007","21","4101","101107","7"
"累積獲得24個★","24","1011","0","101100008","24","4101","101108","8"
"累積獲得27個★","27","1011","1","101100009","27","4101","101109","9"
"累積獲得30個★","30","1011","0","101100010","30","4101","101110","10"
"累積獲得33個★","33","1011","0","101100011","33","4101","101111","11"
"累積獲得36個★","36","1011","1","101100012","36","4101","101112","12"
"累積獲得39個★","39","1011","0","101100013","39","4101","101113","13"
"累積獲得42個★","42","1011","0","101100014","42","4101","101114","14"
"累積獲得45個★","45","1011","1","101100015","45","4101","101115","15"
"累積獲得48個★","48","1011","0","101100016","48","4101","101116","16"
"累積獲得51個★","51","1011","1","101100017","51","4101","101117","17"
"累積獲得54個★","54","1011","0","101100018","54","4101","101118","18"
"累積獲得3個★","3","1012","0","101200001","3","4101","101201","1"
"累積獲得6個★","6","1012","0","101200002","6","4101","101202","2"
"累積獲得9個★","9","1012","1","101200003","9","4101","101203","3"
"累積獲得12個★","12","1012","0","101200004","12","4101","101204","4"
"累積獲得15個★","15","1012","0","101200005","15","4101","101205","5"
"累積獲得18個★","18","1012","0","101200006","18","4101","101206","6"
"累積獲得21個★","21","1012","1","101200007","21","4101","101207","7"
"累積獲得24個★","24","1012","0","101200008","24","4101","101208","8"
"累積獲得27個★","27","1012","1","101200009","27","4101","101209","9"
"累積獲得30個★","30","1012","0","101200010","30","4101","101210","10"
"累積獲得33個★","33","1012","0","101200011","33","4101","101211","11"
"累積獲得36個★","36","1012","1","101200012","36","4101","101212","12"
"累積獲得39個★","39","1012","0","101200013","39","4101","101213","13"
"累積獲得42個★","42","1012","0","101200014","42","4101","101214","14"
"累積獲得45個★","45","1012","1","101200015","45","4101","101215","15"
"累積獲得48個★","48","1012","0","101200016","48","4101","101216","16"
"累積獲得51個★","51","1012","1","101200017","51","4101","101217","17"
"累積獲得54個★","54","1012","0","101200018","54","4101","101218","18"
"累積獲得3個★","3","1013","0","101300001","3","4101","101301","1"
"累積獲得6個★","6","1013","0","101300002","6","4101","101302","2"
"累積獲得9個★","9","1013","1","101300003","9","4101","101303","3"
"累積獲得12個★","12","1013","0","101300004","12","4101","101304","4"
"累積獲得15個★","15","1013","0","101300005","15","4101","101305","5"
"累積獲得18個★","18","1013","0","101300006","18","4101","101306","6"
"累積獲得21個★","21","1013","1","101300007","21","4101","101307","7"
"累積獲得24個★","24","1013","0","101300008","24","4101","101308","8"
"累積獲得27個★","27","1013","1","101300009","27","4101","101309","9"
"累積獲得30個★","30","1013","0","101300010","30","4101","101310","10"
"累積獲得33個★","33","1013","0","101300011","33","4101","101311","11"
"累積獲得36個★","36","1013","1","101300012","36","4101","101312","12"
"累積獲得39個★","39","1013","0","101300013","39","4101","101313","13"
"累積獲得42個★","42","1013","0","101300014","42","4101","101314","14"
"累積獲得45個★","45","1013","1","101300015","45","4101","101315","15"
"累積獲得48個★","48","1013","0","101300016","48","4101","101316","16"
"累積獲得51個★","51","1013","1","101300017","51","4101","101317","17"
"累積獲得54個★","54","1013","0","101300018","54","4101","101318","18"
