0879f7cf5cf339478814174ca64f3d58fe7a22b66b45160bd0060f92624985aa,7aeb0f64b1154f74bc90690be48a3929ee1546d9ba464c5bb4300efc2640f0d7,85d29ae17527981baea08ec75198fc7848b697381f3cd7be58c21df83b6eb531,f758b023c51a79dd93f465c6b82b0081f5acf9d1674df1eef23fd04a4fc1be60,27d901cf5deca85dea6916658fe503311381213ea9d9046a489db25431b8199e,ea9ba8ce680ac8b9615833d2f02b5c7b5baa896926f34da50f8bd6446bef2bc0,6d31d85bacc3850fd245a5a6001c2df071bf3139168c497570d21aa1d634ea03,6aceccfba116e7f401a29cc338372a6fc335c61b1709d1898692815dd690df1b
"96001","1","20000","1","1","2","21952","1"
"96001","1","10000","2","1","2","21904","1"
"96001","1","10000","3","1","2","41000","1"
"96001","1","2000","4","5","2","31803","5"
"96001","1","1500","5","5","2","31215","5"
"96001","1","1500","6","5","2","31210","5"
"96001","1","1500","7","5","2","31211","5"
"96001","1","1250","8","10","2","90005","5"
"96001","1","500","9","20","4","140001","10"
"96001","1","500","10","10","2","25001","5"
"96001","1","100","11","5","4","150003","5"
"96001","1","130","12","5","4","150004","5"
"96001","1","150","13","5","4","150005","5"
"96001","1","180","14","5","4","150006","5"
"96001","1","200","15","5","4","150007","5"
"96001","1","230","16","5","4","150008","5"
"96001","1","500","17","5","2","20004","100"
"96001","1","200","18","5","2","22003","100"
"96001","1","1000","19","0","2","20004","100"
"96001","1","400","20","0","2","22003","100"
"96002","2","20000","21","1","2","21952","1"
"96002","2","10000","22","1","2","21904","1"
"96002","2","10000","23","1","2","41000","1"
"96002","2","1500","24","5","2","31233","5"
"96002","2","1500","25","5","2","31229","5"
"96002","2","1500","26","5","2","31225","5"
"96002","2","1250","27","10","2","90005","5"
"96002","2","500","28","20","4","140001","10"
"96002","2","500","29","10","2","25001","5"
"96002","2","100","30","5","4","150003","5"
"96002","2","130","31","5","4","150004","5"
"96002","2","150","32","5","4","150005","5"
"96002","2","180","33","5","4","150006","5"
"96002","2","200","34","5","4","150007","5"
"96002","2","230","35","5","4","150008","5"
"96002","2","500","36","5","2","20004","100"
"96002","2","200","37","5","2","22003","100"
"96002","2","1000","38","0","2","20004","100"
"96002","2","400","39","0","2","22003","100"
"96003","3","20000","40","1","2","21952","1"
"96003","3","10000","41","1","2","21905","1"
"96003","3","10000","42","1","2","41000","1"
"96003","3","2000","43","5","2","31805","5"
"96003","3","1500","44","5","2","31240","5"
"96003","3","1500","45","5","2","31238","5"
"96003","3","1500","46","5","2","31236","5"
"96003","3","2500","47","5","2","90005","10"
"96003","3","2500","48","5","4","140001","50"
"96003","3","500","49","5","2","25001","5"
"96003","3","500","50","5","4","150003","30"
"96003","3","650","51","5","4","150004","30"
"96003","3","750","52","5","4","150005","30"
"96003","3","900","53","5","4","150006","30"
"96003","3","1000","54","5","4","150007","30"
"96003","3","1150","55","5","4","150008","30"
"96003","3","2500","56","5","2","20004","500"
"96003","3","1000","57","5","2","22003","500"
