3d88184ebb1affc68f6a04601033f1e317b95f5c61a511186696f01f1b9fbabc,954bcbf89595577be20f03ab65f47ae4f88557a8689cb5847bf42b6978c7849f,cac333687250634c82faf762aff6009bd751e226356da47e66f4cfde2749ea98,9c70fd832ae53abd8541232e974071cb5fae0cbb2cee442da51fe265b1b9e0d2,4025fc5b75907273ec2ccae3d07f159f1ff615467a5a87499d213cdff6e0d7d8,3def2c47d20d48b1ebb054a72b791b9bc15c8be3662d6c3bbf0b42f00c95b265,59b0cc8d685c1c2cf8b5085dbca5b60e0326a53c57dcccc9b256ac39fcf2ef7a,5098e1299f23fca926bcd0ccc17dfc5f8400d189228df5a27898acde3fd5dd9a,2f76facbd675d3d49ccef2decbb159226b7a576e889ca90c5cc682675b7eadd6,19745bfd9cb9e88cfe9eeb5dcad2392e0b9034f9c3e4fcaaf71db629f43549a5
"90001","0","10000","0","1","30000","1","10","90043","12000"
"90002","0","10000","0","2","30000","2","20","90047","24000"
"90002","0","10000","0","3","30000","3","20","90047","24000"
"90002","0","10000","0","4","30000","4","20","90047","24000"
"90002","0","10000","0","5","30000","5","20","90047","24000"
"90002","0","10000","0","6","30000","6","20","90047","24000"
"90002","0","10000","0","7","30000","7","20","90047","24000"
"90002","0","10000","0","8","30000","8","20","90047","24000"
"90002","0","10000","0","9","30000","9","20","90047","24000"
"90002","0","10000","1","10","30000","10","20","90047","24000"
"90003","90011","10000","2","11","30000","11","40","90051","48000"
"90003","90011","10000","3","12","30000","12","40","90051","48000"
"90003","90011","10000","4","13","30000","13","40","90051","48000"
"90003","90011","10000","5","14","30000","14","40","90051","48000"
"90003","90011","10000","6","15","30000","15","40","90051","48000"
"90003","90011","10000","7","16","30000","16","40","90051","48000"
"90003","90011","10000","8","17","30000","17","40","90051","48000"
"90003","90011","10000","9","18","30000","18","40","90051","48000"
"90003","90011","10000","10","19","30000","19","40","90051","48000"
"90003","90011","10000","11","20","30000","20","40","90051","48000"
"90004","90015","10000","12","21","30000","21","60","90055","72000"
"90004","90015","10000","13","22","30000","22","60","90055","72000"
"90004","90015","10000","14","23","30000","23","60","90055","72000"
"90004","90015","10000","15","24","30000","24","60","90055","72000"
"90004","90015","10000","16","25","30000","25","60","90055","72000"
"90004","90015","10000","17","26","30000","26","60","90055","72000"
"90004","90015","10000","18","27","30000","27","60","90055","72000"
"90004","90015","10000","19","28","30000","28","60","90055","72000"
"90004","90015","10000","20","29","30000","29","60","90055","72000"
"90004","90015","10000","21","30","30000","30","60","90055","72000"
"90005","90015","10000","22","31","30000","31","80","90059","96000"
"90005","90015","10000","23","32","30000","32","80","90059","96000"
"90005","90015","10000","24","33","30000","33","80","90059","96000"
"90005","90015","10000","25","34","30000","34","80","90059","96000"
"90005","90015","10000","26","35","30000","35","80","90059","96000"
"90005","90015","10000","27","36","30000","36","80","90059","96000"
"90005","90015","10000","28","37","30000","37","80","90059","96000"
"90005","90015","10000","29","38","30000","38","80","90059","96000"
"90005","90015","10000","30","39","30000","39","80","90059","96000"
"90005","90015","10000","31","40","30000","40","80","90059","96000"
"90005","90017","10000","33","41","30000","41","120","90063","144000"
"90005","90017","10000","35","42","30000","42","120","90063","144000"
"90005","90017","10000","37","43","30000","43","120","90063","144000"
"90005","90017","10000","39","44","30000","44","120","90063","144000"
"90005","90017","10000","41","45","30000","45","120","90063","144000"
"90005","90017","10000","43","46","30000","46","120","90063","144000"
"90005","90017","10000","45","47","30000","47","120","90063","144000"
"90005","90017","10000","47","48","30000","48","120","90063","144000"
"90005","90017","10000","49","49","30000","49","120","90063","144000"
"90005","90017","10000","51","50","30000","50","120","90063","144000"
"90006","90019","10000","53","51","30000","51","150","90067","180000"
"90006","90019","10000","55","52","30000","52","150","90067","180000"
"90006","90019","10000","57","53","30000","53","150","90067","180000"
"90006","90019","10000","59","54","30000","54","150","90067","180000"
"90006","90019","10000","61","55","30000","55","150","90067","180000"
"90006","90019","10000","63","56","30000","56","150","90067","180000"
"90006","90019","10000","65","57","30000","57","150","90067","180000"
"90006","90019","10000","67","58","30000","58","150","90067","180000"
"90006","90019","10000","69","59","30000","59","150","90067","180000"
"90006","90019","10000","71","60","30000","60","150","90067","180000"
"90007","90021","10000","74","61","30000","61","180","90071","216000"
"90007","90021","10000","77","62","30000","62","180","90071","216000"
"90007","90021","10000","80","63","30000","63","180","90071","216000"
"90007","90021","10000","83","64","30000","64","180","90071","216000"
"90007","90021","10000","86","65","30000","65","180","90071","216000"
"90007","90021","10000","89","66","30000","66","180","90071","216000"
"90007","90021","10000","92","67","30000","67","180","90071","216000"
"90007","90021","10000","95","68","30000","68","180","90071","216000"
"90007","90021","10000","98","69","30000","69","180","90071","216000"
"90007","90021","10000","101","70","30000","70","180","90071","216000"
