c1b74586625890f10e4e5400b35d54b67e2dcf9ad5f6a109819a90fc5eaac00e,b2ccea8aff1dd84ab62784310c3e9d09da1af36805ac898cf9fcdd706a6e263d,ffe82516df81a77770d5a39245e9eea773a55683ce03132cb2e3e77a5d706962,6bfbdfdfee04397163ce7c0a4ab46bcc71cb41374ea38ea30b30addde29ff0c0,6cc2b92c3ca7b4a937b87dba0fc3e42280bb609b09fafc488371d32f141c6c84,380b499600b59b6eed143dfcaf3cd448097ebd00efc30cf053e8de3270490d98,eca2529ef7678e21d4890af02141c814b920f7da874692979680a67ab1171c50,d899ced72766c592981c3c413106cb8005f698b2885ecef75469df691e241a9e,d75739bd769e888b2838e3c425a4e2a76e59993cfeaa6c6bf93f8c9b45dc7afc,2cc26a5f4dd9eedcdcbc9348ebd50a18fd381af29b1266d5e33a181bcdd953c2,e6e25f692f79a4852803ee69e27e6f5ec5994554f2687d07cf5659853b604773,208c168094875c9c8265e426ef5cf73f954cdc17127b421b99a16f29b3ec31e6,d6b6722d78f26bcab4914282bdccdd8d6547e4e59f618936e7c77de851459aa9,5e6a2c8a0fbc344d4296b799b14b2412be5f3413786c82cf7ee5117d570a3415,02b4a646142ba0c610e5942e6ea6bdbb7d82befa3382b0da4bcbe225e859f0ab,86c31fcf1df34f323dd5122b3f2b6e32bb13e9368bf7c54058b36f7196290126,3095c471764458a2aa62c3bd6ab59f42f3b21790f9a99f2352fd95dc163d9cc9,8a164f7e0a01075d4f52d675077e193547baa757b94a639e6bf47b95f62d9626,2ac727a8f6e62a0087ea9d895beb1ba90d52ce53fa6eba8457a609eb63b23d9f,c2166f357cb2b0e53ea3e071599d18daa9b342b2a93fa4470dfe45ff4775e37e,5ebfeb1c1b2236da2aa4f06fde0a64b0aea5cb852eb83465538fc02797fdcf08,c75724f7fe790b10b50bba2b8cbad433426a715c916e73106fe1d5254dd27ab8,b6a5d4c4a9e58fe9b0cbbb124d3bee1abd1225a760e2706f6255f7309d8ee3f6,72c60ffec24bad51d108f8c1082a80777aa5b7591cf10d0cdd6b47608f4d0295,0ce2fea12ef98fea0a028027f0ee194b74e85daff10bbe56d67bf1cbc1271da5,1befb1fb03d2e6235fbc30a81541c7dca39bfa616b9c6db9042bb96f35c74a19,852a9594a8454bb2d079521f774f91cf252bfdd55ffb50d17bdf31a33d90e7f1,e22604794ffeb22e2329f755713f31d2fbd036b5454dc1560e88a55927de051b,32ec7668a2e507fc8966b5d1c21b2fdc0a9dc2d737a17439f462d9ba07dd81a1,5e9de8112557888dbccff68a87429f05bcec48a17ba252841053860280e918d6,32f82cc3dbf410d8e46f5868042e1ea46672cd5b37187aeae5016d07613d0adf,8b8fe9bb5f7200b6cdf5d2f4fd2e5a9a1259153c71bde34934b1693d40f03970,e6f6d2d7c2bc39a08e921e41d55da49b9bd45768c0478106ae70e9990afa2988,34452c8fad7a0083ceb48aa258c8e60a2bcf435a2fab314ea3255a1f7e627886,7c9a04d7b10a97f1a1fbe5a18459aef137288eab57a8ee18a4ae2a17b0889e1c,94f40d96eab7fdcf7344c01f656e116be7fb305349bbd6b897bb7b31e3a29a3a,675df83924c24b5f07690f6c584868a4255b9144ae330ceb2713a717faa524d6,c18dce664716c04877aaef515cbe4e18855d5e073bf07c62c8428f7ba10f8a06,8aa292f0590f58980fb199ba7bba50d23136c544939f96aa4535e81f4c306c74,90091176489e48d6ee7430bd0c08baf4a8c0c927317c7d725a8df57f8d04d5af
"1","1","1","1","1","0","200000006","200100","1","10","329","0","0","24","0","670010001","0","1","30","1","1","1","1","0","0","3","0","1","0","1","1","1","1","1","1","4","1","0","1","10"
"2","2","2","2","1","0","200000006","200100","2","10","338","0","0","28","0","670010002","0","2","30","2","2","2","2","0","0","3","0","2","0","2","2","2","1","2","2","9","2","0","1","10"
"3","3","3","3","1","0","200000006","200100","3","10","347","0","0","32","0","670010003","0","3","30","3","3","3","3","0","0","4","0","3","0","3","3","3","1","3","3","5","3","0","1","10"
"4","4","4","4","1","0","200000006","200100","4","10","347","0","0","32","0","670010004","0","4","30","4","4","4","4","0","0","4","0","4","0","4","4","4","1","4","4","5","4","0","1","10"
"5","5","5","5","1","0","200000006","200100","5","10","349","0","0","35","0","670010005","0","5","30","5","5","5","5","0","0","4","0","5","0","5","5","5","1","5","5","5","5","0","1","10"
"6","6","6","6","1","0","200000006","200100","6","10","367","0","0","48","0","670010006","0","6","30","6","6","6","6","0","0","6","0","6","0","6","6","6","1","6","6","7","6","0","1","10"
"7","7","7","7","1","0","200000006","200100","7","10","413","0","0","55","0","670010007","0","7","30","7","7","7","7","0","0","7","0","7","0","7","7","7","1","7","7","8","7","0","1","10"
"8","8","8","8","1","0","200000006","200100","8","10","459","0","0","62","0","670010008","0","8","30","8","8","8","8","0","0","7","0","8","0","8","8","8","1","8","8","9","8","0","1","10"
"9","9","9","9","1","0","200000006","200100","9","10","505","0","0","68","0","670010009","0","9","30","9","9","9","9","0","0","8","0","9","0","9","9","9","1","9","9","9","9","0","1","10"
"10","10","10","10","1","0","200000006","200100","10","10","551","0","0","75","0","670010010","0","10","30","10","10","10","10","0","0","9","0","10","0","10","10","10","1","10","10","10","10","0","1","10"
"11","11","11","11","1","0","200000006","200100","11","10","598","0","0","82","0","670010011","0","11","30","11","11","11","11","0","0","9","0","11","0","11","11","11","1","11","11","11","11","0","1","10"
"12","12","12","12","1","0","200000006","200100","12","10","644","0","0","89","0","670010012","0","12","30","12","12","12","12","0","0","10","0","12","0","12","12","12","1","12","12","12","12","0","1","10"
"13","13","13","13","1","0","200000006","200100","13","10","690","0","0","95","0","670010013","0","13","30","13","13","13","13","0","0","11","0","13","0","13","13","13","1","13","13","12","13","0","1","10"
"14","14","14","14","1","0","200000006","200100","14","10","736","0","0","102","0","670010014","0","14","30","14","14","14","14","0","0","11","0","14","0","14","14","14","1","14","14","13","14","0","1","10"
"15","15","15","15","1","0","200000006","200100","15","10","782","0","0","109","0","670010015","0","15","30","15","15","15","15","0","0","12","0","15","0","15","15","15","1","15","15","14","15","0","1","10"
"16","16","16","16","1","0","200000006","200100","16","10","851","0","0","123","0","670010016","0","16","30","16","16","16","16","0","0","12","0","16","0","16","16","16","1","16","16","15","16","0","1","10"
"17","17","17","17","1","0","200000006","200100","17","10","919","0","0","136","0","670010017","0","17","30","17","17","17","17","0","0","12","0","17","0","17","17","17","1","17","17","15","17","0","1","10"
"18","18","18","18","1","0","200000006","200100","18","10","1296","0","0","164","0","670010018","0","18","30","18","18","18","18","0","0","13","0","18","0","18","18","18","1","18","18","15","18","0","1","10"
"19","19","19","19","1","0","200000006","200100","19","10","1482","0","0","177","0","670010019","0","19","30","19","19","19","19","0","0","13","0","19","0","19","19","19","1","19","19","15","19","0","1","10"
"20","20","20","20","1","0","200000006","200100","20","10","1563","0","0","186","0","670010020","0","20","30","20","20","20","20","0","0","13","0","20","0","20","20","20","1","20","20","16","20","0","1","10"
"21","21","21","21","1","0","200000006","200100","21","10","1784","0","0","206","0","670010021","0","21","30","21","21","21","21","0","0","15","0","21","0","21","21","21","1","21","21","18","21","0","1","10"
"22","22","22","22","1","0","200000006","200100","22","10","2005","0","0","225","0","670010022","0","22","30","22","22","22","22","0","0","17","0","22","0","22","22","22","1","22","22","20","22","0","1","10"
"23","23","23","23","1","0","200000006","200100","23","10","2225","0","0","245","0","670010023","0","23","30","23","23","23","23","0","0","18","0","23","0","23","23","23","1","23","23","21","23","0","1","10"
"24","24","24","24","1","0","200000006","200100","24","10","2446","0","0","264","0","670010024","0","24","30","24","24","24","24","0","0","20","0","24","0","24","24","24","1","24","24","23","24","0","1","10"
"25","25","25","25","1","0","200000006","200100","25","10","2701","0","0","267","0","670010025","0","25","30","25","25","25","25","0","0","21","0","25","0","25","25","25","1","25","25","24","25","0","1","10"
"26","26","26","26","1","0","200000006","200100","26","10","2956","0","0","269","0","670010026","0","26","30","26","26","26","26","0","0","21","0","26","0","26","26","26","1","26","26","24","26","0","1","10"
"27","27","27","27","1","0","200000006","200100","27","10","3211","0","0","289","0","670010027","0","27","30","27","27","27","27","0","0","21","0","27","0","27","27","27","1","27","27","24","27","0","1","10"
"28","28","28","28","1","0","200000006","200100","28","10","3466","0","0","309","0","670010028","0","28","30","28","28","28","28","0","0","21","0","28","0","28","28","28","1","28","28","25","28","0","1","10"
"29","29","29","29","1","0","200000006","200100","29","10","3721","0","0","330","0","670010029","0","29","30","29","29","29","29","0","0","22","0","29","0","29","29","29","1","29","29","25","29","0","1","10"
"30","30","30","30","1","0","200000006","200100","30","10","3976","0","0","350","0","670010030","0","30","30","30","30","30","30","0","0","22","0","30","0","30","30","30","1","30","30","25","30","0","1","10"
"31","31","31","31","1","0","200000006","200100","31","10","4232","0","0","370","0","670010031","0","31","30","31","31","31","31","0","0","22","0","31","0","31","31","31","1","31","31","26","31","0","1","10"
"32","32","32","32","1","0","200000006","200100","32","10","4487","0","0","390","0","670010032","0","32","30","32","32","32","32","0","0","22","0","32","0","32","32","32","1","32","32","26","32","0","1","10"
"33","33","33","33","1","0","200000006","200100","33","10","4742","0","0","410","0","670010033","0","33","30","33","33","33","33","0","0","22","0","33","0","33","33","33","1","33","33","26","33","0","1","10"
"34","34","34","34","1","0","200000006","200100","34","10","4997","0","0","431","0","670010034","0","34","30","34","34","34","34","0","0","23","0","34","0","34","34","34","1","34","34","26","34","0","1","10"
"35","35","35","35","1","0","200000006","200100","35","10","5252","0","0","451","0","670010035","0","35","30","35","35","35","35","0","0","23","0","35","0","35","35","35","1","35","35","27","35","0","1","10"
"36","36","36","36","1","0","200000006","200100","36","10","5507","0","0","471","0","670010036","0","36","30","36","36","36","36","0","0","23","0","36","0","36","36","36","1","36","36","27","36","0","1","10"
"37","37","37","37","1","0","200000006","200100","37","10","5667","0","0","516","0","670010037","0","37","30","37","37","37","37","0","0","27","0","37","0","37","37","37","1","37","37","31","37","0","1","10"
"38","38","38","38","1","0","200000006","200100","38","10","5826","0","0","562","0","670010038","0","38","30","38","38","38","38","0","0","31","0","38","0","38","38","38","1","38","38","35","38","0","1","10"
"39","39","39","39","1","0","200000006","200100","39","10","5986","0","0","607","0","670010039","0","39","30","39","39","39","39","0","0","35","0","39","0","39","39","39","1","39","39","39","39","0","1","10"
"40","40","40","40","1","0","200000006","200100","40","10","7437","0","0","712","0","670010040","0","40","30","40","40","40","40","0","0","36","0","40","0","40","40","40","1","40","40","40","40","0","1","10"
"41","41","41","41","1","0","200000006","200100","41","10","8888","0","0","816","0","670010041","0","41","30","41","41","41","41","0","0","36","0","41","0","41","41","41","1","41","41","40","41","0","1","10"
"42","42","42","42","1","0","200000006","200100","42","10","9321","0","0","913","0","670010042","0","42","30","42","42","42","42","0","0","36","0","42","0","42","42","42","1","42","42","41","42","0","1","10"
"43","43","43","43","1","0","200000006","200100","43","10","9754","0","0","1010","0","670010043","0","43","30","43","43","43","43","0","0","36","0","43","0","43","43","43","1","43","43","41","43","0","1","10"
"44","44","44","44","1","0","200000006","200100","44","10","10008","0","0","1079","0","670010044","0","44","30","44","44","44","44","0","0","38","0","44","0","44","44","44","1","44","44","45","44","0","1","10"
"45","45","45","45","1","0","200000006","200100","45","10","10263","0","0","1148","0","670010045","0","45","30","45","45","45","45","0","0","41","0","45","0","45","45","45","1","45","45","49","45","0","1","10"
"46","46","46","46","1","0","200000006","200100","46","10","10517","0","0","1217","0","670010046","0","46","30","46","46","46","46","0","0","43","0","46","0","46","46","46","1","46","46","53","46","0","1","10"
"47","47","47","47","1","0","200000006","200100","47","10","10771","0","0","1286","0","670010047","0","47","30","47","47","47","47","0","0","45","0","47","0","47","47","47","1","47","47","57","47","0","1","10"
"48","48","48","48","1","0","200000006","200100","48","10","11026","0","0","1355","0","670010048","0","48","30","48","48","48","48","0","0","48","0","48","0","48","48","48","1","48","48","61","48","0","1","10"
"49","49","49","49","1","0","200000006","200100","49","10","11280","0","0","1424","0","670010049","0","49","30","49","49","49","49","0","0","50","0","49","0","49","49","49","1","49","49","65","49","0","1","10"
"50","50","50","50","1","0","200000006","200100","50","10","11534","0","0","1493","0","670010050","0","50","30","50","50","50","50","0","0","52","0","50","0","50","50","50","1","50","50","69","50","0","1","10"
"51","51","51","51","1","0","200000006","200100","51","10","11789","0","0","1562","0","670010051","0","51","30","51","51","51","51","0","0","55","0","51","0","51","51","51","1","51","51","73","51","0","1","10"
"52","52","52","52","1","0","200000006","200100","52","10","12043","0","0","1632","0","670010052","0","52","30","52","52","52","52","0","0","57","0","52","0","52","52","52","1","52","52","77","52","0","1","10"
"53","53","53","53","1","0","200000006","200100","53","10","12297","0","0","1701","0","670010053","0","53","30","53","53","53","53","0","0","59","0","53","0","53","53","53","1","53","53","81","53","0","1","10"
"54","54","54","54","1","0","200000006","200100","54","10","12552","0","0","1770","0","670010054","0","54","30","54","54","54","54","0","0","62","0","54","0","54","54","54","1","54","54","85","54","0","1","10"
"55","55","55","55","1","0","200000006","200100","55","10","12806","0","0","1839","0","670010055","0","55","30","55","55","55","55","0","0","64","0","55","0","55","55","55","1","55","55","89","55","0","1","10"
"56","56","56","56","1","0","200000006","200100","56","10","13060","0","0","1908","0","670010056","0","56","30","56","56","56","56","0","0","66","0","56","0","56","56","56","1","56","56","93","56","0","1","10"
"57","57","57","57","1","0","200000006","200100","57","10","13315","0","0","1977","0","670010057","0","57","30","57","57","57","57","0","0","69","0","57","0","57","57","57","1","57","57","97","57","0","1","10"
"58","58","58","58","1","0","200000006","200100","58","10","13569","0","0","2046","0","670010058","0","58","30","58","58","58","58","0","0","71","0","58","0","58","58","58","1","58","58","101","58","0","1","10"
"59","59","59","59","1","0","200000006","200100","59","10","13823","0","0","2115","0","670010059","0","59","30","59","59","59","59","0","0","73","0","59","0","59","59","59","1","59","59","105","59","0","1","10"
"60","60","60","60","1","0","200000006","200100","60","10","14078","0","0","2184","0","670010060","0","60","30","60","60","60","60","0","0","76","0","60","0","60","60","60","1","60","60","109","60","0","1","10"
