9e46a6a5bf6db9ba3adc90f2d378a444b9cf9b6e7d9f6d15bf91e99fe2a7c8ac,8028c98d6e39ad0605ee244e245928224fcf0330828dd9cc66425317fcaf2d2c,617629b8b09c103e1268b7dc0afaf654a71704decfc246b94ff029fbc06d2985,d2959cf52f3785bc32f94a65417364752d5c8fa02cb33208b89bc8177c59746a,3c9f1267753508bff7bc4654e3797320ec52e0c508e998eca0310b3cf6e5d164,3e1780248c9b1eeaf7fda8e7d7aed49357db7101b4cdabc0b10b5c2212dbf7d6,595f209cdd58c6c23a80a524422d50293ed6b9382ed17de79b00ae5dce7bfd58,9bec60fe999c6c3adf070635ea8cd445817d3a7a9f16564ba796f10e8fc58371,58a33c14221b9ae237c98ce8424974ea4f5c93376859ab344e8ebf23c8b1d661,6544bd4a5d43620bcaff50c35d111187975b6cc1ba01272c30407d1556ea4780,3d235e97e1c3739d459466c05b5a1f5e3343fa808110fc10abf9640f46903f1c,ddd0ba289082868598fbe87e657325b6f55051fd511ca31237a6c52f2eae7b2c,6c23fbd4bfca7ad7a7e5c342d3e8d2a87f33227167939dacba6e8be534d96542,4285e94f670f449f929b79cff0e505ad78cd483c58b21489224e5971f67cc432
"0","1005001","100000","10","0","0","2","-30","30","0","1.5","1.7","10050","0"
"-40","1005001","100000","0","0","0.03","1","25","-17","10050101","1.5","1.7","10050","1"
"-23","1005001","100000","10","0","0","3","-47","-32","0","1.5","1.7","10050","0"
"0","1005002","100000","10","0","0","2","-30","30","0","1.5","1.7","10050","0"
"-40","1005002","100000","0","0","0.03","1","25","-17","10050201","1.5","1.7","10050","1"
"-23","1005002","100000","10","0","0","3","-47","-32","0","1.5","1.7","10050","0"
"0","1005003","100000","10","0","0","2","-30","30","0","1.5","1.7","10050","0"
"-40","1005003","100000","0","0","0.03","1","25","-17","10050301","1.5","1.7","10050","1"
"-23","1005003","100000","10","0","0","3","-47","-32","0","1.5","1.7","10050","0"
"0","1005004","100000","10","0","0","2","-30","30","0","1.5","1.7","10050","0"
"-40","1005004","100000","0","0","0.03","1","25","-17","10050401","1.5","1.7","10050","1"
"-23","1005004","100000","10","0","0","3","-47","-32","0","1.5","1.7","10050","0"
"0","1005005","100000","10","0","0","2","-30","30","0","1.5","1.7","10050","0"
"-40","1005005","100000","0","0","0.03","1","25","-17","0","1.5","1.7","10050","1"
"-23","1005005","100000","10","0","0","3","-47","-32","0","1.5","1.7","10050","0"
"0","1007701","100000","10","0","0","2","-30","30","0","1.5","1.7","10077","0"
"-40","1007701","100000","0","0","0.03","1","25","-17","10077101","1.5","1.7","10077","1"
"-23","1007701","100000","10","0","0","3","-47","-32","0","1.5","1.7","10077","0"
"0","1007702","100000","10","0","0","2","-30","30","0","1.5","1.7","10077","0"
"-40","1007702","100000","0","0","0.03","1","25","-17","10077201","1.5","1.7","10077","1"
"-23","1007702","100000","10","0","0","3","-47","-32","0","1.5","1.7","10077","0"
"0","1007703","100000","10","0","0","2","-30","30","0","1.5","1.7","10077","0"
"-40","1007703","100000","0","0","0.03","1","25","-17","10077301","1.5","1.7","10077","1"
"-23","1007703","100000","10","0","0","3","-47","-32","0","1.5","1.7","10077","0"
"0","1007704","100000","10","0","0","2","-30","30","0","1.5","1.7","10077","0"
"-40","1007704","100000","0","0","0.03","1","25","-17","10077401","1.5","1.7","10077","1"
"-23","1007704","100000","10","0","0","3","-47","-32","0","1.5","1.7","10077","0"
"0","1007705","100000","10","0","0","2","-30","30","0","1.5","1.7","10077","0"
"-40","1007705","100000","0","0","0.03","1","25","-17","0","1.5","1.7","10077","1"
"-23","1007705","100000","10","0","0","3","-47","-32","0","1.5","1.7","10077","0"
"-50","1008801","100000","10","0","0.03","1","-25","-13","10088101","0.92","0.84","10088","1"
"-50","1008801","100000","0","0","0","2","-25","13","0","0.8","0.7","10088","0"
"-50","1008802","100000","10","0","0.03","1","-25","-13","10088201","0.92","0.84","10088","1"
"-50","1008802","100000","0","0","0","2","-25","13","0","0.8","0.7","10088","0"
"-50","1008803","100000","10","0","0.03","1","-25","-13","10088301","0.92","0.84","10088","1"
"-50","1008803","100000","0","0","0","2","-25","13","0","0.8","0.7","10088","0"
"-50","1008804","100000","10","0","0.03","1","-30","-17","10088401","0.92","0.7","10088","1"
"-50","1008804","100000","0","0","0","2","-30","30","0","0.8","0.6","10088","0"
"-50","1008805","100000","10","0","0.03","1","-30","-17","0","0.92","0.7","10088","1"
"-50","1008805","100000","0","0","0","2","-30","30","0","0.8","0.6","10088","0"
"0","2002901","100000","10","0","0","2","-30","30","0","1.5","1.7","20029","0"
"-40","2002901","100000","0","0","0.03","1","25","-17","20029101","1.5","1.7","20029","1"
"-23","2002901","100000","10","0","0","3","-47","-32","0","1.5","1.7","20029","0"
"0","2002902","100000","10","0","0","2","-30","30","0","1.5","1.7","20029","0"
"-40","2002902","100000","0","0","0.03","1","25","-17","0","1.5","1.7","20029","1"
"-23","2002902","100000","10","0","0","3","-47","-32","0","1.5","1.7","20029","0"
"0","2002903","100000","10","0","0","2","-30","30","0","1.5","1.7","20029","0"
"-40","2002903","100000","0","0","0.03","1","25","-17","0","1.5","1.7","20029","1"
"-23","2002903","100000","10","0","0","3","-47","-32","0","1.5","1.7","20029","0"
"0","2002904","100000","10","0","0","2","-30","30","0","1.5","1.7","20029","0"
"-40","2002904","100000","0","0","0.03","1","25","-17","0","1.5","1.7","20029","1"
"-23","2002904","100000","10","0","0","3","-47","-32","0","1.5","1.7","20029","0"
"0","2002905","100000","10","0","0","2","-30","30","0","1.5","1.7","20029","0"
"-40","2002905","100000","0","0","0.03","1","25","-17","0","1.5","1.7","20029","1"
"-23","2002905","100000","10","0","0","3","-47","-32","0","1.5","1.7","20029","0"
"-50","1011501","100000","10","0","0.03","1","-25","-13","10115101","0.92","0.84","10115","1"
"-50","1011501","100000","0","0","0","2","-25","13","0","0.8","0.7","10115","0"
"-50","1011502","100000","10","0","0.03","1","-25","-13","10115201","0.92","0.84","10115","1"
"-50","1011502","100000","0","0","0","2","-25","13","0","0.8","0.7","10115","0"
"-50","1011503","100000","10","0","0.03","1","-25","-13","10115301","0.92","0.84","10115","1"
"-50","1011503","100000","0","0","0","2","-25","13","0","0.8","0.7","10115","0"
"-50","1011504","100000","10","0","0.03","1","-30","-17","10115401","0.92","0.7","10115","1"
"-50","1011504","100000","0","0","0","2","-30","30","0","0.8","0.6","10115","0"
"-50","1011505","100000","10","0","0.03","1","-30","-17","0","0.92","0.7","10115","1"
"-50","1011505","100000","0","0","0","2","-30","30","0","0.8","0.6","10115","0"
"-50","2004801","100000","10","0","0.03","1","-25","-13","0","0.92","0.84","20048","1"
"-50","2004801","100000","0","0","0","2","-25","13","0","0.8","0.7","20048","0"
"-50","2004802","100000","10","0","0.03","1","-25","-13","0","0.92","0.84","20048","1"
"-50","2004802","100000","0","0","0","2","-25","13","0","0.8","0.7","20048","0"
"-50","2004803","100000","10","0","0.03","1","-25","-13","0","0.92","0.84","20048","1"
"-50","2004803","100000","0","0","0","2","-25","13","0","0.8","0.7","20048","0"
