d1da8bc392915ad6ae3b47802be02cbba60a4a2e499abca0aae6bd17e1690810,d15ecea0319755cadd7672fb1507ce761bccd4dc11db2afa5f1a7dcea3c5a118,468209acb1f9dcd2913d4750d34bc4d1f57fde5c4df7055980c25da42cc52de3,2afb9a105f8bc16be5cacba0effacfb081e31910305f4f27f79fe169140155be,a6de4389e1652b6a492b1edec2f7d0812b0e982f97e7d520f4778fce9dd362b6
"300","1","1","1","135"
"-100","1","1","2","425"
"125","2","1","3","-100"
"-415","2","1","4","375"
"-50","3","1","5","25"
"-300","3","1","6","-25"
"-335","4","1","7","-195"
"-415","4","1","8","105"
"-160","5","1","9","135"
"-40","6","1","10","345"
"90","7","1","11","-230"
"-420","8","1","12","230"
"250","9","1","13","30"
"-245","10","1","14","280"
"-110","11","1","15","-150"
