1776996523372b24db9954f679470f1f3c7e7e80b660c5edb013bce544189b85,91fdd475a967358ad9f1440989c505cd09d1f02cd39d061ee76d00966e12794b,9dc42035cec2916f4112cba54d9710f742f98b4f8ded8cf890b993e37eb882b8,6f521de451081a3a277544f71b636bc33f29ee804da27911248c3b14b8419167,7485fb5e51360a3e56d0127068d7e4a090037f37984b9d9547f8fcfa2af445e0
"1","1","0","1038","150"
"2","2","0","1038","151"
"3","3","0","1038","152"
"4","4","0","1038","153"
"5","5","0","1038","154"
"6","1","0","1039","156"
"7","2","0","1039","157"
"8","3","0","1039","158"
"9","4","0","1039","159"
"10","5","0","1039","160"
"11","1","0","1040","162"
"12","2","0","1040","163"
"13","3","0","1040","164"
"14","4","0","1040","165"
"15","5","0","1040","166"
"16","1","0","1041","168"
"17","2","0","1041","169"
"18","3","0","1041","170"
"19","4","0","1041","171"
"20","5","0","1041","172"
"21","1","0","1042","174"
"22","2","0","1042","175"
"23","3","0","1042","176"
"24","4","0","1042","177"
"25","5","0","1042","178"
"26","1","0","1043","180"
"27","2","0","1043","181"
"28","3","0","1043","182"
"29","4","0","1043","183"
"30","5","0","1043","184"
"31","1","0","1044","186"
"32","2","0","1044","187"
"33","3","0","1044","188"
"34","4","0","1044","189"
"35","5","0","1044","190"
"36","1","0","1045","192"
"37","2","0","1045","193"
"38","3","0","1045","194"
"39","4","0","1045","195"
"40","5","0","1045","196"
"41","1","0","1046","198"
"42","2","0","1046","199"
"43","3","0","1046","200"
"44","4","0","1046","201"
"45","5","0","1046","202"
"46","1","0","1047","204"
"47","2","0","1047","205"
"48","3","0","1047","206"
"49","4","0","1047","207"
"50","5","0","1047","208"
"51","1","0","1048","210"
"52","2","0","1048","211"
"53","3","0","1048","212"
"54","4","0","1048","213"
"55","5","0","1048","214"
"56","1","0","1049","216"
"57","2","0","1049","217"
"58","3","0","1049","218"
"59","4","0","1049","219"
"60","5","0","1049","220"
"61","1","0","1050","222"
"62","2","0","1050","223"
"63","3","0","1050","224"
"64","4","0","1050","225"
"65","5","0","1050","226"
"66","1","0","1051","228"
"67","2","0","1051","229"
"68","3","0","1051","230"
"69","4","0","1051","231"
"70","5","0","1051","232"
"71","1","0","1052","234"
"72","2","0","1052","235"
"73","3","0","1052","236"
"74","4","0","1052","237"
"75","5","0","1052","238"
"76","1","0","1053","240"
"77","2","0","1053","241"
"78","3","0","1053","242"
"79","4","0","1053","243"
"80","5","0","1053","244"
"81","1","0","1054","246"
"82","2","0","1054","247"
"83","3","0","1054","248"
"84","4","0","1054","249"
"85","5","0","1054","250"
"86","1","0","1055","252"
"87","2","0","1055","253"
"88","3","0","1055","254"
"89","4","0","1055","255"
"90","5","0","1055","256"
"91","1","0","1056","258"
"92","2","0","1056","259"
"93","3","0","1056","260"
"94","4","0","1056","261"
"95","5","0","1056","262"
"96","1","0","1057","264"
"97","2","0","1057","265"
"98","3","0","1057","266"
"99","4","0","1057","267"
"100","5","0","1057","268"
"101","1","0","1058","270"
"102","2","0","1058","271"
"103","3","0","1058","272"
"104","4","0","1058","273"
"105","5","0","1058","274"
"106","1","0","1059","276"
"107","2","0","1059","277"
"108","3","0","1059","278"
"109","4","0","1059","279"
"111","1","0","1060","282"
"112","2","0","1060","283"
"113","3","0","1060","284"
"114","4","0","1060","285"
"116","1","0","1061","288"
"117","2","0","1061","289"
"118","3","0","1061","290"
"119","4","0","1061","291"
"121","1","0","1063","294"
"122","2","0","1063","295"
"123","3","0","1063","296"
"124","4","0","1063","297"
"125","1","0","1064","299"
"126","2","0","1064","300"
"127","3","0","1064","301"
"128","4","0","1064","302"
"129","1","0","1065","304"
"130","2","0","1065","305"
"131","3","0","1065","306"
"132","4","0","1065","307"
"133","1","0","1066","308"
"134","2","0","1066","310"
"135","3","0","1066","311"
"136","4","0","1066","312"
"137","1","0","1067","313"
"138","2","0","1067","315"
"139","3","0","1067","316"
"140","4","0","1067","317"
"141","1","0","1068","318"
"142","2","0","1068","320"
"143","3","0","1068","321"
"144","4","0","1068","322"
"145","1","0","1069","323"
"146","2","0","1069","325"
"147","3","0","1069","326"
"148","4","0","1069","327"
"149","1","0","1070","328"
"150","2","0","1070","330"
"151","3","0","1070","331"
"152","4","0","1070","332"
"153","1","0","1071","333"
"154","2","0","1071","335"
"155","3","0","1071","336"
"156","4","0","1071","337"
"157","1","0","1072","338"
"158","2","0","1072","340"
"159","3","0","1072","341"
"160","4","0","1072","342"
"161","1","0","1073","343"
"162","2","0","1073","345"
"163","3","0","1073","346"
"164","4","0","1073","347"
"165","1","0","1074","348"
"166","2","0","1074","350"
"167","3","0","1074","351"
"168","4","0","1074","352"
"169","1","0","1075","353"
"170","2","0","1075","355"
"171","3","0","1075","356"
"172","4","0","1075","357"
"173","1","0","1076","358"
"174","2","0","1076","360"
"175","3","0","1076","361"
"176","4","0","1076","362"
"177","1","0","1077","363"
"178","2","0","1077","365"
"179","3","0","1077","366"
"180","4","0","1077","367"
"181","1","0","1078","368"
"182","2","0","1078","370"
"183","3","0","1078","371"
"184","4","0","1078","372"
"185","1","0","1079","373"
"186","2","0","1079","375"
"187","3","0","1079","376"
"188","4","0","1079","377"
"189","1","0","1080","378"
"190","2","0","1080","380"
"191","3","0","1080","381"
"192","4","0","1080","382"
"193","1","0","1081","383"
"194","2","0","1081","385"
"195","3","0","1081","386"
"196","4","0","1081","387"
"197","1","0","1082","388"
"198","2","0","1082","390"
"199","3","0","1082","391"
"200","4","0","1082","392"
"201","1","0","1083","393"
"202","2","0","1083","395"
"203","3","0","1083","396"
"204","4","0","1083","397"
