b7760cba4d796657478ec2f27e929e556e0c324230d051dd0d8de110cf6c61ce,0a36f90ded7632744aa7131a48150108c4c9dc4d90f073d23b9193a7f1712cc7,e61af82a8180f83f86895069c5777697b8241c1f1fbd49779ece8a5223fac99f,64fdfde0ae523f14d6f53f658163c8d4e4e4033e81065727bcd572800cb0515c,f7807758b61453d10dc559ea81173624f6ae5770743783b4a4afa3a4933304ad
"0","1","0","3030100","1"
"0","1","0","3050100","2"
"0","1","0","3040100","3"
"0","1","0","3020100","4"
"0","1","0","2040100","5"
"0","2","0","2040100","5"
"0","1","0","2020100","6"
"0","2","0","2020100","6"
"0","1","314","1030100","7"
"0","1","0","4030100","8"
"0","1","502","1050100","9"
"0","1","0","4020100","10"
"0","1","0","2030100","11"
"0","2","0","2030100","11"
"10301010","1","0","3040100","12"
"0","1","202","1020100","13"
"20201010","1","406","1040102","14"
"0","1","105","1010200","15"
"0","2","0","2010200","15"
"0","3","0","2010200","15"
"0","1","0","3050200","16"
"0","1","0","3040200","17"
"0","1","0","3020200","18"
"0","1","0","2040200","19"
"0","2","0","2040200","19"
"0","1","0","2020200","20"
"0","2","0","2020200","20"
"0","1","315","1030200","21"
"0","1","205","1020200","22"
"0","1","509","1050200","23"
"0","1","0","4020200","24"
"0","1","0","2030200","25"
"0","2","0","2030200","25"
"0","1","0","4030200","26"
"10101020","1","0","3020200","27"
"20201020","1","408","1040200","28"
"10101020","1","0","3040200","29"
"10101020","1","0","3010200","30"
"0","1","102","1010300","31"
"0","2","0","2010300","31"
"0","3","0","2010300","31"
"0","1","0","3050300","32"
"0","1","0","3040300","33"
"0","1","0","3020300","34"
"0","1","0","2040300","35"
"0","2","0","2040300","35"
"0","1","0","2020300","36"
"0","2","0","2020300","36"
"0","1","306","1030300","37"
"0","1","206","1020300","38"
"0","1","502","1050300","39"
"0","1","0","4020300","40"
"0","1","0","2030300","41"
"0","2","0","2030300","41"
"0","1","0","4030300","42"
"10101030","1","0","3020300","43"
"20201030","1","406","1040300","44"
"10101050","1","0","3010300","45"
"10101050","1","0","3040300","46"
"10101050","1","0","3030300","47"
"10101050","1","0","3010300","48"
"10101050","1","0","3020300","49"
"30102050","1","112","1010300","50"
