4e6230ce33e788606f61909ccf65aa7e86f215fcc248e178518fe6a76af534cb,28df9ad93d8beee432f9bc5d765b74553d47f0bb4e3da5c8ad92b99b91712b0a,6334f8824dbfda3cda5cb465d0b628fbf0f43b590efcec37eead27972e0ec03c,549cb8e31d587844da1ec91e650fb30e2ae65b2928f4d1f0197988fb16a9f27b,ff82068671279658a4e16817e04f451f7b99fba94c1d54b133e7c0a71baf0f31,64b0dc545a6194ce28229b64efa871267a62401ffe9095b12cd3ff150676d331,15b78a88b88dd9308f65e4cd47f714c102d20ac22b1c2ec5c6a8266cd06aa54c,f5e129b8160587c26b9481dc680e58430fc334b46c966fca4824c53cfa6b6ffd,7a05418df612c2c00869d3d5e75868accd236f991259baf01a5f19f070f0c14d,7cbff2dd0c5c378cd82901d87ee78ef26d7127ce185d3df66f6c142dadbdcbfc,1d79c1cba94c2e93cccdb512da3014ae33f7ab2fe2d46b86ab07afb240e01d18,536a307c27113e0750ecba07ef226280a56bde67c0ab29a31ce48f4bc0bc57e9,464516a411e2baa24e027d0926c1868ba27bf79dffe25bea5602f935fad35c50,80f848ca3af7716b79ca44adaf97dd8c2a9b0bb228b52f0e54013a0caee2b095,f3811547f65fe32935ad8af5e02ad625795dd8c44a0c7a1fb0abc32452ef2c92,c9d217ac2cf1526582a90279c82ec54ba75fbeb5c5dced51bcba2310a3373fcc
"1","前篇Boss戰（SCENARIO）","5201004","113001","0","0","bgm_MC223","90","5201301","bgm_MC223","10201101","81020102","103613","90","610201101","10201"
"1","後篇Boss戰（SCENARIO）","5201009","113001","2025/06/07 16:00:00","0","bgm_MC224","90","5201311","bgm_MC224","10201151","81020103","81020101","90","610201151","10201"
"2","前篇Boss戰（SPECIAL）","0","114001","0","10201101","bgm_MC223","90","0","bgm_MC223","10201201","103613","103613","255","0","10201"
"2","後篇Boss戰（SPECIAL）","0","114001","2025/06/07 16:00:00","10201151","bgm_MC224","90","0","bgm_MC224","10201251","81020104","81020101","255","0","10201"
"3","前篇Boss戰（SPECIAL+）","0","115001","0","10201201","bgm_MC223","90","0","bgm_MC223","10201501","103613","103613","331","0","10201"
"3","後篇Boss戰（SPECIAL+）","0","115001","2025/06/07 16:00:00","10201251","bgm_MC224","90","0","bgm_MC224","10201551","81020104","81020101","331","0","10201"
"1","Boss戰（SCENARIO）","5202006","113001","0","0","bgm_MC228","90","5202301","bgm_MC228","10202101","81020201","102370","90","610202101","10202"
"2","Boss戰（SPECIAL）","0","114001","0","10202101","bgm_MC228","90","0","bgm_MC228","10202201","102370","102370","255","0","10202"
"3","Boss戰（SPECIAL＋）","0","115001","0","10202201","bgm_MC228","90","0","bgm_MC228","10202501","102370","102370","334","0","10202"
"1","Boss戰（SCENARIO）","5203006","113001","0","0","bgm_MC236","90","5203301","bgm_MC236","10203101","81020301","81020301","90","610203101","10203"
"2","Boss戰（SPECIAL）","0","114001","0","10203101","bgm_MC236","90","0","bgm_MC236","10203201","81020301","81020301","255","0","10203"
"3","Boss戰（SPECIAL＋）","0","115001","0","10203201","bgm_MC236","90","0","bgm_MC236","10203501","81020301","81020301","337","0","10203"
"1","Boss戰（SCENARIO）","5204006","113001","0","0","bgm_MC253","90","5204301","bgm_MC253","10204101","100092","100092","90","610204101","10204"
"2","Boss戰（SPECIAL）","0","114001","0","10204101","bgm_MC253","90","0","bgm_MC253","10204201","100092","100092","255","0","10204"
"3","Boss戰（SPECIAL＋）","0","115001","0","10204201","bgm_MC253","90","0","bgm_MC253","10204501","100092","100092","340","0","10204"
"1","Boss戰（SCENARIO）","5205006","113001","0","0","bgm_MC257","90","5205301","bgm_MC257","10205101","100199","100199","90","610205101","10205"
"2","Boss戰（SPECIAL）","0","114001","0","10205101","bgm_MC257","90","0","bgm_MC257","10205201","100199","100199","255","0","10205"
"3","Boss戰（SPECIAL＋）","0","115001","0","10205201","bgm_MC257","90","0","bgm_MC257","10205501","100199","100199","343","0","10205"
"1","Boss戰（SCENARIO）","5206006","113001","0","0","bgm_MC264","90","5206301","bgm_MC264_NoIntro","10206101","81020601","81020601","90","610206101","10206"
"2","Boss戰（SPECIAL）","0","114001","0","10206101","bgm_MC264","90","0","bgm_MC264_NoIntro","10206201","81020601","81020601","255","0","10206"
"3","Boss戰（SPECIAL＋）","0","115001","0","10206201","bgm_MC264","90","0","bgm_MC264_NoIntro","10206501","81020601","81020601","346","0","10206"
"1","Boss戰（SCENARIO）","5207006","113001","0","0","bgm_MC270","90","5207301","bgm_MC270","10207101","81020701","81020701","90","610207101","10207"
"2","Boss戰（SPECIAL）","0","114001","0","10207101","bgm_MC270","90","0","bgm_MC270","10207201","81020701","81020701","255","0","10207"
"3","Boss戰（SPECIAL＋）","0","115001","0","10207201","bgm_MC270","90","0","bgm_MC270","10207501","81020701","81020701","349","0","10207"
