c8137b9918b8533695e8ee0482e7d43dd7a7a7ae407a05f89df1e71952e9c4a2,2e2274d7d45e72d260196690b9f2f567403e38a53fde46b5b91bac1b5f9b8cb6,bf5a70f56c4d7749e23ceba96ec5e88520d0cd6bb4eda8ecd38af1e7d81f1059
"1","1","101"
"2","1","103"
"3","1","105"
"4","2","101"
"5","2","102"
"6","2","103"
"7","2","105"
"8","3","101"
"9","3","102"
"10","3","103"
"11","4","101"
"12","4","103"
"13","4","104"
"14","4","105"
"15","5","103"
"16","5","104"
"17","5","105"
"18","6","102"
"19","6","104"
"20","6","106"
"21","7","101"
"22","7","102"
"23","7","106"
"24","8","102"
"25","8","103"
"26","8","106"
"27","9","103"
"28","9","104"
"29","9","105"
"30","10","101"
"31","10","103"
"32","10","105"
"33","11","107"
"34","11","108"
