709ab31ad96c44ad4f33078e15c69892bb7c6ae2008adce2382f9f78d852bfb4,c5a1f912046761f01c47961b2c008391a570d5859dab7faa8a9a4731fcfa2a25,c166b3b04841c4d9cc0f48364394cd0eb7f041d5da7de7f42d06fb3c8afed6ba,06547bc27f146f77268bd34885031bebfe56949b50291d59af905a478f99acb5,3c667f2269d2972929ad54cef66b198901150a6dee68582e36ec2034f8c23c11,0502e6a6175c6ba9d4596daf37d913f4ad6c1513a45f50f794bd2fbe9fda9224,c1f3d4ed2c183b4ca29fd2001296e063985a94c67e080bd2b7e87be7267daafd,3781aefbf8f7844f157007cf1ff4e2b4c300cdd86aaa1d0980b64cea756ae2d8,75b897c98b721894b0e6174a7c214762d8d5d0c14bcc19a1acc1865e17371796,1dceb52d2b23be1e3f63b3efa624dd529127c635053379f3848610ec9d45898e,e9b071f23b99e6873b11117daf2bd3c28a5ca8ed1d84e91330fb5e33b639d823
"-345","0","118511","-273","1","111001","wac_215_karin_idle_normal","111","2","202","1"
"-355","1","105811","170","1","111002","wac_215_idle_joy1","111","2","205","1"
"-325","1","105911","50","1","111003","wac_215_idle_normal_joy","111","2","202","1"
"-330","1","106011","300","1","111004","wac_215_idle_arm_crossed","111","2","203","1"
"-360","1","106431","450","1","111005","wac_215_idle_normal2","111","2","204","1"
"","","","","131","111006","","111","","","1"
"","","0","","93","112001","","112","","","1"
"","","wac_215_karin_talk_normal","","3","112002","","112","0.2","1","118511"
"","","vo_wac_220215_000","0","21","112003","","112","","0","vo_wac_220215"
"1","0","【美食殿堂】的各位，\n謝謝你們過來！","1","11","112004","0.5","112","0","10","118511"
"","","","","91","112005","","112","","","112004"
"","","wac_215_karin_idle_normal","","3","112006","","112","0.2","1","118511"
"1","0.2","wac_215_peko_oissu","wac_215_talk_normal","3","112007","","112","0.2","0","105811"
"","","vo_wac_220215_001","0","21","112008","","112","","0","vo_wac_220215"
"1","0","花凜小姐，阿囉哈～！\n怎麼了嗎？\n居然找我們來\n蘭德索爾的這個角落。","1","11","112009","0.5","112","0","10","105811"
"","","","","91","112010","","112","","","112009"
"","","wac_215_idle_normal","","3","112011","","112","0.2","1","105811"
"","","wac_215_karin_talk_normal","","3","112012","","112","0.2","1","118511"
"","","vo_wac_220215_002","0","21","112013","","112","","0","vo_wac_220215"
"1","0","我今天有個重要的委託\n想要拜託各位。","1","11","112014","0.5","112","0","10","118511"
"","","","","91","112015","","112","","","112014"
"","","wac_215_karin_idle_normal","","3","112016","","112","0.2","1","118511"
"1","0","wac_215_talk_arm_crossed","wac_215_talk_arm_crossed_loop","3","112017","","112","0.2","0","106011"
"","","vo_wac_220215_003","0","21","112018","","112","","0","vo_wac_220215"
"1","0","重要的委託？\n妳該不會是又想\n把麻煩的事情推給我們吧……","1","11","112019","0.5","112","0","10","106011"
"","","","","91","112020","","112","","","112019"
"","","wac_215_idle_arm_crossed","","3","112021","","112","0.2","1","106011"
"","","wac_215_karin_talk_normal","","3","112022","","112","0.2","1","118511"
"","","vo_wac_220215_004","0","21","112023","","112","","0","vo_wac_220215"
"1","0","其實這次是為了發展提升景觀的\n事業，而決定著手進行在圍繞\n蘭德索爾的牆壁上畫畫，\n讓城鎮華麗起來的計畫。","1","11","112024","0.5","112","0","10","118511"
"","","","","91","112025","","112","","","112024"
"","","wac_215_karin_idle_normal","","3","112026","","112","0.2","1","118511"
"1","0.2","wac_215_shefy_humu","wac_215_talk_normal","3","112027","","112","0.2","0","106431"
"","","vo_wac_220215_005","0","21","112028","","112","","0","vo_wac_220215"
"1","0","在圍繞蘭德索爾的牆壁上畫畫？\n哦～好像會很開心呢。\n只要畫在這裡就行了嗎？","1","11","112029","0.5","112","0","10","106431"
"","","","","91","112030","","112","","","112029"
"","","wac_215_idle_normal2_joy","","3","112031","","112","0.2","1","106431"
"","","wac_215_karin_talk_normal","","3","112032","","112","0.2","1","118511"
"","","vo_wac_220215_006","0","21","112033","","112","","0","vo_wac_220215"
"1","0","是的，希望你們能從這裡開始，\n沿著蘭德索爾的牆壁繞一圈，\n用繪畫填滿整片牆。","1","11","112034","0.5","112","0","10","118511"
"","","","","91","112035","","112","","","112034"
"","","wac_215_karin_idle_normal","","3","112036","","112","0.2","1","118511"
"","","wac_215_talk_sad","","3","112037","","112","0.2","1","106431"
"","","vo_wac_220215_007","0","21","112038","","112","","0","vo_wac_220215"
"1","0","咦？要沿著蘭德索爾的牆壁……\n繞一圈？","1","11","112039","0.5","112","0","10","106431"
"","","","","91","112040","","112","","","112039"
"","","wac_215_idle_sad","","3","112041","","112","0.2","1","106431"
"","","wac_215_karin_talk_wish","","3","112042","","112","0.2","1","118511"
"","","vo_wac_220215_008","0","21","112043","","112","","0","vo_wac_220215"
"1","0","是的♪你們不覺得要是能用\n漂亮的圖畫裝飾整個蘭德索爾，\n就能讓這裡變成一座\n充滿了魅力的城鎮嗎？","1","11","112044","0.5","112","0","10","118511"
"","","","","91","112045","","112","","","112044"
"","","wac_215_karin_idle_normal","","3","112046","","112","0.2","1","118511"
"","","wac_215_coccoro_talk_wish","","3","112047","","112","0.2","1","105911"
"","","vo_wac_220215_009","0","21","112048","","112","","0","vo_wac_220215"
"1","0","這個計畫……還真是壯闊啊。\n花凜小姐。","1","11","112049","0.5","112","0","10","105911"
"","","","","91","112050","","112","","","112049"
"","","wac_215_coccoro_idle_wish","","3","112051","","112","0.2","1","105911"
"1","0","wac_215_peko_talk_guts2","wac_215_peko_talk_guts2_loop","3","112052","","112","0.2","0","105811"
"","","vo_wac_220215_010","0","21","112053","","112","","0","vo_wac_220215"
"1","0","好興奮喔！太讚了吧☆\n那就去請在王宮工作的畫家\n教我們怎麼畫畫吧♪","1","11","112054","0.5","112","0","10","105811"
"","","","","91","112055","","112","","","112054"
"","","wac_215_peko_idle_guts2","","3","112056","","112","0.2","1","105811"
"","","0","","4","112057","","112","","","105811"
"","","0","","4","112058","","112","","","105911"
"","","wac_215_idle_joy1","","3","112059","","112","0.2","1","105811"
"","","wac_215_idle_normal","","3","112060","","112","0.2","1","105911"
"","","wac_215_idle_surprise1","","3","112061","","112","0.2","1","106431"
"1","0.2","wac_215_kyaru_anger","wac_215_talk_anger2","3","112062","","112","0.2","1","106011"
"","","vo_wac_220215_011","0","21","112063","","112","","0","vo_wac_220215"
"1","0","慢著慢著慢著！！\n就要妳等一下了啊！？\n你們以為繞蘭德索爾的牆壁\n走整整一圈的距離有多遠啊！","1","11","112064","0.5","112","0","10","106011"
"","","","","91","112065","","112","","","112064"
"","","wac_215_idle_anger2","","3","112066","","112","0.2","1","106011"
"","","wac_215_talk_sad","","3","112067","","112","0.2","1","106011"
"","","vo_wac_220215_012","0","21","112068","","112","","0","vo_wac_220215"
"1","0","那可是連正常地走過去\n都會令人厭煩的距離耶？\n如果只有我們，再怎麼樣都……","1","11","112069","0.5","112","0","10","106011"
"","","","","91","112070","","112","","","112069"
"","","wac_215_idle_sad","","3","112071","","112","0.2","1","106011"
"","","wac_215_coccoro_talk_wish2","","3","112072","","112","0.2","1","105911"
"","","vo_wac_220215_013","0","21","112073","","112","","0","vo_wac_220215"
"1","0","凱留小姐，那麼，要不要\n請其他公會也來幫忙呢？\n只要和各位同心協力……","1","11","112074","0.5","112","0","10","105911"
"","","","","91","112075","","112","","","112074"
"","","wac_215_coccoro_idle_wish2","","3","112076","","112","0.2","1","105911"
"1","0","wac_215_kyaru_talk_doya","wac_215_kyaru_talk_doya_loop","3","112077","","112","0.2","0","106011"
"","","vo_wac_220215_014","0","21","112078","","112","","0","vo_wac_220215"
"1","0","可蘿仔，妳這不是超有幹勁的嗎……\n啊～受不了，拿你們沒辦法耶。\n花凜，你很擅長這種事情吧？\n就是那個叫什麼呼喚的東西。","1","11","112079","0.5","112","0","10","106011"
"","","","","91","112080","","112","","","112079"
"","","wac_215_idle_arm_crossed","","3","112081","","112","0.2","1","106011"
"","","1","","4","112082","","112","","","105811"
"","","1","","4","112083","","112","","","105911"
"","","wac_215_idle_normal_joy","","3","112084","","112","0.2","1","105911"
"","","wac_215_idle_normal2_joy","","3","112085","","112","0.2","1","106431"
"","","wac_215_karin_talk_wish","","3","112086","","112","0.2","1","118511"
"","","vo_wac_220215_015","0","21","112087","","112","","0","vo_wac_220215"
"1","0","我明白了，\n那我來彙整發給各個公會的委託書。\n公會呼喚……！","1","11","112088","0.5","112","0","10","118511"
"","","","","91","112089","","112","","","112088"
"","","wac_215_karin_idle_normal","","3","112090","","112","0.2","1","118511"
"","","wac_215_karin_talk_normal","","3","112091","","112","0.2","1","118511"
"","","vo_wac_220215_016","0","21","112092","","112","","0","vo_wac_220215"
"1","0","那在大家畫畫時，\n我就去找其他的公會囉。\n讓牆壁上充滿美麗的圖畫，\n來打造出蘭德索爾的地標景點吧！","1","11","112093","0.5","112","0","10","118511"
"","","","","91","112094","","112","","","112093"
"","","wac_215_karin_idle_normal","","3","112095","","112","0.2","1","118511"
"1","0.2","wac_215_peko_talk_wish","wac_215_peko_talk_wish_loop","3","112096","","112","0.2","0","105811"
"","","vo_wac_220215_017","0","21","112097","","112","","0","vo_wac_220215"
"1","0","我明白了！\n那我就來畫魔物料理──","1","11","112098","0.5","112","0","10","105811"
"","","","","91","112099","","112","","","112098"
"","","wac_215_peko_idle_wish","","3","112100","","112","0.2","1","105811"
"1","0.2","wac_215_kyaru_talk_anger","wac_215_talk_arm_crossed_loop","3","112101","","112","0.2","0","106011"
"","","vo_wac_220215_018","0","21","112102","","112","","0","vo_wac_220215"
"1","0","妳別畫那種噁心的東西！\n但企劃本身算還不錯吧？\n感覺好像很開心……那麼，\n就來大展身手一番吧！","1","11","112103","0.5","112","0","10","106011"
"","","","","91","112104","","112","","","112103"
"","","wac_215_idle_arm_crossed","","3","112105","","112","0.2","1","106011"
"1","0","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","3","112106","","112","0.2","0","105811"
"1","0","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","3","112107","","112","0.2","0","106431"
"","","","","93","112108","","112","","","0.1"
"1","0","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","3","112109","","112","0.2","0","105911"
"1","0.2","wac_215_cmn_eieio","wac_215_cmn_eieio_loop","3","112110","","112","0.2","0","106011"
"","","","","93","112111","","112","","","0.9"
"1","0.2","wac_215_handclap","wac_215_karin_idle_normal","3","112112","","112","0.2","0","118511"
"","","0","","93","112113","","112","","","2"
"","","","","91","112114","","112","","","0"
"","","wac_215_karin_idle_normal","","3","113001","","113","0.2","1","118511"
"","","wac_215_idle_joy1","","3","113002","","113","0.2","1","105811"
"","","","","93","113003","","113","","","0.1"
"","","wac_215_coccoro_idle_wish","","3","113004","","113","0.2","1","105911"
"","","wac_215_idle_arm_crossed","","3","113005","","113","0.2","1","106011"
"","","","","93","113006","","113","","","0.1"
"","","wac_215_idle_normal2_joy","","3","113007","","113","0.2","1","106431"
"","","","","91","113008","","113","","","0"
"-212.75","0","105811","-108","1","211001","wac_default_11","211","2","202","1"
"-212.75","0","111","-108","5","211002","wac_default_11","211","2","201","1"
"1","","1","0","31","211003","","211","1","0","1"
"1","","2","0","31","211004","","211","0","0","2"
"1","","11","0","31","211005","","211","0","0","11"
"0","","wac_paint_11","","3","211006","","211","0.2","0","105811"
"0","","wac_paint_11","","3","211007","","211","0.2","0","111"
"","","0","","93","211008","","211","","","0.3"
"","","1","","32","211009","wac_default_11","211","","","11"
"","","se_10035700_roller","","23","211010","","211","","0","se_10035700"
"","","","","131","211011","","211","","","1"
"1","","wac_talk_kyapi_in","wac_talk_kyapi_loop","3","212001","","212","0.2","0","105811"
"","","wac_no_items","","3","212002","","212","0.2","1","111"
"","","200","0","2","212003","","212","","-340","105811"
"","","200","0","2","212004","","212","","-340","111"
"","","0","","32","212005","","212","","","1"
"","","1","","32","212006","","212","","","2"
"","","0","","32","212007","","212","","","11"
"","","vo_wac_220216_000","0","21","212008","","212","","0","vo_wac_220216"
"1","0","嘿嘿～♪畫畫，畫畫～！\n這搞不好是我有生以來\n第一次畫這麼大一幅畫！","1","11","212009","0.5","212","0","10","105811"
"","","","","91","212010","","212","","","0"
