7f249e1e58c0e91fb0e66999826c6d5fbcda066ca847a57e181d5b97d6a68943,a2bcc3eccafd002ddec81378664597f18b9a1fef80ac6fd7cb36cd37036fdd27,5beb1992ed92c5b07e1cae17dbf6575661c8b58ba4c4b361931f403378430153,bdd45603da51cebdc8eca5009bab9285baa5f049d9d88d06ce9a1d1d9414b8cd,8e6670f571c7a21061235d723ae6b7a13d04accec7cec744b2c155e2172fe757,13c48c36c8541d55e5084643949388eff29e055380265788c73b9de1b2118281,58e356458a75cc472fd4545526ebe1783a5b5db42905f02e3fb22b435c9f7681,c6bbeadf93e275f1bb9ec7fe0ad394090eb8cc7752501001caf00d3673c0cc7d,133bc5e23447d4306727cfba4ae28d405fcd8360b80ca12ca265989a8a1e0446,f353bf4818b58b6d68cc7deb0a88777d86eb2cc0fda1d67881702a42504a8314,330cd683456bcd6ae5b6a35b3c9ec79c1066c76c1efec9857698471ef05f4d7d
"283001001","25013","10","1","8","2","31","2","25021","91002","8"
"283001002","25013","10","2","8","2","31","2","25021","91002","8"
"283001003","25013","10","3","8","2","32","2","25021","91002","8"
"283001004","25013","10","4","8","2","32","2","25021","91002","8"
"283001005","25013","10","5","8","2","33","2","25021","91002","8"
"283001006","25013","10","6","8","2","33","2","25021","91002","9"
"283001007","25013","10","7","8","2","34","2","25021","91002","9"
"283001008","25013","10","8","8","2","35","2","25021","91002","9"
"283001009","25013","10","9","8","2","35","2","25021","91002","9"
"283001010","25013","30","10","8","2","37","2","25021","91002","10"
"283001011","25013","10","11","8","2","41","2","25021","91002","10"
"283001012","25013","10","12","8","2","43","2","25021","91002","11"
"283001013","25013","10","13","8","2","46","2","25021","91002","11"
"283001014","25013","10","14","8","2","48","2","25021","91002","12"
"283001015","25013","10","15","8","2","50","2","25021","91002","12"
"283001016","25013","10","16","8","2","53","2","25021","91002","13"
"283001017","25013","10","17","8","2","55","2","25021","91002","14"
"283001018","25013","10","18","8","2","58","2","25021","91002","14"
"283001019","25013","10","19","8","2","60","2","25021","91002","15"
"283001020","25013","30","20","8","2","62","2","25021","91002","15"
"283001021","25013","10","21","8","2","68","2","25021","91002","16"
"283001022","25013","10","22","8","2","70","2","25021","91002","16"
"283001023","25013","10","23","8","2","72","2","25021","91002","16"
"283001024","25013","10","24","8","2","75","2","25021","91002","17"
"283001025","25013","10","25","8","2","77","2","25021","91002","18"
"283001026","25013","10","26","8","2","79","2","25021","91002","18"
"283001027","25013","10","27","8","2","82","2","25021","91002","19"
"283001028","25013","10","28","8","2","84","2","25021","91002","19"
"283001029","25013","10","29","8","2","86","2","25021","91002","19"
"283001030","25013","30","30","8","2","89","2","25021","91002","20"
"283001031","25013","10","31","8","2","94","2","25021","91002","20"
"283001032","25013","10","32","8","2","96","2","25021","91002","21"
"283001033","25013","10","33","8","2","99","2","25021","91002","21"
"283001034","25013","10","34","8","2","101","2","25021","91002","22"
"283001035","25013","10","35","8","2","103","2","25021","91002","22"
"283001036","25013","10","36","8","2","106","2","25021","91002","23"
"283001037","25013","10","37","8","2","108","2","25021","91002","23"
"283001038","25013","10","38","8","2","111","2","25021","91002","24"
"283001039","25013","10","39","8","2","113","2","25021","91002","25"
"283001040","25013","30","40","8","2","115","2","25021","91002","25"
"283001041","25013","10","41","8","2","121","2","25021","91002","26"
"283001042","25013","10","42","8","2","123","2","25021","91002","27"
"283001043","25013","10","43","8","2","125","2","25021","91002","28"
"283001044","25013","10","44","8","2","128","2","25021","91002","28"
"283001045","25013","10","45","8","2","130","2","25021","91002","29"
"283001046","25013","10","46","8","2","132","2","25021","91002","30"
"283001047","25013","10","47","8","2","135","2","25021","91002","30"
"283001048","25013","10","48","8","2","137","2","25021","91002","31"
"283001049","25013","10","49","8","2","139","2","25021","91002","31"
"283001050","25013","30","50","8","2","142","2","25021","91002","31"
