1a185e64bf4d58dc837938501b41f72654b712b8b8bb05e0a1334e81506256fc,7848b15a2b11f3fd3811d93b63ff170ad03e18adfe34dbabdeb6d9378c73c759,f5af5a1e433ef1ebaaf5ad2a15f7694f61ac6f24cb792cd62dd5a2edb8dfa6e5,5a96170b30f3095e6941f1af2d92d5727e9c6512749c599d949191a21432658c,f10bfa2575ef425e5d9667d43cd9c9b26f183b3d7a885c08ae9ba0b47a5ebf4e,30292094d04159a541380ebe10a795b39e1557533ffb1ac5f62b90daf3ae74f6,24011d0997e61c4fda5b876df28cb873718052dd571f1ca03171260347ea5875,1401d422119d2c5215b497cba9d156152f983f21b0e316279b7ddbf66a5b833f,6117caef09f5f6db9ae56678c7a7fa43b8635dee214550c3d8aa0e85bcdd4a64,3cae9815ef26291d882f43270ad9957d9bb76d7a8847bad0947e04eeb23cbaec,79bfa6204cbd77eaa599d2dcf99b0c8639568a53f336284fe97a175e1977d0fc,30e4ed64a392c7d97f3a43b9503da69575a4632e05f6945ddfc604eb687bb5b7,51a53f7cbc9bd7d68948de1c94c2f7274fd9940ce27ae4788869ffc0726b60ac,3d7da15fab6612fbb57694e1cb0f6f2af64a8697963a1d569a9057c180db5e62,8941de88300a6f5153ce29be490e8df115679128106e710d975dfd5d328f84f9,8f79a6a88b4a85a66b6af34d7df4e3bd786d21531b7bbc42f71c5c84b776c079,6388b796e1f9ef41f06079f265cccb2748975e03fb3a71ce6712055697ffa0b1,b086c448064fee29a7da85b00ed4c519c000d80fdfc9d4fb347508cb310e266a,8b66695a32d70f36e80d927b9ecf3894af04ce4a6626251bdc456d27c021a9dd,a10e3c17805cfb4239e1380e50d29d26ffaea2ad826b800c0dbfa44adead918f
"6","1001","1","6","6","35722","「宮子」的口頭禪，同時也是其必殺技名稱的詞語。","1001","19969","21938","把你變成布丁喲","6","25104","這個的名稱是什麼？","24067","1","6","變成布丁喲","1","把你變成布丁喲"
"6","0","1","6","6","34349","每半年舉行一次的障礙物賽跑。來猜猜四名跑者中哪一名角色會跑第一吧！","1008","29246","30403","","6","24503","這個的名稱是什麼？","32034","1","6","蘭德索爾盃","1","蘭德索爾盃"
"6","0","1","6","6","26028","「怜（★6）」的必殺技。","1010","39080","38632","","6","25802","這個的名稱是什麼？","26292","1","6","斬擊暴風雨","1","斬擊暴風雨"
"6","0","1","6","6","27489","「莉瑪（★6）」的必殺技。","1011","32191","32191","歡樂軟綿綿突擊","6","27138","這個的名稱是什麼？","36575","1","6","歡樂軟綿綿","1","歡樂軟綿綿突擊"
"6","0","1","6","6","24187","「珠希（★6）」的必殺技。","1012","26292","36208","喵咪喵咪幻影大暴走","6","24433","這個的名稱是什麼？","22823","1","6","幻影大暴走","2","喵咪喵咪幻影大暴走"
"6","0","1","6","6","19971","「七七香（★6）」的必殺技。","1013","38275","20142","","6","19971","這個的名稱是什麼？","39321","1","6","七七香閃亮","2","七七香‧∞‧閃亮"
"6","0","1","6","6","35469","「優妮」的必殺技。","1014","23637","24615","認知與發展性的哲學","6","30693","這個的名稱是什麼？","30332","1","6","認知發展性","2","認知與發展性的哲學"
"2","0","1","3","6","24515","「伊緒（★6）」的必殺技。","1015","118","101","心型Love颶風","3","76","這個的名稱是什麼？","111","1","3","心Love","2","心型Love颶風"
"6","0","1","6","6","20820","「美美（★6）」的必殺技。","1016","29983","26059","","6","23376","這個的名稱是什麼？","20808","1","6","兔子先生旋","2","兔子先生旋風"
"6","0","1","6","6","28872","「妮諾（★6）」的必殺技。","1017","32005","34030","忍法‧烈火之紅蓮旋風","6","28779","這個的名稱是什麼？","20043","1","6","烈火之紅蓮","2","忍法‧烈火之紅蓮旋風"
