1dbea46304994e7a7fb03a68fcbb21a50172fad5f4e3677e5275082ed33b93f7,ee485cbda794bd38e8553558be4689281d84c0d525c7fe5702b390e4c7f85853,051d158d9b19ce7e74eca6d25ba56da7448c59815808220d53f2eb26b3ec7602,bd75de3fa96048f42f77fbe148be334c8dd428f4658dcf9e17272985ed43bd73,0cc0cc5f6ed567f852ce2c6f14e1515e1cbcdc53b769323c70f426f80525bba6,303322328e0c5ab906a18cdac070a6bb22dcebbe624018afb5919767b3f7a726,c42209ca45148f1c1e3451caacd61eb0ae5b61654aa0601d9d76e07d6e5e397e
"1","1","1","0","1","1","0"
"1","1","2","0","2","4","0"
"1","1","3","0","1","5","12"
"1","1","4","0","2","2","0"
"1","2","5","0","1","8","0"
"2","1","1","0","1","1","0"
"2","1","2","0","2","1","0"
"2","1","3","0","1","6","0"
"2","1","4","0","2","1","0"
"2","1","5","0","3","1","0"
"2","3","6","0","1","3","11"
"2","1","7","0","2","1","0"
"2","1","8","0","1","3","0"
"2","2","9","0","1","1","0"
"3","1","1","0","1","1","0"
"3","1","2","0","2","10","0"
"3","1","3","0","1","11","0"
"3","1","4","0","2","5","0"
"3","1","5","0","3","6","0"
"3","1","6","0","3","3","0"
"3","2","7","0","4","3","9"
"3","1","8","0","4","7","0"
"3","1","9","0","4","1","0"
"3","3","10","0","1","9","8"
"3","1","11","0","2","4","0"
"3","1","12","0","1","1","0"
"3","1","13","0","4","3","0"
"3","2","14","0","3","3","11"
"4","1","1","0","1","4","10"
"4","1","2","0","1","12","12"
"4","1","3","0","2","1","10"
"4","1","4","0","1","11","4"
"4","1","5","0","2","1","0"
"4","1","6","0","1","4","13"
"4","1","7","0","2","2","6"
"4","1","8","0","1","8","0"
"4","1","9","0","2","8","10"
"5","1","1","0","1","1","10"
"5","1","2","0","2","11","5"
"5","1","3","0","1","1","7"
"5","1","4","0","2","5","12"
"5","1","5","0","1","1","11"
"5","1","6","0","2","3","4"
"5","1","7","0","2","5","12"
"5","1","8","0","1","2","6"
"5","1","9","0","2","11","4"
"5","1","10","0","1","8","8"
"5","1","11","0","1","4","10"
"5","1","12","0","2","5","10"
"6","1","1","0","1","8","7"
"6","1","2","0","2","4","10"
"6","1","3","0","1","1","11"
"6","1","4","0","2","8","8"
"6","1","5","0","1","11","6"
"6","2","6","0","1","2","7"
"6","1","7","0","1","5","4"
"6","1","8","0","2","4","10"
"6","2","9","0","1","10","13"
"7","1","1","0","1","8","7"
"7","1","2","0","2","12","10"
"7","1","3","0","2","4","12"
"7","1","4","0","1","11","7"
