18f16390a36fbb9732243ea28e9c5391ae23ab4672a992833bd374b12db3b143,c42e9ee7b60520304297dba3ba428de7a8eeb7579a35cbbac7ce4dd8fea72f9f,eb6ff5df53b86b72dcb5e1fc5113e701156c613ec441d44bb4982c9f405dab68,86944d40129a68dc00c4782ba6cdb03763be2bae66dcc598065418b45df2aed6,8d8b67e74b6e1fde7084f8dedd4a789d610488ff3c300de46ef8df989d23bf10,ecfbd288de9ca3760c042d13ea461df21eeb78a1ec535a0ee63c99cc4103ab3f,d5f98bce54e07bfe44add30c64806bdd1a32e43a63237e57d65f7b51c1de3106
"72004021","討伐NORMAL BOSS解放！","10","107601","[3C404E]討伐NORMAL BOSS解放！","20004","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72005021","討伐NORMAL BOSS解放！","12","108001","[3C404E]討伐NORMAL BOSS解放！","20005","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72007021","討伐NORMAL BOSS解放！","15","108201","[3C404E]討伐NORMAL BOSS解放！","20007","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72009021","討伐NORMAL BOSS解放！","17","108501","[3C404E]討伐NORMAL BOSS解放！","20009","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72010021","討伐NORMAL BOSS解放！","19","108901","[3C404E]討伐NORMAL BOSS解放！","20010","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72011021","討伐NORMAL BOSS解放！","21","109001","[3C404E]討伐NORMAL BOSS解放！","20011","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72013021","討伐NORMAL BOSS解放！","22","109301","[3C404E]討伐NORMAL BOSS解放！","20013","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72015021","討伐NORMAL BOSS解放！","23","110101","[3C404E]討伐NORMAL BOSS解放！","20015","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72016021","討伐NORMAL BOSS解放！","24","110501","[3C404E]討伐NORMAL BOSS解放！","20016","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72018021","討伐NORMAL BOSS解放！","25","111201","[3C404E]討伐NORMAL BOSS解放！","20018","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72020021","討伐NORMAL BOSS解放！","26","111601","[3C404E]討伐NORMAL BOSS解放！","20020","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72021021","討伐NORMAL BOSS解放！","27","112101","[3C404E]討伐NORMAL BOSS解放！","20021","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
