c282f27d50665bcc62bb00f19e234d0dc345458dfcf330bdcb8b1ce8d9b79e2d,6d26802a72c2883932ceca89b7e00b23094c212a409e67b488dddecd24f1ed71,0bcd26e7c3ddbe8b1ba2a5065da4a23756665cd8115515af10731c6dbacf20f6,808d8485b3947f1d2e9533a70026b107cd843bffb1c96453580907c0266264fb,bc7ce86242912731344b8d868992019f890e108455d67e3508c688d72a504556,258bc80d4f4780b55a0545ff6a9bad1162dd59647de6c4c9ef7cb63ffc9c1661,367175b6e7f51b6f237f326b8faee95aff0e7f31f16a16a88454b32869d5bb96,8965cc613c086b912f27f66849b7b6c590d9b3833cf27c6a299c25bd135bcdb8,3446cd769c17aef9f6dfdb9a0ac361579243a9440e31c1240b68127b781bc470,7d79dce4d28997c3030b1ab667b862e9db9c2f0ba23f021fe69b56e62c3b99d0,c761e311fc5edadf41b4793001c0eca01ebea27e7ab533b7dab719a1f9dc8585
"8","1","0","1","0","250","10101","1","1010100","歐姆蛋","110"
"9","1","0","1","0","222","10101","1","1010101","歐姆蛋","110"
"10","1","0","1","0","200","10101","1","1010102","歐姆蛋","110"
"9","2","0","1","0","400","10102","1","1010200","歐姆蛋","110"
"10","2","0","1","0","367","10102","1","1010201","歐姆蛋","110"
"11","2","0","1","0","338","10102","1","1010202","歐姆蛋","110"
"10","3","0","1","0","640","10103","1","1010300","歐姆蛋","110"
"11","3","0","1","0","597","10103","1","1010301","歐姆蛋","110"
"12","3","0","1","0","560","10103","1","1010302","歐姆蛋","110"
"9","1","0","2","0","275","10201","1","1020100","餃子","115"
"10","1","0","2","0","248","10201","1","1020101","餃子","115"
"11","1","0","2","0","225","10201","1","1020102","餃子","115"
"10","2","0","2","0","440","10202","1","1020200","餃子","115"
"11","2","0","2","0","406","10202","1","1020201","餃子","115"
"12","2","0","2","0","377","10202","1","1020202","餃子","115"
"11","3","0","2","0","704","10203","1","1020300","餃子","115"
"12","3","0","2","0","660","10203","1","1020301","餃子","115"
"13","3","0","2","0","621","10203","1","1020302","餃子","115"
"8","1","0","3","0","200","10301","1","1030100","章魚燒","100"
"9","1","0","3","0","175","10301","1","1030101","章魚燒","100"
"10","1","0","3","0","156","10301","1","1030102","章魚燒","100"
"9","2","0","3","0","320","10302","1","1030200","章魚燒","100"
"10","2","0","3","0","291","10302","1","1030201","章魚燒","100"
"11","2","0","3","0","267","10302","1","1030202","章魚燒","100"
"10","3","0","3","0","512","10303","1","1030300","章魚燒","100"
"11","3","0","3","0","475","10303","1","1030301","章魚燒","100"
"12","3","0","3","0","444","10303","1","1030302","章魚燒","100"
"9","1","0","4","0","225","10401","1","1040100","飯糰","115"
"10","1","0","4","0","200","10401","1","1040101","飯糰","115"
"11","1","0","4","0","180","10401","1","1040102","飯糰","115"
"10","2","0","4","0","360","10402","1","1040200","飯糰","115"
"11","2","0","4","0","330","10402","1","1040201","飯糰","115"
"12","2","0","4","0","305","10402","1","1040202","飯糰","115"
"11","3","0","4","0","576","10403","1","1040300","飯糰","115"
"12","3","0","4","0","538","10403","1","1040301","飯糰","115"
"13","3","0","4","0","504","10403","1","1040302","飯糰","115"
"10","1","0","5","0","300","10501","1","1050100","沙威瑪","150"
"11","1","0","5","0","273","10501","1","1050101","沙威瑪","150"
"12","1","0","5","0","250","10501","1","1050102","沙威瑪","150"
"11","2","0","5","0","480","10502","1","1050200","沙威瑪","150"
"12","2","0","5","0","446","10502","1","1050201","沙威瑪","150"
"13","2","0","5","0","416","10502","1","1050202","沙威瑪","150"
"12","3","0","5","0","768","10503","1","1050300","沙威瑪","150"
"13","3","0","5","0","723","10503","1","1050301","沙威瑪","150"
"14","3","0","5","0","683","10503","1","1050302","沙威瑪","150"
"0","1","0","1","0","160","20101","2","2010100","輪胎（特大）","60"
"0","2","0","1","0","256","20102","2","2010200","輪胎（特大）","60"
"0","3","0","1","0","410","20103","2","2010300","輪胎（特大）","60"
"0","1","0","2","0","145","20201","2","2020100","輪胎（大）","45"
"0","2","0","2","0","232","20202","2","2020200","輪胎（大）","45"
"0","3","0","2","0","371","20203","2","2020300","輪胎（大）","45"
"0","1","0","3","0","120","20301","2","2030100","輪胎（中）","30"
"0","2","0","3","0","192","20302","2","2030200","輪胎（中）","30"
"0","3","0","3","0","307","20303","2","2030300","輪胎（中）","30"
