3138960768b4803a2c7b87a1fd9b5cb3d73351ef6bea8f00995749c1762408ef,838354569403ae566780e00b942d50450aeb018a59efc984958af29545c09cc1,9f9236efe79b7f396d8533f843cfa96e8e6390ba7f7e37d2cf385c03cd98189e,058ab216dd6e76b13d319efb34ef7cda7563818708921b602150945da63c76b8,f97bc9a54400d5b59ca94fbcb5c3196773c07a3cd0f44a780dc44c0b1bc0c9f8,6c14d006bf27e347095635f61b725fbe9c4514b144a290052b23ec5c6d7b793b,ce3bea9d57d367cf417a2f840faa060e31cce45db284b2b1552564055417dc7f,9045cab7cee2ce4d5ff075777291cdf65da7f6309cffb3d3e492304269bfc23a,94fe738113808bda9d9c8a05a41734a878a36197261b1641bb60deb6c37d7619,4e8a0c561c9b0aecac32e26ddf68291c3564f2c678b1d6a7aa061e09e69be86e,5740611eda44302d79999ececd13dd88652219c7016a956daeb209b1f2ce607e,508ae52545af7fa02831a3f42b543a229a7efed3519f9d802562717a28136cd3,10ef783de17954723c56011174a53ad756da7fd0fc23c8ee9d645ceebc93300c,4aa7b3a616c2ad136c8545fa8af5e1991fb2a80c04ad1f02961055ee1d5d97e3,c6779431c86d0ff6154068e21c1b9e4cbeabe84cc49abfdba6ed9b7b87c3fb75,523b50ef0b6a631dfe43f6e88e8fd5972e27bd99eb2dda9a233e5ecb7c0ab586
"201","-110","70","2","301","2","101","401","1","3","501","1008201","980","1","215","455"
"202","-110","70","2","302","2","102","402","2","3","502","1008202","515","1","215","230"
"203","-110","70","2","303","1","103","403","3","3","503","1008203","515","1","215","230"
"204","-110","70","2","304","1","104","404","4","3","504","1008204","515","1","215","230"
"205","-110","78","2","305","2","105","405","5","3","505","1008205","787","1","233","355"
"206","-110","78","2","306","3","106","406","6","3","506","1008206","787","1","233","355"
"207","-110","88","2","307","3","107","407","7","3","507","1008207","777","1","233","345"
"208","-110","88","2","308","1","108","408","8","3","508","1008208","777","1","233","345"
"209","-110","88","2","309","1","109","409","9","3","509","1008209","777","1","233","345"
"210","-110","88","2","310","3","110","410","10","3","510","1008210","810","1","233","355"
"211","-110","88","2","311","2","111","411","11","3","511","1008211","777","1","233","345"
"212","-110","70","2","312","2","112","412","12","3","512","1008212","515","1","215","230"
"213","-110","78","2","313","1","113","413","13","3","513","1008213","810","1","233","355"
"214","-110","70","2","314","1","114","414","14","3","514","1008214","515","1","215","230"
"215","-110","70","2","315","3","115","415","15","3","515","1008215","515","1","215","230"
"216","-110","70","2","316","2","116","416","16","3","516","1008216","655","1","215","275"
"217","-110","70","2","317","3","117","417","17","3","517","1008217","515","1","215","230"
"218","-110","88","2","318","3","118","418","18","3","518","1008218","777","1","233","345"
