871cf31d3548b72ac6967a0355d4b3786210ef743029dc2fd0d90abb950561dc,d1514dade7b12a3a2060424b250f91defdf2b10d9bdef7435f1265cb454959d1,a01eaec5a4ab9c7aafdbfdc0188f4693c95ba91c791fa30b0e27324ad7cf40bc,5fc9069247759b671e65fe5fd67b4b53abecd9f5006bfb6e15b7e908ca1ce71e,17ea265348b4b91edcf2b04d684c933397dfa658b984838b1dc3e11044c647fb,debff7e13eb02c065535b89c62d519ca29ae1a49ff9e10696a7e059e15ffc3c8,88ad14bcde56d8cddcf5d473bd575d656e3eb843e3875644f2079e85688be63e
"72004021","107601","[3C404E]討伐NORMAL BOSS解放！","10","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20004"
"72005021","108001","[3C404E]討伐NORMAL BOSS解放！","12","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20005"
"72007021","108201","[3C404E]討伐NORMAL BOSS解放！","15","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20007"
"72009021","108501","[3C404E]討伐NORMAL BOSS解放！","17","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20009"
"72010021","108901","[3C404E]討伐NORMAL BOSS解放！","19","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20010"
"72011021","109001","[3C404E]討伐NORMAL BOSS解放！","21","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20011"
"72013021","109301","[3C404E]討伐NORMAL BOSS解放！","22","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20013"
"72015021","110101","[3C404E]討伐NORMAL BOSS解放！","23","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20015"
"72016021","110501","[3C404E]討伐NORMAL BOSS解放！","24","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20016"
"72018021","111201","[3C404E]討伐NORMAL BOSS解放！","25","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20018"
"72020021","111601","[3C404E]討伐NORMAL BOSS解放！","26","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20020"
"72021021","112101","[3C404E]討伐NORMAL BOSS解放！","27","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20021"
"72022021","112301","[3C404E]討伐NORMAL BOSS解放！","28","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","20022"
