7d42d49251f0302b34d6b97e9ade5cb1403956ede9cb864d809373439935614c,5cb64b5704d81cf011c5e265c7984d03462a576d5b9ace6c831dbc8d90aea1fe,37651fd05d85e35af8da251259336a9f6004d12609a724a14e9e9c1194620346,8c09dae4c6c35ef77b6c4f75ac07308175724734d9fac21d83853ce98129546a,83d6c0934631e0a5cac2e366021bf2db7019637ed64a6e2e3c67c36b061551c3
"1037","1","1025","1048","1045"
"1062","2","1003","1004","1006"
"1029","3","1003","1007","1006"
"1025","4","1047","1045","1062"
"1003","5","1043","1013","1022"
"1048","6","1006","1004","1019"
"1037","7","1062","1033","1003"
"1050","8","1056","1053","1059"
"1030","9","1001","1011","1034"
"1046","10","1063","1023","1026"
"1014","11","1020","1038","1044"
"1008","12","1017","1049","1040"
"1017","13","1023","1044","1020"
"1001","14","1017","1038","1020"
"1036","15","1030","1048","1008"
"1004","16","1044","1038","1011"
"1005","17","1043","1011","1022"
"1042","18","1046","1016","1047"
"1041","19","1014","1028","1063"
"1061","20","1052","1055","1058"
"1031","21","1025","1001","1024"
"1064","22","1024","1063","1005"
"1066","23","1040","1000","1044"
"1076","24","1000","1038","1010"
"1077","25","1003","1019","1043"
"1071","26","1070","1069","1068"
"1089","27","1092","1091","1090"
"1083","28","1012","1006","1021"
"1097","29","1098","1100","1099"
"1101","30","1102","1104","1103"
"1105","31","1106","1108","1107"
"1088","32","1089","1091","1090"
