8fe8ec31d431e9e0ae53d059b7dc9b1cce190f63293187721d4419660564139e,d32e5b75d28426268cfa0a32be43aa15910fe45b46b7e0d5f76748483a8fb33d,f0039489196c7978e48c313487f6e09d77f81ab0542991065fe1d8696536e520,b14c3eff44c35814ea0b372edf66ff3f5da367a9beb56e1aafdcb7d841adb69d,634b96027dbed6f18cf98f40ae5f9b6d74465989cf07e6ca48e73c920d3a027c
"50001","1","105801","1","美食殿堂"
"50002","2","100101","2","破曉\n之星"
"50003","7","102801","3","咲戀育幼院"
"50004","11","104701","4","王宮\n騎士團"
"50005","15","106801","5","拉比林斯"
"50006","3","102901","6","慈樂之音"
"50007","5","104401","7","惡魔偽\n王國軍"
"50008","4","103301","8","伊麗\n莎白牧場"
"50009","13","103201","9","墨丘利財團"
"50010","9","105601","10","暮光\n流星群"
