97a2b65d8373793b3ee2f7795a13199dcddf4f5067ce9178f10e1fd314e83ca9,0fc926f8a01f64afbc8030b099d9fdf1d88d9a3db78f36f9d1c9b7a26f17c817
"強化HP","1"
"強化物理攻擊力","2"
"強化物理防禦力","3"
"強化魔法攻擊力","4"
"強化魔法防禦力","5"
"強化物理暴擊率","6"
"強化魔法暴擊率","7"
"強化迴避","8"
"強化HP吸收","9"
"強化HP自動回復效果","10"
"強化TP自動回復效果","11"
"強化物理貫通傷害","12"
"強化魔法貫通傷害","13"
"強化TP上升效果","14"
"強化回復量上升效果","15"
"強化TP消耗減輕效果","16"
"強化命中","17"
"強化物理、魔法攻擊力","50"
"強化物理、魔法防禦力","51"
"強化物理、魔法暴擊率","52"
"強化物理暴擊傷害","100"
"強化魔法暴擊傷害","101"
"強化物理造成的傷害","102"
"強化魔法造成的傷害","103"
"強化屬性獎勵","104"
