3b16b6025766161f0df600b756d2073cf1ae54325229eb4ea87c855978adf926,3fd0c2d540c638392a2393e2cd2734caa39a34a7ad5fed0214e9d37382f42dce,024f1b6aac83fb46b8926982d8ca9e5eeca1f6f7bbb1070ddb0a2915812980ce,61609aa7e022e5ab0cbb84a3733b9e24a247b3ba7314d3fa6eed607f8abc0abc
"4301511","1","18","1"
"4301512","2","18","1"
"4301513","3","18","1"
"4301514","4","18","1"
"4301515","5","18","1"
"26202","6","2","1"
"4302511","1","18","2"
"4302512","2","18","2"
"4302513","3","18","2"
"4302514","4","18","2"
"4302515","5","18","2"
"26202","6","2","2"
"4303511","1","18","3"
"4303512","2","18","3"
"4303513","3","18","3"
"4303514","4","18","3"
"4303515","5","18","3"
"26202","6","2","3"
"4304511","1","18","4"
"4304512","2","18","4"
"4304513","3","18","4"
"4304514","4","18","4"
"4304515","5","18","4"
"26202","6","2","4"
"4305511","1","18","5"
"4305512","2","18","5"
"4305513","3","18","5"
"4305514","4","18","5"
"4305515","5","18","5"
"26202","6","2","5"
