743b9d3677145ecce33c8371b979a0fda148cee8c457e1d4a5b164a0b71d14f5,6ce2b6b82467bdcbc06f5747d5abd97d703a86a6db31a152eb3d0fb9cc5df3a5,a4e3606a8d4f1259050f4a1c74a4f009e16b179410d4080282aff904daa24a2b,bd21e36453bd983734993a3be4b13d776f7142e98f73275dd937cfd6f66c9449,7e974f57cc5925823f6853bbd291826b36794a4038a61af44e2d2a07432aa9e3,53e125a5ef88fee1963a124348b242420ffb191268deec3a70b1bc79635ccdd7,848dd1e66ae2f7e80e849196834087122ace4d6cf80843db52837c5dbf8e57e1
"0","1","2","1","1110001","1","英文「Platinum」的金屬，指的是「黃金」。"
"0","1","2","1","1110002","1","要表示羅馬數字的「１」的時候，使用的英文字母是「I」。"
"0","1","2","1","1110003","1","英文「Tornado」，指的是「颱風」。"
"0","1","2","1","1110004","1","「不明飛行物」的略稱是「USO」。"
"0","1","2","1","1110005","1","「略」有耳聞跟軍事戰「略」， 兩個「略」的意思相同。"
"0","1","2","1","1110006","1","代表「智商」的兩個英文字母是「ID」。"
"0","1","2","1","1110007","1","「斑馬線」的英文是「Stripezone」。"
"0","1","2","1","1110008","1","因為形狀長得像新月而得名的麵包，是「可頌麵包」。"
"0","1","2","1","1110009","1","英文「Aquarium」，指的是「美術館」。"
"0","1","2","1","1110011","1","「矯」枉過正跟身手「矯」健 ，兩個「矯」的意思相同。"
"0","1","2","1","1110014","1","「你」或是「您」這種表示對方的代詞，屬於「第一人稱」。"
"0","1","2","1","1110015","1","在工作時偷懶做其他不相關的事情，俗稱「摸魚」。"
"0","1","2","1","1110016","1","電梯按鈕的「B」符號代表「停車場」。"
"0","1","2","1","1110017","1","成語「週而復始」是形容一件事循環不斷。"
"0","1","2","1","1110019","1","成語「怒髮衝冠」是形容一個人「頭髮太蓬」。"
"0","1","2","1","1110020","1","成語「畫皮充飢」是形容徒具虛名而無益於實際。"
"0","1","2","1","1110021","1","「無名英雄」是形容一個人不為人知默默出力。"
"0","1","2","1","1110022","1","「自食惡過」是形容自己的惡行反讓自己受害。"
"0","1","2","1","1110024","1","「延」攬人才跟「延」年益壽，兩個「延」的意思相同。"
"0","1","2","1","1110026","1","「慎重」的反義詞是「輕率」。"
"0","1","2","1","1110027","1","是某個顏色的名字，同時又有「憂鬱的」意思的英文單字是「Blue」。"
"0","1","2","1","1110028","1","是某個顏色的名字，同時又有「不成熟的」意思的英文單字是「Red」。"
"0","1","2","1","1110029","1","「日」、「月」、「木」等等，以物體形狀由來造出的字稱為「象形文字」。"
"0","1","2","1","1110030","1","歇後語「啞巴吃黃連」形容目中無人。"
"0","1","2","1","1110031","1","「徒勞無功」指的是「白白浪費精力，沒有任何效益」。"
"0","1","2","1","1110033","1","俗語「一根直腸通到底」是形容一個人性格直爽、沒有心眼。"
