c2ecd54561cc4d51ed4b8c3b89d846b89c389de521034446b1a4e8ae332eb595,9d01863e793854204caf4a16457c1f84d4139dbe99a64756acd93434e53a5624,cb7f9bd4cd5053f433d25065b969b1cf5abc0e300fd85795553ec5adba6bd715,13c952b48e2cf3f7dd38fb113e1a8ac61fd5b8b1b3d4e340c763e5240cd04fba,4be96c8b05760c2e6f78d48acea33909afeb86a5a092c79f7519d4fe4f87e4eb,f62ed86a71f388419c3d40cdd7bac622542b4c0a2f65911b8048736f208903f4,75e4d7378429b929a027943a8d6593819b7b3a13ec1fa48d7929b5469a219657,4b561723fc0a613eb97f55c1ea84ce935f7b4b3f900c760d192c064f68986f61,117a0cf087dac1f91f60e54dec883261ef34ec15b282469c72b8ffcf298dd063,147b8b09f21c27f734ddf505da24391d1f3c639888c83d2bb73284a80e6fc81a,0127107bfb10f8ae90d3b0fdbe7a93e5c86f9f21fff415688947b089ea33bea5,ac616d4b02adf0402fea4113fb565948fdac2bd2a39029b2702d26e92f9fd4a9,355bbceae3786e57daf4120ef984b53f65f4252f15fc37b3abce8f68625ea33f,f04c690d6e57a37c9c38b629c2d72f9ab4c724f850799b865e362b8308b46aee,dba304c8881f8bd239ba3dcff45f0ccd3ab04a890e42f7b3dbc760a63c2d38c7
"3","103","81010001","10010","601","0","0","0","9001","6011","2019/06/21 15:59:59","打倒優衣、怜、日和的闇影","81010001","0","2019/06/03 16:00:00"
"36","104","81010002","10010","601","0","0","0","9014","6011","2019/06/21 15:59:59","消滅 36 個煩惱","81010002","0","2019/06/03 16:00:00"
"72","105","81010003","10010","601","0","0","0","9014","6011","2019/06/21 15:59:59","消滅 72 個煩惱","81010003","0","2019/06/03 16:00:00"
"108","106","81010004","10010","601","0","0","0","9014","6011","2019/06/21 15:59:59","消滅 108 個煩惱","81010004","0","2019/06/03 16:00:00"
"500000","111","81010005","10010","601","0","0","0","9013","6011","2019/06/21 15:59:59","將特別戰鬥的 Boss 的 HP 降低至 1080000","81010005","0","2019/06/03 16:00:00"
"1040000","113","81010006","10010","601","0","0","0","9013","6011","2019/06/21 15:59:59","將特別戰鬥的 Boss 的 HP 降低至 540000","81010006","0","2019/06/03 16:00:00"
"1580000","115","81010007","10010","601","0","0","0","9013","6011","2019/06/21 15:59:59","將特別戰鬥的 Boss 消滅","81010007","0","2019/06/03 16:00:00"
"500000","103","81011001","10011","601","0","0","0","9013","6011","2019/07/18 15:59:59","將特別戰鬥的 Boss 的 HP 降低至 5000000","81011001","0","2019/07/01 16:00:00"
"1500000","104","81011002","10011","601","0","0","0","9013","6011","2019/07/18 15:59:59","將特別戰鬥的 Boss 的 HP 降低至 4000000","81011002","0","2019/07/01 16:00:00"
"1650000","105","81011003","10011","601","0","0","0","9013","6011","2019/07/18 15:59:59","完成特別戰鬥的模式1","81011003","0","2019/07/01 16:00:00"
