7cfd0bd7f35b6f0359fb81c047800fba98f5176dab0e58d068f19fe04997bf7a,f90f1c7532e43563e37ea255dab97316f7e786b2e9059f83adb49fe8f4c7119c,0fff888eb4b5c72165a292708b902b7fbb732c2ec54847af95bf6ddd92f9214c,5cdfcce3714abce13d2148c5ebfa2982781d046cd1d1165f383f65ffa79d77ea,07e81cd39e107c200e9fdf1fba2a75ceb933159c910178704ec076506c8b759c,9c94ab5a96244e80a57b68023921409f097510583f60921e11bdd494d2a7656e,c4f9f26467215cf78634428a568f50aa54cb7a1cf6ab90267ade578c5b6820b2,559f03f9315d635f5ccb8e1886f1fbb60c5f904238ec655e261987a53bf3a813,ba0ef2eebbe6cf09ff418e62b3f00cfe0231c9756a5b0d636a5bfdcb9ac3bca1,8c3aca071ce719867a7691d0148b64a49b95dd56931fca8d8a1f1e662f491bfb,1720b135de5f557f0e4fcbcabb70b265348bb2c7038a05ee0dbe38b2080ccd49,a3a5c293c9332504d246781acea1384c31c986d435698f23f9a87ac4c146e86e
"2","1","★3必中3周年轉蛋券","80005","1","80005_2","80000","1","24009","0","80005_1","80005_3"
"2","1","★3必中4周年轉蛋券","80006","1","80006_2","80000","1","24010","0","80006_1","80006_3"
"2","1","★3必中 公主連結慶典2023紀念轉蛋券","80010","1","80010_2","80000","1","24014","0","80010_1","80010_3"
"2","1","★3必中 5周年紀念轉蛋券","80011","1","80011_2","80000","1","24015","0","80011_1","80011_3"
"2","1","★3必中 新手衝刺轉蛋券","80012","1","80012_2","80000","1","24016","0","80012_1","80012_3"
"2","1","★3必中 公主連結慶典2024紀念轉蛋券","80013","1","80013_2","80000","1","24017","0","80013_1","80013_3"
"2","1","★3必中 公主連結慶典2025紀念轉蛋券","80014","1","80014_2","80000","1","24018","0","80014_1","80014_3"
"2","1","★3必中 新手衝刺任務轉蛋券","80023","1","80023_2","80000","1","24027","0","80023_1","80023_3"
"2","10","回歸10連轉蛋券","80024","0","80024_2","80001","1","24028","3","80024_1","80024_3"
"2","10","回歸SP10連轉蛋券","80025","0","80025_2","80001","1","24029","3","80025_1","80025_3"
"2","10","佐賀偶像是傳奇合作紀念 10連轉蛋券","80026","0","80026_2","80001","1","24030","2","80026_1","80026_3"
