f3cf14788aefdb459288a2adef410104e65fb3a418a1fe4ccf9483158a7811c6,26ea76a18c25e1636a9673d2313af7024fa47131e6c32705ad10e4a027d597ae,27532019ed5d42441364b0a21406273795469fcae10aaec46742112b218a05fb,816dd870028cec6167393e8d6a9d121ed60438afde260103fea4fa63238228d5,22ff23c9b5b3a0840ff88e4e9860ee1043f5a25d99e78f1f58c1dbdd21d6ecac,a195cdfe7fcd4babc732464e5686afab9d3ce28b1ab5df1ee715973e1789904d,5babeded45fbce2bc92cb53936790434638ea6513d9781754bc2e5335a2524d3,14a9ff13ecf48aebc3898b6fcedb5910967d2df02feccbe7411c778627bca1f8,1649e5d4d8e5a1d540d0aae4d68e724cf2eeb04f9f1399d239a2291fe5a03091,6df886f08df5a288cc0ced1f56641ef37b5dd178f9056c4907707e091c1404c4,da3ac5854853dc41e3a9a92e7d64bddaf032998fc7f064c2e4aa4bb9e3680a17,accc3b3ebef64daa4b086ac22a8964e3d7dcb6ecf2e8bfb9812e80840c5ec509,1e9e274b7b60194f950621c8389ba119e84f97c129aa6deb296628e0e0a9af68
"-1","1","2018-10-18 15:00:00","20","","","Lost Princess","","Lost Princess","","-1","1",""
"-1","2","2018-10-18 15:00:00","17","","","Connecting Happy!!","","Connecting Happy!!","","-1","2",""
"1000","3","2018-10-18 15:00:00","20","","","踏上旅程","","踏上旅程","","-1","3",""
"1000","4","2018-10-18 15:00:00","20","","","穿過森林的風","","穿過森林的風","","-1","4",""
"1000","5","2018-10-18 15:00:00","20","","","梅莎路提姆","","梅莎路提姆","","-1","5",""
"1000","6","2018-10-18 15:00:00","20","","","初音的禮物大作戰","","初音的禮物大作戰","","-1","6",""
"1000","7","2018-10-18 15:00:00","20","","","席茲","","席茲","","-1","7",""
"1500","8","2018-10-18 15:00:00","20","","","Smiley Contrast","","Smiley Contrast","","-1","8",""
"1000","9","2018-10-18 15:00:00","20","","","牛頭怪","","牛頭怪","","-1","9",""
"1000","10","2018-10-18 15:00:00","20","","","小小甜心大冒險","","小小甜心大冒險","","-1","10",""
"1000","11","2018-10-18 15:00:00","20","","","阿爾瑪","","阿爾瑪","","-1","11",""
"1500","12","2018-10-18 15:00:00","18","","","小小冒險","","小小冒險","","-1","12",""
"1000","13","2018-10-18 15:00:00","20","","","大胃王","","大胃王","","-1","13",""
"1000","14","2018-10-18 15:00:00","20","","","不給布丁就搗蛋！約定的萬聖節派對","","不給布丁就搗蛋！約定的萬聖節派對","","-1","14",""
"1000","15","2018-10-18 15:00:00","17","","","傑克南瓜布丁","","傑克南瓜布丁","","-1","15",""
"1500","16","2018-10-18 15:00:00","20","","","還要！兩人的派～對～夜～","","還要！兩人的派～對～夜～","","-1","16",""
"1000","17","2018-10-18 15:00:00","20","","","閃耀的冰晶","","閃耀的冰晶","","-1","17",""
"1500","18","2018-11-19 15:00:00","20","","","Shining Future","","Shining Future","","3010003","18",""
"1500","19","2018-11-19 15:00:00","20","","","向風起誓","","向風起誓","","3010003","19",""
"1500","20","2018-11-19 15:00:00","18","","","因為想看到你的笑容","","因為想看到你的笑容","","3010003","20",""
"1500","21","2018-11-19 15:00:00","18","","","無法坦率的心！","","無法坦率的心！","","1054007","21",""
"1000","22","2018-11-19 15:00:00","20","","","向詭譎氣氛挺身而出的鬥志","","向詭譎氣氛挺身而出的鬥志","","-1","22",""
"1000","23","2018-11-19 15:00:00","20","","","野豬雙胞胎","","野豬雙胞胎","","-1","23",""
"1000","24","2018-11-19 15:00:00","20","","","吸血鬼獵人with伊莉亞","","吸血鬼獵人with伊莉亞","","-1","24",""
"1000","25","2018-11-19 15:00:00","20","","","加爾格","","加爾格","","-1","25",""
"1500","26","2018-11-19 15:00:00","20","","","Peaceful*沖繩雜炒","","Peaceful*沖繩雜炒","","-1","26",""
"1000","27","2018-11-19 15:00:00","20","","","天蠍毒者","","天蠍毒者","","-1","27",""
"1000","28","2018-11-19 15:00:00","20","","","暮光破壞者","","暮光破壞者","","-1","28",""
"1000","29","2018-11-19 15:00:00","20","","","奧拉姆","","奧拉姆","","-1","29",""
"1500","30","2018-11-19 15:00:00","20","","","最強對吧，對吧？","","最強對吧，對吧？","","-1","30",""
"1000","31","2018-11-19 15:00:00","20","","","冰海之地","","冰海之地","","-1","31",""
"1000","32","2018-12-19 15:00:00","20","","","冰天雪地","","冰天雪地","","-1","32",""
"1000","33","2018-12-19 15:00:00","20","","","涼爽的風","","涼爽的風","","-1","33",""
"1000","34","2018-12-19 15:00:00","20","","","加爾基諾司","","加爾基諾司","","-1","34",""
"1000","35","2018-12-19 15:00:00","20","","","危險的假期！海岸邊的美食家公主","","危險的假期！海岸邊的美食家公主","","-1","35",""
"1000","36","2018-12-19 15:00:00","20","","","天塔帕斯","","天塔帕斯","","-1","36",""
"1500","37","2018-12-19 15:00:00","20","","","充滿笑容的家","","充滿笑容的家","","-1","37",""
"1000","38","2018-12-19 15:00:00","20","","","人馬座","","人馬座","","-1","38",""
"1000","39","2018-12-19 15:00:00","20","","","忘却的頌歌","","忘却的頌歌","","-1","39",""
"1000","40","2018-12-19 15:00:00","20","","","霧奇","","霧奇","","-1","40",""
"1500","41","2018-12-19 15:00:00","20","","","Ding Dong Holy Night♪","","Ding Dong Holy Night♪","","-1","41",""
"1000","42","2019-01-18 15:00:00","20","","","險峻枯原","","險峻枯原","","-1","42",""
"1000","43","2019-01-18 15:00:00","20","","","奧爾獅","","奧爾獅","","-1","43",""
"1000","44","2019-01-18 15:00:00","20","","","珠希和美冬的無人島0盧幣生活","","珠希和美冬的無人島0盧幣生活","","-1","44",""
"1000","45","2019-01-18 15:00:00","20","","","島鯨","","島鯨","","-1","45",""
"1500","46","2019-01-18 15:00:00","18","","","閃亮亮☆Happiness！","","閃亮亮☆Happiness！","","-1","46",""
"1000","47","2019-01-18 15:00:00","20","","","新的出航","","新的出航","","-1","47",""
"1000","48","2019-01-18 15:00:00","20","","","阿爾珈提","","阿爾珈提","","-1","48",""
"1000","49","2019-01-18 15:00:00","20","","","新春破曉之星大危機！","","新春破曉之星大危機！","","-1","49",""
"1000","50","2019-01-18 15:00:00","20","","","邪餅神鏡餅","","邪餅神鏡餅","","-1","50",""
"1500","51","2019-01-18 15:00:00","20","","","TwinkleStars","","TwinkleStars","","-1","51",""
"1000","52","2019-02-15 15:00:00","20","","","酷熱沙漠","","酷熱沙漠","","-1","52",""
"1000","53","2019-02-15 15:00:00","20","","","美杜莎","","美杜莎","","-1","53",""
"1000","54","2019-02-15 15:00:00","20","","","黑鐵的亡靈（Nightmare）","","黑鐵的亡靈（Nightmare）","","-1","54",""
"1000","55","2019-02-15 15:00:00","20","","","亡靈鎧甲","","亡靈鎧甲","","-1","55",""
"1500","56","2019-02-15 15:00:00","20","","","Aloofness Code","","Aloofness Code","","-1","56",""
"1500","57","2019-02-15 15:00:00","20","","","Absolute Secret","","Absolute Secret","","2008015","57",""
"1000","58","2019-02-15 15:00:00","20","","","水之里歐斯","","水之里歐斯","","-1","58",""
"1000","59","2019-02-15 15:00:00","20","","","情人節之戰！正中紅心的甜蜜戰鬥","","情人節之戰！正中紅心的甜蜜戰鬥","","-1","59",""
"1000","60","2019-02-15 15:00:00","20","","","醜陋可愛","","醜陋可愛","","-1","60",""
"1500","61","2019-02-15 15:00:00","20","","","SUPER CHOCOLATE","","SUPER CHOCOLATE","","-1","61",""
"1000","62","2019-03-19 15:00:00","20","","","砂海綠洲","","砂海綠洲","","-1","62",""
"1000","63","2019-03-19 15:00:00","20","","","不可思議的森林","","不可思議的森林","","-1","63",""
"1000","64","2019-03-19 15:00:00","20","","","托爾披頓","","托爾披頓","","-1","64",""
"1000","65","2019-03-19 15:00:00","20","","","王都的名偵探　嘆息的追緝者","","王都的名偵探　嘆息的追緝者","","-1","65",""
"1000","66","2019-03-19 15:00:00","20","","","哀嘆之女神","","哀嘆之女神","","-1","66",""
"1500","67","2019-03-19 15:00:00","20","","","未解明的心意","","未解明的心意","","-1","67",""
"1000","68","2019-04-19 15:00:00","20","","","機械莉瑪來襲！王都毀滅前的倒數","","機械莉瑪來襲！王都毀滅前的倒數","","-1","68",""
"1000","69","2019-04-19 15:00:00","20","","","機械莉瑪","","機械莉瑪","","-1","69",""
"1000","70","2019-04-19 15:00:00","20","","","機械莉瑪~終焉~","","機械莉瑪~終焉~","","-1","70",""
"1000","71","2019-04-19 15:00:00","20","","","在阿斯特朗盛開的雙輪之花","","在阿斯特朗盛開的雙輪之花","","-1","71",""
"1000","72","2019-04-19 15:00:00","20","","","元核‧巨靈","","元核‧巨靈","","-1","72",""
"1500","73","2019-04-19 15:00:00","20","","","Crossing Destiny","","Crossing Destiny","","-1","73",""
"1000","74","2019-05-17 15:00:00","20","","","潛入岩峰","","潛入岩峰","","-1","74",""
"1000","75","2019-05-17 15:00:00","20","","","將軍道中記　白翼的武士","","將軍道中記　白翼的武士","","-1","75",""
"1000","76","2019-05-17 15:00:00","20","","","惡代官","","惡代官","","-1","76",""
"1500","77","2019-05-17 15:00:00","20","","","白翼的榮耀","","白翼的榮耀","","-1","77",""
"1000","78","2019-10-01 16:00:00","20","","","火山山麓","","火山山麓","","-1","78",""
"1000","79","2019-10-01 16:00:00","20","","","險惡荒地","","險惡荒地","","-1","79",""
"1000","80","2019-10-01 16:00:00","20","","","怠惰的狂人","","怠惰的狂人","","-1","80",""
"1000","81","2019-10-15 16:00:00","20","","","鼓聲響動的森林","","鼓聲響動的森林","","-1","81",""
"1000","82","2019-10-15 16:00:00","20","","","鈴奈的彩虹舞臺！","","鈴奈的彩虹舞臺！","","-1","82",""
"1000","83","2019-10-15 16:00:00","20","","","雨神大人","","雨神大人","","-1","83",""
"1500","84","2019-10-15 16:00:00","20","","","踮腳尖的First Kiss","","踮腳尖的First Kiss","","-1","84",""
"1000","85","2019-10-15 16:00:00","20","","","哥哥爭奪戰！　幫忙靜流","","哥哥爭奪戰！　幫忙靜流","","-1","85",""
"1000","86","2019-10-15 16:00:00","20","","","哥哥爭奪戰！　幫忙惠理子","","哥哥爭奪戰！　幫忙惠理子","","-1","86",""
"1000","87","2019-10-15 16:00:00","20","","","盛夏的真步真步王國　浪花拍岸的靈魂之夏！","","盛夏的真步真步王國　浪花拍岸的靈魂之夏！","","-1","87",""
"1000","88","2019-10-15 16:00:00","20","","","奄美魔物","","奄美魔物","","-1","88",""
"1500","89","2019-10-15 16:00:00","20","","","We Are Golden","","We Are Golden","","-1","89",""
"1000","90","2019-12-12 16:00:00","20","","","空花大旋轉","","空花大迴轉","","-1","90",""
"1000","91","2019-12-12 16:00:00","20","","","森林的膽小鬼與神聖學院的問題兒童","","森林的膽小鬼與神聖學院的問題兒童","","-1","91",""
"1000","92","2019-12-12 16:00:00","20","","","劇毒曼德拉草","","劇毒曼德拉草","","-1","92",""
"1500","93","2019-12-12 16:00:00","20","","","好朋友新感覺","","好朋友新感覺","","-1","93",""
"1000","94","2019-12-12 16:00:00","20","","","跨越危險之根","","跨越危險之根","","-1","94",""
"1000","95","2019-12-12 16:00:00","20","","","香織的靈魂式空手道場","","香織的靈魂式空手道場","","-1","95",""
"1000","96","2019-12-12 16:00:00","20","","","小小勇敢的萬聖節之夜！","","小小勇敢的萬聖節之夜！","","-1","96",""
"1000","97","2019-12-12 16:00:00","20","","","幻影男爵","","幻影男爵","","-1","97",""
"1500","98","2019-12-12 16:00:00","20","","","惡作劇狂熱","","惡作劇狂熱","","-1","98",""
"1000","99","2020-02-18 16:00:00","20","","","泥濘森林的前方","","泥濘森林的前方","","-1","94",""
"1000","100","2020-02-18 16:00:00","20","","","大激戰！龍人們的接龍競賽","","大激戰！龍人們的接龍競賽","","-1","95",""
"1000","101","2020-02-18 16:00:00","20","","","龍的探索者們","","龍的探索者們","","-1","96",""
"1000","102","2020-02-18 16:00:00","20","","","似龍生物","","似龍生物","","-1","97",""
"1500","103","2020-02-18 16:00:00","20","","","in flames","","in flames","","-1","98",""
"1000","104","2020-02-18 16:00:00","20","","","獲得全新力量的試煉","","獲得全新力量的試煉","","-1","104",""
"1000","105","2020-02-18 16:00:00","20","","","禮物大恐慌！　蘭德索爾的聖誕老人們","","禮物大恐慌！　蘭德索爾的聖誕老人們","","-1","105",""
"1000","106","2020-02-18 16:00:00","20","","","復仇者馴鹿","","復仇者馴鹿","","-1","106",""
"1500","107","2020-02-18 16:00:00","20","","","Call Me Darling！","","Call Me Darling！","","-1","107",""
"1000","108","2020-04-20 16:00:00","20","","","王都終末決戰","","王都終末決戰","","2015007","108",""
"1000","109","2020-04-20 16:00:00","20","","","與侍奉皇帝之徒的戰鬥","","與侍奉皇帝之徒的戰鬥","","2015007","109",""
"1000","110","2020-04-20 16:00:00","20","","","與神的決戰","","與神的決戰","","2015007","110",""
"1000","111","2020-04-20 16:00:00","20","","","狂奔！　蘭德索爾的公會競速賽","","狂奔！　蘭德索爾的公會競速賽","","-1","111",""
"1000","112","2020-04-20 16:00:00","20","","","山神大人","","山神大人","","-1","112",""
"1500","113","2020-04-20 16:00:00","20","","","SAI＊KOU起跑衝刺","","SAI＊KOU起跑衝刺","","-1","113",""
"1000","114","2020-04-20 16:00:00","20","","","遙望著大海","","遙望著大海","","-1","114",""
"1000","115","2020-04-20 16:00:00","20","","","魔法少女　兩人是Misty&Purely","","魔法少女　兩人是Misty&Purely","","-1","115",""
"1000","116","2020-04-20 16:00:00","20","","","反逆獸","","反逆獸","","-1","116",""
"1500","117","2020-04-20 16:00:00","20","","","枝葉流光下的蒙太奇","","枝葉流光下的蒙太奇","","-1","117",""
"1000","118","2020-09-30 16:00:00","20","","","目標成為偶像！","","目標成為偶像！","","-1","118",""
"1000","119","2020-09-30 16:00:00","20","","","回憶的足跡","","回憶的足跡","","-1","119",""
"1000","120","2020-06-18 10:00:00","20","","","公主騎士","","公主騎士","","-1","120",""
