f1212c27cfe5b051aefd72a0e7d57a16daab40181659ddc02af33f43e4fc1c6f,22a9c8a772aff86606ab95a34223f36d6c2f67d75c63b56277362901ef56a941,810a60b044271b4394c1192ba57d69d49f22fc367e705a1f96fe389467e47f32,72d0f204a4057c66d64c4cd8d9f5971ec30e68507bf0a9eca51f044cc84ae6a7,4ee089489018eadd299968cb26e2eedcca8aa39da1f7c8f6b16e4b77eae39e7d,4062bb80f77e88a65149d2bd767f7eda35ed06d1430d8614e657aa102c304610,3470e1fcd50a1b42c5c43b9dd9fa1579a171e8375115c5098c775f3c1e84363b,b7a99062e402d0881626212c8a45525a2e04f147a82a6226fc8a9edf6cd6a73d
"4","5","48","1","111","1","2","3"
"4","5","96","1","121","1","2","3"
"4","5","144","1","131","1","2","3"
"4","5","192","1","141","1","2","3"
"4","5","240","1","151","1","2","3"
"0","0","84","2","211","1","0","0"
"0","0","168","2","221","1","0","0"
"0","0","252","2","231","1","0","0"
"0","0","336","2","241","1","0","0"
"0","0","420","2","251","1","0","0"
"0","0","36","5","311","3","0","0"
"0","0","72","5","321","3","0","0"
"0","0","108","5","331","3","0","0"
"0","0","144","5","341","3","0","0"
"0","0","180","5","351","3","0","0"
"0","0","84","4","411","4","0","0"
"0","0","168","4","421","4","0","0"
"0","0","252","4","431","4","0","0"
"0","0","336","4","441","4","0","0"
"0","0","420","4","451","4","0","0"
"0","0","84","4","511","2","0","0"
"0","0","168","4","521","2","0","0"
"0","0","252","4","531","2","0","0"
"0","0","336","4","541","2","0","0"
"0","0","420","4","551","2","0","0"
"0","0","84","2","611","4","0","0"
"0","0","168","2","621","4","0","0"
"0","0","252","2","631","4","0","0"
"0","0","336","2","641","4","0","0"
"0","0","420","2","651","4","0","0"
"0","0","56","1","711","5","0","0"
"0","0","112","1","721","5","0","0"
"0","0","168","1","731","5","0","0"
"0","0","224","1","741","5","0","0"
"0","0","280","1","751","5","0","0"
"0","0","1","101","811","2","0","0"
"0","0","84","2","911","3","0","0"
"0","0","168","2","921","3","0","0"
"0","0","252","2","931","3","0","0"
"0","0","336","2","941","3","0","0"
"0","0","420","2","951","3","0","0"
"0","0","1","101","1011","1","0","0"
"0","0","36","5","1111","2","0","0"
"0","0","72","5","1121","2","0","0"
