4160a9fb390010c454c66cca19e84bf04b01af4b777d48bcbdc2b0b2588ef382,7cdc08adf04d86e2eb0121cdf8c306015f1c1eaf6ac4d98a27dc7fc963caf9b7,e8bba6a018f9894eb439c45039c9dc8e7b569560485e2076c9ea7bf59dc3e95a,b1bcf12e4d62ab3e9ba0e518f18464ba8f4687a9a1105a3a2122609b319f20b8,d6041ad46b1f9c4a2f1e923b24141a5a004ab1d45fe03858ef9864ce0a09bcca,57d3f306a49ff54e4ee7eebf6fa52f4b39c2f6fc2b2056b9cf1d74a828beb527,900a582064260c1572d36a1a1e8ee41f6206ead3633dd3f12e1b7b84d39316d6,e110eb58751ba301a9d2211bd5ea803cb418265c6b25f200871b07b8eb22cc39,b9690dec28b045d55e9ac703bca418b6f294d055cf4881ce311276e0af6a3716,c873701542c5df27d88c1f7632daa6c50dfecbe8bf8d64cef3f99c3abbe22a15,73b95bb37c70b1a8cc861703180a76567ce4a0ecc0efca022f147342a5af5cbb,12c6423eee245edf87c9080d96a93e17b107c0e43399d0857113c154cf970539,0a989dfcabab0f847d2602bb50d3283276faba6c14a91a3fe3a375366a59272c,fc01f2022d1e90d0d68866cb5d130563a35f245bede609d2947086c96b3eee85
"6","1","1001","30","1","1","4","1","-1","7","1","30","1","1"
"6","1","1002","60","1","1","31","1","-1","11","1","60","1","1"
"6","1","1003","90","1","1","61","1","-1","15","1","90","1","1"
"6","1","1004","120","1","1","91","1","-1","19","1","120","1","1"
"6","1","1005","150","1","1","121","1","-1","23","1","150","1","1"
"6","1","1006","180","1","1","151","1","-1","27","1","180","1","1"
"6","1","1007","210","1","1","181","1","-1","29","1","210","1","1"
"6","1","1008","240","1","1","211","1","-1","31","1","240","1","1"
"6","1","1009","270","1","1","241","1","-1","31","1","270","1","1"
"6","1","1010","300","1","1","271","1","-1","31","1","300","1","1"
"6","1","1011","-1","1","1","301","1","-1","31","1","310","1","1"
"5","1","1101","30","1","1","4","1","-1","7","1","30","2","1"
"5","1","1102","60","1","1","31","1","-1","11","1","60","2","1"
"5","1","1103","90","1","1","61","1","-1","15","1","90","2","1"
"5","1","1104","120","1","1","91","1","-1","19","1","120","2","1"
"5","1","1105","150","1","1","121","1","-1","23","1","150","2","1"
"5","1","1106","180","1","1","151","1","-1","27","1","180","2","1"
"5","1","1107","210","1","1","181","1","-1","29","1","210","2","1"
"5","1","1108","240","1","1","211","1","-1","31","1","240","2","1"
"5","1","1109","270","1","1","241","1","-1","31","1","270","2","1"
"5","1","1110","300","1","1","271","1","-1","31","1","300","2","1"
"5","1","1111","-1","1","1","301","1","-1","31","1","310","2","1"
"5","1","1201","30","1","1","4","1","-1","7","1","-1","3","1"
"5","1","1202","60","1","1","31","1","-1","11","1","-1","3","1"
"5","1","1203","90","1","1","61","1","-1","15","1","-1","3","1"
"5","1","1204","120","1","1","91","1","-1","19","1","-1","3","1"
"5","1","1205","150","1","1","121","1","-1","23","1","-1","3","1"
"5","1","1206","180","1","1","151","1","-1","27","1","-1","3","1"
"5","1","1207","210","1","1","181","1","-1","29","1","-1","3","1"
"5","1","1208","240","1","1","211","1","-1","31","1","-1","3","1"
"5","1","1209","270","1","1","241","1","-1","31","1","-1","3","1"
"5","1","1210","300","1","1","271","1","-1","31","1","-1","3","1"
"5","1","1211","-1","1","1","301","1","-1","31","1","-1","3","1"
"5","1","1301","30","1","1","4","1","-1","7","1","30","4","1"
"5","1","1302","60","1","1","31","1","-1","10","1","60","4","1"
"5","1","1303","90","1","1","61","1","-1","13","1","90","4","1"
"5","1","1304","120","1","1","91","1","-1","16","1","120","4","1"
"5","1","1305","150","1","1","121","1","-1","19","1","150","4","1"
"5","1","1306","180","1","1","151","1","-1","22","1","180","4","1"
"5","1","1307","210","1","1","181","1","-1","25","1","210","4","1"
"5","1","1308","240","1","1","211","1","-1","28","1","240","4","1"
"5","1","1309","270","1","1","241","1","-1","28","1","270","4","1"
"5","1","1310","300","1","1","271","1","-1","28","1","300","4","1"
"5","1","1311","-1","1","1","301","1","-1","28","1","310","4","1"
"5","1","1401","30","1","1","4","1","-1","7","1","-1","5","1"
"5","1","1402","60","1","1","31","1","-1","10","1","-1","5","1"
"5","1","1403","90","1","1","61","1","-1","13","1","-1","5","1"
"5","1","1404","120","1","1","91","1","-1","16","1","-1","5","1"
"5","1","1405","150","1","1","121","1","-1","19","1","-1","5","1"
