68cf3f66ef87ce2d13cf4950ed35fe7a76042624fb96e34a98467704a98ef64d,4d0b6a8cebc611d48fc92e946d1579f74a2d92613d6fe744a23c93442e69b590,e4511e1ba4ebc8cc85d4d07b3e21b10982cb265d48d6407c519d9e4dfc67d72c,e0ac7d2066c760ab4511922a1425434cb41fb0d65bbb9f7e4ccfda1a9d7a2fa4,bf89a4bcceba5f64ae86b78522c4e71dc6f8ac9e2356ce1cefa721fb78f2cbe1,0476fb27d8497f12ac171b99ea5e323ca71d356759a0a0ec143e7666eb643058,0a51d0c60986a5d825274106a88e33e5feb90f2686f8dcb862789c05be84ab7f,37f4027094cbeb4c187fca8f496cf815478459e30ae541ce7de75249878ca391,1b99abe7b4d45a82f85108f33e46116ffac2f9926667590dde96332d7a0aa906,ee7299a19064c4437c4f3f6d9d738885b89d2e848ca0c5385d593895e9a347fe,89aed7475f5df164d1e47b7cff81e0301fae749a29d533c9599944836f89514a,ce91346b6f42fc805f2c42ad1a665a612f728ed61b0482eb4e69cff4e000ed1e
"100101001","108701","破曉之星（日和）","100101","0","0","122401","180101","0","0","128701","0"
"100201001","108801","破曉之星（優衣）","100201","0","128901","115601","180201","0","0","122601","0"
"100301001","108901","破曉之星（怜）","100301","0","128801","180301","114001","0","0","122501","0"
"100401001","111201","小小甜心（禊）","100401","0","0","0","122801","0","0","0","0"
"100501001","114101","王宮騎士團（茉莉）","100501","0","0","0","123901","0","0","0","0"
"100601001","113701","惡魔偽王國軍（茜里）","100601","0","0","0","124001","0","0","0","0"
"100701001","108201","惡魔偽王國軍（宮子）","100701","0","0","0","119901","0","0","0","0"
"100801001","117601","純白之翼（雪）","100801","0","0","0","126301","0","0","0","0"
"100901001","113201","暮光流星群（杏奈）","100901","0","0","0","121901","0","0","0","0"
"101001001","110601","哞哞自衛隊（真步）","101001","0","0","123101","116001","0","0","131001","0"
"101101001","112901","拉比林斯（璃乃）","101101","0","0","0","119301","0","0","0","0"
"101201001","113401","森林守衛（初音）","101201","0","0","0","128401","0","0","0","0"
"101301001","113301","暮光流星群（七七香）","101301","0","0","0","123701","0","0","0","0"
"101401001","112201","哞哞自衛隊（霞）","101401","0","0","128501","115701","0","0","0","0"
"101501001","113501","森林守衛（美里）","101501","0","0","0","124601","0","0","0","0"
"101601001","110001","月光學院（鈴奈）","101601","0","0","127301","117901","0","0","0","0"
"101701001","110501","哞哞自衛隊（香織）","101701","0","0","0","117701","0","0","0","0"
"101801001","110101","月光學院（伊緒）","101801","0","0","132901","119001","0","0","0","0"
"102001001","111301","小小甜心（美美）","102001","0","0","0","122901","0","0","0","0"
"102101001","108501","咲戀育幼院（胡桃）","102101","0","0","0","121301","0","0","0","0"
"102201001","113801","惡魔偽王國軍（依里）","102201","0","0","0","124101","0","0","0","0"
"102301001","108601","咲戀育幼院（綾音）","102301","0","0","0","123201","0","0","0","0"
"102501001","107701","咲戀育幼院（鈴莓）","102501","0","0","130801","112101","0","0","0","0"
"102601001","112701","伊麗莎白牧場（鈴）","102601","0","0","0","123501","0","0","0","0"
"102701001","109001","暮光流星群（惠理子）","102701","0","0","129901","117001","0","0","0","0"
"102801001","110301","咲戀育幼院（咲戀）","102801","0","0","127501","114501","0","0","133501","0"
"102901001","111601","慈樂之音（望）","102901","0","0","124801","117201","0","0","132201","0"
"103001001","109601","純白之翼（妮諾）","103001","0","0","0","117801","0","0","0","0"
"103101001","108101","惡魔偽王國軍（忍）","103101","0","0","127101","122001","0","0","0","0"
"103201001","114401","墨丘利財團（秋乃）","103201","0","0","0","126701","0","0","0","0"
"103301001","112801","伊麗莎白牧場（真陽）","103301","0","0","0","119201","0","0","0","0"
"103401001","114601","墨丘利財團（優花梨）","103401","0","0","126801","122201","0","0","0","0"
"103601001","111101","小小甜心（鏡華）","103601","0","0","130701","122701","0","0","0","0"
