cdc75ef58916f9d50899f63179cba026a34998e51ac77a8fdaae81245aa6a606,9fae7c6565d399a2419566aaa88cecdfc2e14a65c81c771027f3d43b5076654b,8df9fa7af377c05867d77c345377fb4700516f8cf1bb6222388bb13a12bf8ef4,2c24f46c25694d98ce6dd25ee797b52b63ac32197b6dfa4884a1a1f76c50cd17,caf959a5ec8b1e9ea7015ff922daf54ea875597e0bf1a9fd3df05f044d59bcbd,4a2e777a08e7a41b712bc0b980cc9ae4a9869b5951350f5cd13fdc6c545dda1d,7763627ecfeb5524f70d8893acba7c5570676af4fce5a41da638f5de746261ac,a20665160e3289b32fd3110fd7e1346375d7fbb806c5fa1e91ef1cf2c670cb5c,aa6d6261d6a3f8fe3763ed0a581ec54018caf3e67bba917223679733ae63cb90,47e505b86be5d178946432827cf781823f3292e5a94369f42a1ce66b0b5641d6
"0","vo_10011600_0101","0","1","2","","vo_10011600","1","1010001","0"
"0","0","0","2","1","　從明天開始","0","1","1010002","8"
"1.625","0","1","3","4","","0","1","1010003","0"
"0","0","0","4","1","就要入學聖德蕾莎女學院了！","0","1","1010004","10"
"4","0","1","5","4","","0","1","1010005","0"
"0","vo_10011600_0102","0","6","2","","vo_10011600","1","1010006","0"
"0","0","0","7","1","　為什麼","0","1","1010007","8"
"1.375","0","1","8","4","","0","1","1010008","0"
"0","0","0","9","1","事情會變成這個樣子呢？\n","0","1","1010009","9"
"3.33333333333333","0","1","10","4","","0","1","1010010","0"
"0","vo_10011600_0103","0","11","2","","vo_10011600","1","1010011","0"
"0","0","0","12","1","雖然美里老師","0","1","1010012","8"
"1.75","0","1","13","4","","0","1","1010013","0"
"0","0","0","14","1","說我一定沒問題的……","0","1","1010014","10"
"3","0","1","15","4","","0","1","1010015","0"
"0","0","0","16","1","但是我一定辦不到啊～！\n","0","1","1010016","8"
"3.875","0","1","17","4","","0","1","1010017","0"
"0","vo_10011600_0104","0","18","2","","vo_10011600","1","1010018","0"
"0","0","0","19","1","可是。","0","1","1010019","8"
"2.375","0","1","20","4","","0","1","1010020","0"
"0","0","0","21","1","可是……","0","1","1010021","8"
"2.5","0","1","22","4","","0","1","1010022","0"
"0","vo_10011600_0105","0","23","2","","vo_10011600","1","1010023","0"
"0","0","0","24","1","可是、","0","1","1010024","8"
"1.375","0","1","25","4","","0","1","1010025","0"
"0","0","0","26","1","如果、","0","1","1010026","8"
"1.5","0","1","27","4","","0","1","1010027","0"
"0","0","0","28","1","我可以在聖德蕾莎女學院好好努力。\n\n","0","1","1010028","8"
"4.875","0","1","29","4","","0","1","1010029","0"
"0","vo_10011600_0106","0","30","2","","vo_10011600","1","1010030","0"
"0","0","0","31","1","……是不是就能","0","1","1010031","6"
"1.58333333333333","0","1","32","4","","0","1","1010032","0"
"0","0","0","33","1","交到朋友呢？","0","1","1010033","8"
"1.75","0","1","34","4","","0","1","1010034","0"
"0","vo_10011600_0201","0","1","2","","vo_10011600","2","1020001","0"
"0","0","0","2","1","　一想到要用「日安」向別人打招呼，","0","2","1020002","8"
"2.375","0","1","3","4","","0","2","1020003","0"
"0","0","0","4","1","我孤單的心靈就會緊張到怦怦狂跳。\n","0","2","1020004","8"
"4","0","1","5","4","","0","2","1020005","0"
"0","vo_10011600_0202","0","6","2","","vo_10011600","2","1020006","0"
"0","0","0","7","1","不過，","0","2","1020007","8"
"1.125","0","1","8","4","","0","2","1020008","0"
