272038e9bd6d96081628dc98a91fa57edd396008a8fa010068d9c75b2841931a,a3e6fff519c4b25eb6593144df6cbae9895b47ef0b6b52e54d85a0ef3f76668d,3c9edf54a05085f59cd1b3aa526391e8e35b2f104c3a9c2671cd603f0179f3e9,0c7ccbc6c0c51ebeab5464ef87cae17b257c08c8066a4773a1de7a6a0d8ed19e,cd51636ed28f34abe551be3f6e3d87e9b52f16eb6e4bb0fd8a3f203060d698ba,e3fe1f4ee2f1c5942b9c41e98f76d4b8a35ac9eb1c0349d4bf6f6339ee847c4c,5b1e6997ce936a0f2b3a3b6afeac2ebd5bd23342127c6d42ffdbb7a7e611514f,14a3068402db9fd72c244bb5eb85946b1b8eee9c2f24dd7153e75b1dc4cde55d
"0","start_000-start_001,start_002/start_003-boss_emote_064-start_004","srt_kaya_idle","","GAME_START","srt_dragon_in,srt_dragon_idle","","srt_inori_idle"
"2","","srt_kaya_idle","首先由我先來吧！","ENEMY_FIRST","srt_dragon_idle","","srt_inori_idle"
"2","","srt_kaya_waiting","「{0}」嗎？\n由「{1}」韻來開頭的有……","ENEMY_TURN1","srt_dragon_idle","","srt_inori_idle"
"2","","srt_kaya_waiting","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞呀……","ENEMY_TURN2","srt_dragon_idle","","srt_inori_idle"
"2","","srt_kaya_waiting","「{0}」嗎？\nOK――，接著是「{1}」韻吧。","ENEMY_TURN3","srt_dragon_idle","","srt_inori_idle"
"2","","srt_kaya_waiting","嘿嘿，是「{0}」嗎？\n「{1}」韻可以用\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」的注音來接呢！\n所以可以接的詞有……","ENEMY_TURN_TW1","srt_dragon_idle","","srt_inori_idle"
"2","","srt_kaya_waiting","原來是「{0}」啊？\n「{1}」的韻其實跟很多音相同喔，\n像是「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個詞，\n嗯――，所以可以用來接「{1}」韻的詞呀……","ENEMY_TURN_TW2","srt_dragon_idle","","srt_inori_idle"
"2","","srt_kaya_waiting","「{0}」嗎？\n「{1}」韻可以跟「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」\n這些單音相接喔……\n好啦，跟這個韻相同開頭的詞有……","ENEMY_TURN_TW3","srt_dragon_idle","","srt_inori_idle"
"0","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","srt_kaya_help","","ENEMY_HELP","","srt_homare_help",""
"0","","srt_kaya_flash","","ENEMY_FLASH","","",""
"2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","是「{0}」！","ENEMY_SELECT1","srt_dragon_react_1,srt_dragon_idle","","srt_inori_react_1,srt_inori_idle"
"2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","是「{0}」呢！","ENEMY_SELECT2","srt_dragon_react_1,srt_dragon_idle","","srt_inori_react_1,srt_inori_idle"
"2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","是「{0}」喔！","ENEMY_SELECT3","srt_dragon_react_1,srt_dragon_idle","","srt_inori_react_1,srt_inori_idle"
"2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","「{0}」怎麼樣啊！","ENEMY_SELECT_GREAT1","srt_dragon_react_1,srt_dragon_idle","","srt_inori_react_1,srt_inori_idle"
"2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","嘿嘿～！是「{0}」！","ENEMY_SELECT_GREAT2","srt_dragon_react_1,srt_dragon_idle","","srt_inori_react_1,srt_inori_idle"
"-1","","","","ENEMY_SELECT_WAIT","","",""
"1","out_071","srt_kaya_shock","嘉夜夜，最後那是「鼻音」啊……","ENEMY_SELECT_N","","",""
