bbe3db33fad98667babf3522500aa15b8019a4854f4c5473a95af5e359be5663,0fc1953e88d51443cb70d55febaf18bf7fcf396794af32acbda80753e8a8f3f0,f53f7b87f83e17d904ede5376d648f1d001e4462b16e9bd8de2ee7206e5cc816,bb737451376984fe6f8a80d08a8999e387bcb0f6c7127e93cf7a8355eff1322e,34d4274e6e421338c5eca775fb67650b97ff5da87511b165de94bbef371e75da,e6f161fba4bc4ab9f91f95ffb829fb65918979f35c3bd5d87d6de4d5655ebaef,91cb2d013153af682e16ab6b9cdcc9b94f5a1e517893a41fc356cf0ef7f129be,2bc8a2991a3cb79e43f639fd3c736470934383fcb133a9215fc0d1d8356f5f4e
"10012103","1","0","0","10012","0","1001201","0"
"10012107","2","0","0","10012","0","1001202","0"
"10012109","3","0","0","10012","0","1001203","0"
"10012114","4","0","0","10012","0","1001204","1001201"
"10012114","5","0","0","10012","0","1001204","1001202"
"10012114","6","0","0","10012","0","1001204","1001203"
"20012103","7","0","0","20012","0","2001201","0"
"20012107","8","0","0","20012","0","2001202","0"
"20012109","9","0","0","20012","0","2001203","0"
"20012114","10","0","0","20012","0","2001204","2001201"
"20012114","11","0","0","20012","0","2001204","2001202"
"20012114","12","0","0","20012","0","2001204","2001203"
