388d87aa24a435727a65aa5ece89545a9bcfc6b5158adcefd34f7f4e5533bb34,0a4c9aae74383270aeff63447e6817690a18d16b013e2172a210913d0f53252d,b2a71b4962738458b3231c8a42e63de45e5cc348ca9751ef34868abad5174343,86a8d027d56d36a259284b66dd0e7f0874cf77c575098d9240fff3eeb435ec0a,f1c8fa930f6351325e5257fb3166ecc638b3c9790bcece0e9304766402a56ab2,0a46f625818194371e2ccb455fdd6694e83318d394cb7feedbc0e2da189abf07,016128f66eb7ac2bff14aead222ef8bc3918e5e8498bab0305043d4c3e5843dd,777bfb4cdfad3761563de402e82c15c3aa6ec2c3634a68a70f92791063b1f084,03cc80bf9d72b57033765c44c16f5bbdf8ee77550a0286254167ec1b8ca1ee6d,63b73ee0f99d5d457414b725d249e9f501293fa73d0add96f93339433c380c49,bcd65eedb4ea12dc92ed76c40c7bf9e5879f68e40700dc8ce5e851a643b752a8
"1","1","0","pt","1001","0","2","10011","0","10011105","0"
"2","1","1","m","1002","0","2","10015","0","10015103","0"
"3","1","0","pt","1003","0","2","10021","0","10021108","5021700"
"4","1","0","pt","1004","0","3","10027","0","5027007","5027700"
"5","1","0","pt","1005","0","2","10040","0","10040105","5040700"
"6","1","0","pt","1006","1","1","10046","5046006","5046006","0"
"7","1","0","pt","1007","3","3","10072","5072006","5072006","0"
"8","0","0","pt","1008","3","3","10080","5080000","5080007","5080700"
"9","0","0","pt","1009","0","0","0","0","0","9004201"
"10","1","0","pt","1010","3","1","10096","5096007","5096007","5096700"
"11","1","0","pt","1012","3","2","10126","5126000","10126107","0"
"12","1","0","pt","1013","1","3","10142","5142000","5142007","5142700"
"13","1","0","pt","1014","1","3","10156","5156000","5156007","5156700"
