6a6fbfee023a867f22e1e8882bdef20d9cd7bba72179f8771e877049fa018434,36198957b9359c097f7752159273f3f242be470eb469e5fa5625d5b136521c56,8661b2e5605f2120f9488da477c062613c08130157f9fae1b49e369ebb96f92a,776d369162170028db2d1d0691f203db64b3e885411ef7bf51d05dc4a87d8440,11c37e273747ab82165bfd8c7d7a0308e9a58d71f3e8cd3b280ff3411f1fd8ce,f746db6911f5e454d10a964ae9339ff201de886d3f19a286abf472b93ccf931c,b72f2ed213f4d4f74c4512073dcbcaef61fb210c53ae32ca9ff618b446f19a6b,97324dea169d2a0cea3af0a9f0d3c0c0fb29235d163cc48fc8d2ec9168244aa4,c4570ec7d51fedb45b8c8384e65fe089402d2802da07c70b1b3e4396a0ca41c8,4d8e451686115e7dfccf1e6a1af11c02994aa41d38dd25c07f419fe7989d993f,213caef6dccaadb449e30889d4b5f774c0f5fa81687ed8b250e97ab3ddb5c1bd,2a34980e764f951458c34620eeb0fbd43ddda54ef989130080cf043c1587acc1,5ae307585ad498c34bf45224ebe73a27aafd0c8fcfb69720c6cd792a539428f7
"0","0","0","0","0","10010001","1","1","0","0","57","10010484","0"
"1","0","0","0","10010674","10010099","1","2","0","0","59","10010100","0"
"10001","0","0","0","10010099","10010100","1","11","0","0","58","10010101","0"
"0","0","0","0","10010100","10010101","1","12","0","0","57","10010102","0"
"1","0","0","0","10010101","10010102","1","2","0","0","56","10010103","0"
"2","0","0","0","10010102","10010103","1","2","0","0","55","10010104","0"
"0","0","0","0","10010103","10010104","1","4","0","0","54","10010105","0"
"1","0","0","0","10010104","10010105","1","3","0","0","53","10010106","0"
"0","0","0","0","10010105","10010106","1","12","0","0","52","10010107","0"
"0","0","0","0","10010106","10010107","1","5","0","0","51","10010559","0"
"2","0","0","0","10010560","10010110","1","2","0","0","48","10010111","0"
"0","0","0","0","10010110","10010111","1","6","0","0","47","10010561","0"
"3","0","0","0","10010561","10010113","1","2","0","0","45","10010114","0"
"10001","0","0","0","10010113","10010114","1","11","0","0","44","10010562","0"
"0","0","0","0","10010562","10010116","1","4","0","0","42","10010117","0"
"0","0","0","0","10010116","10010117","1","6","0","0","41","10010118","0"
"3","0","0","0","10010117","10010118","1","3","0","0","40","10010563","0"
"10001","0","0","0","10010559","10010119","1","11","0","0","49","10010120","0"
"0","0","0","0","10010119","10010120","1","4","0","0","48","10010121","0"
"3","0","0","0","10010120","10010121","1","2","0","0","47","10010565","0"
"2","0","0","0","10010565","10010123","1","2","0","0","45","10010566","0"
"10003","0","0","0","10010566","10010125","1","7","0","0","43","10010126","0"
"0","0","0","0","10010125","10010126","1","4","0","0","42","10010127","0"
"10001","0","0","0","10010126","10010127","1","7","0","0","41","10010128","0"
"2","0","0","0","10010127","10010128","1","2","0","0","40","10010563","0"
"10001","0","0","0","10010563","10010130","1","7","0","0","38","10010131","0"
"0","0","0","0","10010130","10010131","1","6","0","0","37","10010132","0"
"10001","10010702","0","0","10010131","10010132","1","11","0","0","36","10010701","0"
"0","0","0","0","10010701","10010153","1","12","0","0","34","10010705","0"
"5","0","0","0","10010708","10010158","1","14","0","0","29","10010161","0"
"0","0","0","0","10010158","10010161","1","4","0","0","28","10010162","0"
"2","0","0","0","10010161","10010162","1","2","0","0","27","10010163","0"
"1","0","0","0","10010162","10010163","1","3","0","0","26","10010164","0"
"3","0","0","0","10010163","10010164","1","14","0","0","25","10010165","0"
"10001","0","0","0","10010164","10010165","1","11","0","0","24","10010166","0"
"0","0","0","0","10010165","10010166","1","12","0","0","23","10010167","0"
"2","0","0","0","10010166","10010167","1","3","0","0","22","10010568","0"
"10002","0","0","0","10010568","10010169","1","7","0","0","20","10010570","0"
"2","0","0","0","10010570","10010173","1","3","0","0","18","10010174","0"
"10001","0","0","0","10010173","10010174","1","7","0","0","17","10010175","0"
"0","0","0","0","10010174","10010175","1","4","0","0","16","10010176","0"
"1","0","0","0","10010175","10010176","1","2","0","0","15","10010177","0"
"2","0","0","0","10010176","10010177","1","2","0","0","14","10010178","0"
"2","0","0","0","10010177","10010178","1","3","0","0","13","10010179","0"
"0","0","0","0","10010178","10010179","1","12","0","0","12","10010180","0"
"0","0","0","0","10010179","10010180","1","6","0","0","11","10010181","0"
"0","0","0","0","10010180","10010181","1","4","0","0","10","10010182","0"
"2","0","0","0","10010181","10010182","1","2","0","0","9","10010183","0"
"3","0","0","0","10010182","10010183","1","2","0","0","8","10010184","0"
"3","0","0","0","10010183","10010184","1","14","0","0","7","10010555","0"
"1","0","0","0","10010558","10010186","1","14","0","0","3","10010187","0"
"3","0","0","0","10010186","10010187","1","3","0","0","2","10010188","0"
"2","0","0","0","10010187","10010188","1","2","0","0","1","10010189","0"
"0","0","0","0","10010188","10010189","1","13","0","0","0","10010190","0"
"0","0","0","0","10010189","10010190","1","12","0","0","60","10010191","0"
"0","0","0","0","10010190","10010191","1","6","0","0","59","10010192","0"
"1","0","0","0","10010191","10010192","1","3","0","0","58","10010193","0"
"10001","0","0","0","10010192","10010193","1","7","0","0","57","10010194","0"
"0","0","0","0","10010193","10010194","1","5","0","0","56","10010195","0"
"2","0","0","0","10010194","10010195","1","3","0","0","55","10010196","0"
"10001","0","0","0","10010195","10010196","1","11","0","0","54","10010197","0"
"0","0","0","0","10010196","10010197","1","4","0","0","53","10010198","0"
"1","0","0","0","10010197","10010198","1","2","0","0","52","10010199","0"
"2","0","0","0","10010198","10010199","1","14","0","0","51","10010200","0"
"1","0","0","0","10010199","10010200","1","2","0","0","50","10010201","0"
"1","10010716","0","0","10010200","10010201","1","3","0","0","49","10010214","0"
"0","0","0","0","10010201","10010214","1","4","0","0","48","10010215","0"
"0","0","0","0","10010214","10010215","1","12","0","0","47","10010710","0"
"10001","0","0","0","10010711","10010218","1","11","0","0","44","10010219","0"
"2","0","0","0","10010218","10010219","1","2","0","0","43","10010220","0"
"0","0","0","0","10010219","10010220","1","4","0","0","42","10010221","0"
"2","0","0","0","10010220","10010221","1","3","0","0","41","10010222","0"
"1","0","0","0","10010221","10010222","1","2","0","0","40","10010223","0"
"2","0","0","0","10010222","10010223","1","2","0","0","39","10010224","0"
"0","0","0","0","10010223","10010224","1","4","0","0","38","10010225","0"
"10002","0","0","0","10010224","10010225","1","7","0","0","37","10010226","0"
"10001","0","0","0","10010225","10010226","1","11","0","0","36","10010227","0"
"4","0","0","0","10010226","10010227","1","14","0","0","35","10010228","0"
"0","0","0","0","10010227","10010228","1","5","0","0","34","10010229","0"
"1","0","0","0","10010228","10010229","1","2","0","0","33","10010230","0"
"3","0","0","0","10010229","10010230","1","14","0","0","32","10010231","0"
"0","0","0","0","10010230","10010231","1","4","0","0","31","10010232","0"
"10001","0","0","0","10010231","10010232","1","7","0","0","30","10010233","0"
"0","10010236","0","0","10010232","10010233","1","6","0","0","29","10010234","0"
"10001","0","0","0","10010233","10010234","1","7","0","0","28","10010573","0"
"3","0","0","0","10010233","10010236","1","2","0","0","28","10010237","0"
"2","0","0","0","10010236","10010237","1","3","0","0","27","10010574","0"
"3","0","0","0","10010574","10010239","1","3","0","0","25","10010240","0"
"3","0","0","0","10010239","10010240","1","2","0","0","24","10010241","0"
"0","0","0","0","10010240","10010241","1","4","0","0","23","10010575","0"
"2","0","0","0","10010245","10010244","1","14","0","0","24","10010564","0"
"10003","0","0","0","10010246","10010245","1","7","0","0","25","10010244","0"
"1","0","0","0","10010573","10010246","1","14","0","0","26","10010245","0"
"0","0","0","0","10010575","10010247","1","4","0","0","21","10010248","0"
"10001","10010250","0","0","10010247","10010248","1","11","0","0","20","10010249","0"
"10003","0","0","0","10010248","10010249","1","7","0","0","19","10010253","0"
"0","0","0","0","10010248","10010250","1","5","0","0","19","10010251","0"
"0","0","0","0","10010250","10010251","1","6","0","0","18","10010577","0"
"2","0","0","0","10010249","10010253","1","3","0","0","18","10010576","0"
"5","0","0","10010577","10010576","10010255","1","14","0","0","16","10010256","0"
"2","0","0","0","10010255","10010256","1","2","0","0","15","10010257","0"
"0","0","0","0","10010256","10010257","1","12","0","0","14","10010258","0"
"1","0","0","0","10010257","10010258","1","2","0","0","13","10010259","0"
"10001","0","0","0","10010258","10010259","1","7","0","0","12","10010260","0"
"2","0","0","0","10010259","10010260","1","2","0","0","11","10010261","0"
"10001","0","0","0","10010260","10010261","1","7","0","0","10","10010262","0"
"1","0","0","0","10010261","10010262","1","3","0","0","9","10010263","0"
"10001","0","0","0","10010262","10010263","1","7","0","0","8","10010264","0"
"0","10010717","0","0","10010263","10010264","1","6","0","0","7","10010719","0"
"2","0","0","0","10010719","10010272","1","3","0","0","5","10010273","0"
"10002","0","0","10010721","10010272","10010273","1","7","0","0","4","10010274","0"
"0","0","0","0","10010273","10010274","1","4","0","0","3","10010275","0"
"3","0","0","0","10010274","10010275","1","2","0","0","2","10010276","0"
