57516083cf74f47722ea121152148881e1430d6c5eff9e5d87a2aaa73c2ccd43,4c8bfb675fdd135309256a16de982d63084517a0c797c71faf6a1f9dcd919d54,5863402fb9059ac18b6430fe19b13ef086a293756f22b004f2bddb12d783fe4d,2b3a654bc220902041dd69533baba9b6a3e7929dcbb9905a6b84c1de46bb21ef,7a6620110a17224dab9d1c1d72bc164b33f09b1f674e0465832aeb3e34197498
"770110101","90","1","111","770110101"
"770110201","90","1","111","770110201"
"770110301","90","1","111","770110301"
"770110401","90","1","111","770110401"
"770110501","90","1","111","770110501"
"770110601","90","1","111","770110601"
"770110701","90","1","111","770110701"
"770110801","90","1","111","770110801"
"770110901","90","1","111","770110901"
"770111001","90","1","111","770111001"
"770111101","90","1","111","770111101"
"770111201","90","1","111","770111201"
"770111301","90","1","111","770111301"
"770111401","90","1","111","770111401"
"770111501","90","1","111","770111501"
"770111601","90","1","111","770111601"
"770111701","90","1","111","770111701"
"770111801","90","1","111","770111801"
"770111901","90","1","111","770111901"
"770112001","90","1","111","770112001"
"770112101","90","1","111","770112101"
"770112201","90","1","111","770112201"
"770112301","90","1","111","770112301"
"770112401","90","1","111","770112401"
"770112501","90","1","111","770112501"
"770112601","90","1","111","770112601"
"770112701","90","1","111","770112701"
"770112801","90","1","111","770112801"
"770112901","90","1","111","770112901"
"770113001","90","1","111","770113001"
"770113101","90","1","111","770113101"
"770113201","90","1","111","770113201"
"770113301","90","1","111","770113301"
"770113401","90","1","111","770113401"
"770113501","90","1","111","770113501"
"770113601","90","1","111","770113601"
"770120101","90","2","112","770120101"
"770120201","90","2","112","770120201"
"770120301","90","2","112","770120301"
"770120401","90","2","112","770120401"
"770120501","90","2","112","770120501"
"770120601","90","2","112","770120601"
"770120701","90","2","112","770120701"
"770120801","90","2","112","770120801"
"770120901","90","2","112","770120901"
"770121001","90","2","112","770121001"
"770121101","90","2","112","770121101"
"770121201","90","2","112","770121201"
"770210101","90","1","121","770210101"
"770210201","90","1","121","770210201"
"770210301","90","1","121","770210301"
"770210401","90","1","121","770210401"
"770210501","90","1","121","770210501"
"770210601","90","1","121","770210601"
"770210701","90","1","121","770210701"
"770210801","90","1","121","770210801"
"770210901","90","1","121","770210901"
"770211001","90","1","121","770211001"
"770211101","90","1","121","770211101"
"770211201","90","1","121","770211201"
"770211301","90","1","121","770211301"
"770211401","90","1","121","770211401"
"770211501","90","1","121","770211501"
"770211601","90","1","121","770211601"
"770211701","90","1","121","770211701"
"770211801","90","1","121","770211801"
"770211901","90","1","121","770211901"
"770212001","90","1","121","770212001"
"770212101","90","1","121","770212101"
"770212201","90","1","121","770212201"
"770212301","90","1","121","770212301"
"770212401","90","1","121","770212401"
"770212501","90","1","121","770212501"
"770212601","90","1","121","770212601"
"770212701","90","1","121","770212701"
"770212801","90","1","121","770212801"
"770212901","90","1","121","770212901"
"770213001","90","1","121","770213001"
"770213101","90","1","121","770213101"
"770213201","90","1","121","770213201"
"770213301","90","1","121","770213301"
"770213401","90","1","121","770213401"
"770213501","90","1","121","770213501"
"770213601","90","1","121","770213601"
"770220101","90","2","122","770220101"
"770220201","90","2","122","770220201"
"770220301","90","2","122","770220301"
"770220401","90","2","122","770220401"
"770220501","90","2","122","770220501"
"770220601","90","2","122","770220601"
"770220701","90","2","122","770220701"
"770220801","90","2","122","770220801"
"770220901","90","2","122","770220901"
"770221001","90","2","122","770221001"
"770221101","90","2","122","770221101"
"770221201","90","2","122","770221201"
"770310101","90","1","131","770310101"
"770310201","90","1","131","770310201"
"770310301","90","1","131","770310301"
"770310401","90","1","131","770310401"
"770310501","90","1","131","770310501"
"770310601","90","1","131","770310601"
"770310701","90","1","131","770310701"
"770310801","90","1","131","770310801"
"770310901","90","1","131","770310901"
"770311001","90","1","131","770311001"
"770311101","90","1","131","770311101"
"770311201","90","1","131","770311201"
"770311301","90","1","131","770311301"
"770311401","90","1","131","770311401"
"770311501","90","1","131","770311501"
"770311601","90","1","131","770311601"
"770311701","90","1","131","770311701"
"770311801","90","1","131","770311801"
"770311901","90","1","131","770311901"
"770312001","90","1","131","770312001"
"770312101","90","1","131","770312101"
"770312201","90","1","131","770312201"
"770312301","90","1","131","770312301"
"770312401","90","1","131","770312401"
"770312501","90","1","131","770312501"
"770312601","90","1","131","770312601"
"770312701","90","1","131","770312701"
"770312801","90","1","131","770312801"
"770312901","90","1","131","770312901"
"770313001","90","1","131","770313001"
"770313101","90","1","131","770313101"
"770313201","90","1","131","770313201"
"770313301","90","1","131","770313301"
"770313401","90","1","131","770313401"
"770313501","90","1","131","770313501"
"770313601","90","1","131","770313601"
"770320101","90","2","132","770320101"
"770320201","90","2","132","770320201"
"770320301","90","2","132","770320301"
"770320401","90","2","132","770320401"
"770320501","90","2","132","770320501"
"770320601","90","2","132","770320601"
"770320701","90","2","132","770320701"
"770320801","90","2","132","770320801"
"770320901","90","2","132","770320901"
"770321001","90","2","132","770321001"
"770321101","90","2","132","770321101"
"770321201","90","2","132","770321201"
"770330101","90","3","133","770330101"
"770330102","90","3","233","770330101"
"770330201","90","3","133","770330201"
"770330202","90","3","233","770330201"
"770330301","90","3","133","770330301"
"770330302","90","3","233","770330301"
"770330401","90","3","133","770330401"
"770330402","90","3","233","770330401"
"770330501","90","3","133","770330501"
"770330502","90","3","233","770330501"
"770330601","90","3","333","770330601"
"770330701","90","3","333","770330701"
"770330801","90","3","333","770330801"
"770330901","90","3","333","770330901"
"770331001","90","3","333","770331001"
"770331101","90","3","333","770331101"
"770331201","90","3","333","770331201"
"770331301","90","3","333","770331301"
"770331401","90","3","333","770331401"
"770331501","90","3","333","770331501"
"770331601","90","3","333","770331601"
"770331701","90","3","333","770331701"
"770331801","90","3","333","770331801"
"770331901","90","3","333","770331901"
"770332001","90","3","333","770332001"
"770410101","90","1","241","770410101"
"770410201","90","1","241","770410201"
"770410301","90","1","241","770410301"
"770410401","90","1","241","770410401"
"770410501","90","1","241","770410501"
"770410601","90","1","241","770410601"
"770410701","90","1","241","770410701"
"770410801","90","1","241","770410801"
"770410901","90","1","241","770410901"
"770411001","90","1","241","770411001"
"770411101","90","1","241","770411101"
"770411201","90","1","241","770411201"
"770411301","90","1","241","770411301"
"770411401","90","1","241","770411401"
"770411501","90","1","241","770411501"
"770411601","90","1","241","770411601"
"770411701","90","1","241","770411701"
"770411801","90","1","241","770411801"
"770411901","90","1","241","770411901"
"770412001","90","1","241","770412001"
"770412101","90","1","241","770412101"
"770412201","90","1","241","770412201"
"770412301","90","1","241","770412301"
"770412401","90","1","241","770412401"
"770412501","90","1","241","770412501"
"770412601","90","1","241","770412601"
"770412701","90","1","241","770412701"
"770412801","90","1","241","770412801"
"770412901","90","1","241","770412901"
"770413001","90","1","241","770413001"
"770413101","90","1","241","770413101"
"770413201","90","1","241","770413201"
"770413301","90","1","241","770413301"
"770413401","90","1","241","770413401"
"770413501","90","1","241","770413501"
"770413601","90","1","241","770413601"
