780399ef91f91ed1ad22e472e841d7020d797a19c285e1ae54ac022791fff335,bb9074d09cd96c3316b671587d33d085f1f04d58e12ade61d16d6cb088126fad,5dda0ec1c84c5e1edc724cb9a064c6ff35cfad1c818062ea6ce65419fddb6187,a718a1857b0a0b7fc8880f7fb0db3661f801407e10be2d2865a9d89d27cf1236,2bb9a3a2612697583b3da3b2922dfaf195e5843d8a9397ad9217db464bccc7ff,661d59e66d0677639383988fead496753b79ffbea5403768d393036b9452bcb1,fc43d9a38cdbc2e325238de0e67723df9df736e954872778ceff488f227f7b98,18227fffbe094cbe0749308ac8d0105aec004cde34128946b24b08ed353cb0c3,591547cb5e98f48a5bda1e82d99937e675f92467e6ef9b338072c204eac98b7d,cfd44e05bdd89dd99e78be6874b8af643e4324877e78796084ba04e0161e3826,66886144c5a78dd0d9d19a085982329ab7df7d782ae713e67eb454876fffcbc7
"23","se_fpc_water_random","","","se_10053800","11010001","","101","","",""
"1","<unit_id>","cmn_swm_tread","1.75","1","11010002","-180","101","-850","0","23"
"5","1","cmn_swm_tread_pink","1.75","1","11010003","-180","101","-850","0","22"
"31","3","","1","3","11010004","1","101","-180","","-850"
"91","0","","","0","11010005","","101","","",""
"2","850","","","<unit_id>","11010006","","101","10","","-180"
"2","850","","","1","11010007","","101","10","","-180"
"33","850","","","3","11010008","","101","10","","-180"
"23","se_fpc_water_random","","","se_10053800","11020001","","102","","",""
"1","<unit_id>","cmn_swm_tread","1.75","1","11020002","-180","102","-850","0","23"
"5","1","cmn_swm_tread_blue","1.75","1","11020003","-180","102","-850","0","22"
"31","3","","1","3","11020004","1","102","-180","","-850"
"91","0","","","0","11020005","","102","","",""
"2","850","","","<unit_id>","11020006","","102","10","","-180"
"2","850","","","1","11020007","","102","10","","-180"
"33","850","","","3","11020008","","102","10","","-180"
"23","se_fpc_water_random","","","se_10053800","11030001","","103","","",""
"1","<unit_id>","cmn_swm_tread","1.75","1","11030002","-180","103","-850","0","23"
"5","1","cmn_swm_tread","1.75","1","11030003","-180","103","-850","0","22"
"31","3","","1","3","11030004","1","103","-180","","-850"
"91","0","","","0","11030005","","103","","",""
"2","850","","","<unit_id>","11030006","","103","10","","-180"
"2","850","","","1","11030007","","103","10","","-180"
"33","850","","","3","11030008","","103","10","","-180"
"23","se_fpc_water_random","","","se_10053800","11510001","","151","","",""
"1","<unit_id>","cmn_swm_flutterKick","1.75","1","11510002","-180","151","-850","0","22"
"31","1","","1","1","11510003","1","151","-180","","-850"
"91","0","","","0","11510004","","151","","",""
"2","1050","","","<unit_id>","11510005","","151","10","","-180"
"33","1050","","","1","11510006","","151","10","","-180"
"23","se_fpc_water_random","","","se_10053800","12010001","","201","","",""
"1","<unit_id>","cmn_swm_breastStroke","1.75","1","12010002","-180","201","-850","0","22"
"31","2","","1","2","12010003","1","201","-180","","-850"
"91","0","","","0","12010004","","201","","",""
"2","850","","","<unit_id>","12010005","","201","10","","-180"
"33","850","","","2","12010006","","201","10","","-180"
"23","se_fpc_water_random","","","se_10053800","12510001","","251","","",""
"1","<unit_id>","cmn_swm_diving","1.75","1","12510002","-180","251","-850","0","22"
"31","9","","1","9","12510003","1","251","-180","","-850"
"91","0","","","0","12510004","","251","","",""
"2","850","","","<unit_id>","12510005","","251","10","","-180"
"33","850","","","9","12510006","","251","10","","-180"
"23","se_fpc_water_random","","","se_10053800","13010001","","301","","",""
"1","<unit_id>","cmn_swm_flutterKick_floatRing","1.75","1","13010002","-180","301","-850","0","23"
"5","1","cmn_swm_flutterKick_floatRing_pink","1.75","1","13010003","-180","301","-850","0","22"
"31","1","","1","1","13010004","1","301","-180","","-850"
"91","0","","","0","13010005","","301","","",""
"2","1050","","","<unit_id>","13010006","","301","10","","-180"
"2","1050","","","1","13010007","","301","10","","-180"
"33","1050","","","1","13010008","","301","10","","-180"
"23","se_fpc_water_random","","","se_10053800","13020001","","302","","",""
"1","<unit_id>","cmn_swm_flutterKick_floatRing","1.75","1","13020002","-180","302","-850","0","23"
"5","1","cmn_swm_flutterKick_floatRing_blue","1.75","1","13020003","-180","302","-850","0","22"
"31","1","","1","1","13020004","1","302","-180","","-850"
"91","0","","","0","13020005","","302","","",""
"2","1050","","","<unit_id>","13020006","","302","10","","-180"
"2","1050","","","1","13020007","","302","10","","-180"
"33","1050","","","1","13020008","","302","10","","-180"
"23","se_fpc_water_random","","","se_10053800","13030001","","303","","",""
"1","<unit_id>","cmn_swm_flutterKick_floatRing","1.75","1","13030002","-180","303","-850","0","23"
"5","1","cmn_swm_flutterKick_floatRing","1.75","1","13030003","-180","303","-850","0","22"
"31","1","","1","1","13030004","1","303","-180","","-850"
"91","0","","","0","13030005","","303","","",""
"2","1050","","","<unit_id>","13030006","","303","10","","-180"
"2","1050","","","1","13030007","","303","10","","-180"
"33","1050","","","1","13030008","","303","10","","-180"
"23","se_fpc_water_random","","","se_10053800","13510001","","351","","",""
"1","<unit_id>","cmn_swm_flutterKick_floatRing","1.75","1","13510002","-180","351","-850","0","23"
"5","1","cmn_swm_flutterKick_floatBoad","1.75","1","13510003","-180","351","-850","0","22"
"31","1","","1","1","13510004","1","351","-180","","-850"
