ec4b0441fb1115459216d64c550d35a5866cfbfadf0ed590d148474c87f0262d,6cc5c9b95f96396837401aa5baba493054b088e4f271cd1683fdb444734b6b9c,bb86485027da2cc1c47592422433de5b38488f5e8f466445f3483b9855bbc963,4c5ae436f01be0c7a8e3a02bee7228390d59204349164de316872798aaf1e004,6de3dcb096f0e2c7eb3a4f336cfac13c114cd68769fafe7c706241c1437eee10,1a22cf8118f25770f452fcca66e9a7b265e6dcbe6c86bac7547414e6b9ad4829,0e36787ab0c5ae92b8667b31a6a3ab3837e1da659fcef6312b88f0503c87a40e
"94002","取得累積分數2500分","50000","12","1","2500","5126700"
"94002","取得累積分數5000分","50000","12","1","5000","0"
"94002","取得累積分數7500分","50000","12","1","7500","0"
"2839","取得累積分數10000分","1","7","1","10000","5126701"
"94002","取得累積分數12500分","80000","12","1","12500","0"
"94002","取得累積分數15000分","80000","12","1","15000","0"
"94002","取得累積分數17500分","80000","12","1","17500","0"
"91002","取得累積分數20000分","25","8","1","20000","5126702"
"94002","取得累積分數22500分","100000","12","1","22500","0"
"94002","取得累積分數25000分","100000","12","1","25000","0"
"91002","取得累積分數27500分","100","8","1","27500","0"
"11001262","取得累積分數30000分","1","15","1","30000","5126703"
"94002","取得累積分數2500分","50000","12","2","2500","5126710"
"94002","取得累積分數5000分","50000","12","2","5000","0"
"94002","取得累積分數7500分","50000","12","2","7500","0"
"2840","取得累積分數10000分","1","7","2","10000","5126711"
"94002","取得累積分數12500分","80000","12","2","12500","0"
"94002","取得累積分數15000分","80000","12","2","15000","0"
"94002","取得累積分數17500分","80000","12","2","17500","0"
"91002","取得累積分數20000分","25","8","2","20000","5126712"
"94002","取得累積分數22500分","100000","12","2","22500","0"
"94002","取得累積分數25000分","100000","12","2","25000","0"
"91002","取得累積分數27500分","100","8","2","27500","0"
"11001263","取得累積分數30000分","1","15","2","30000","5126713"
