e32a2220fc9146a4e496c7206721c7e09c1ac2384c0cfaeae7645d196ee4ce2e,7e85ac1cced0ab5a1a7eb1370d2ecb5e9cef95a9dfa959910ac0eb2990753495,a1d578c2ea47f1118c978f39592247293d97fe8e3bcb7172a0d264df48ed2d8d,c2121affe81a3c07557648180eb3f26935fd9a7ba265af7827f7944e8c44b55c,20270339e3b2989efbf5573bf24517aeb86ec7cadab87ebc56931063421cefa4,c15151c57250c9ffd47f063c0a9d714aeb847569eeb1475fae0026f93d25ee49,e09df02854a9a20281fdfc01660bd198ed6fcec1bfff59abf8e8221d22491b65,b5e1cc6e27e50b5025b019e285a43aad9bb9fb5c25650726dabc393176ed0776,d0049db47bbcb0233bc2ce1cf7db2d1136ab6666175a856d3fc006f15f9e33fe
"6","22","8","7","5","-1","1","53003","10001"
"6","22","4","7","5","-1","1","53002","10002"
"5","22","6","6","4","5","1","53003","10101"
"5","22","5","6","4","5","1","53002","10102"
"4","22","5","5","3","4","1","53003","10201"
"4","22","5","5","3","4","1","53002","10202"
"3","22","4","4","3","3","1","53003","10301"
"3","22","3","4","3","3","1","53002","10302"
"2","22","3","3","2","2","1","53003","10401"
"2","22","2","3","2","2","1","53002","10402"
"1","22","2","2","1","1","1","53003","10501"
"1","22","1","2","1","1","1","53002","10502"
"0","22","2","1","1","0","1","53002","10601"
"6","22","8","7","5","-1","2","53003","10701"
"6","22","4","7","5","-1","2","53002","10702"
"5","22","6","6","4","5","2","53003","10801"
"5","22","5","6","4","5","2","53002","10802"
"4","22","5","5","3","4","2","53003","10901"
"4","22","5","5","3","4","2","53002","10902"
"3","22","4","4","3","3","2","53003","11001"
"3","22","3","4","3","3","2","53002","11002"
"2","22","3","3","2","2","2","53003","11101"
"2","22","2","3","2","2","2","53002","11102"
"1","22","2","2","1","1","2","53003","11201"
"1","22","1","2","1","1","2","53002","11202"
"0","22","2","1","1","0","2","53002","11301"
"6","22","8","7","5","-1","3","53003","11401"
"6","22","4","7","5","-1","3","53002","11402"
"5","22","6","6","4","5","3","53003","11501"
"5","22","5","6","4","5","3","53002","11502"
"4","22","5","5","3","4","3","53003","11601"
"4","22","5","5","3","4","3","53002","11602"
"3","22","4","4","3","3","3","53003","11701"
"3","22","3","4","3","3","3","53002","11702"
"2","22","3","3","2","2","3","53003","11801"
"2","22","2","3","2","2","3","53002","11802"
"1","22","2","2","1","1","3","53003","11901"
"1","22","1","2","1","1","3","53002","11902"
"0","22","2","1","1","0","3","53002","12001"
"6","22","8","7","5","-1","4","53003","12101"
"6","22","4","7","5","-1","4","53002","12102"
"5","22","6","6","4","5","4","53003","12201"
"5","22","5","6","4","5","4","53002","12202"
"4","22","5","5","3","4","4","53003","12301"
"4","22","5","5","3","4","4","53002","12302"
"3","22","4","4","3","3","4","53003","12401"
"3","22","3","4","3","3","4","53002","12402"
"2","22","3","3","2","2","4","53003","12501"
"2","22","2","3","2","2","4","53002","12502"
"1","22","2","2","1","1","4","53003","12601"
"1","22","1","2","1","1","4","53002","12602"
"0","22","2","1","1","0","4","53002","12701"
"6","22","8","7","5","-1","5","53003","12801"
"6","22","4","7","5","-1","5","53002","12802"
"5","22","6","6","4","5","5","53003","12901"
"5","22","5","6","4","5","5","53002","12902"
"4","22","5","5","3","4","5","53003","13001"
"4","22","5","5","3","4","5","53002","13002"
"3","22","4","4","3","3","5","53003","13101"
"3","22","3","4","3","3","5","53002","13102"
"2","22","3","3","2","2","5","53003","13201"
"2","22","2","3","2","2","5","53002","13202"
"1","22","2","2","1","1","5","53003","13301"
"1","22","1","2","1","1","5","53002","13302"
"0","22","2","1","1","0","5","53002","13401"
"6","22","8","7","5","-1","6","53003","13501"
"6","22","4","7","5","-1","6","53002","13502"
"5","22","6","6","4","5","6","53003","13601"
"5","22","5","6","4","5","6","53002","13702"
"4","22","5","5","3","4","6","53003","13801"
"4","22","5","5","3","4","6","53002","13902"
"3","22","4","4","3","3","6","53003","14001"
"3","22","3","4","3","3","6","53002","14002"
"2","22","3","3","2","2","6","53003","14101"
"2","22","2","3","2","2","6","53002","14102"
"1","22","2","2","1","1","6","53003","14201"
"1","22","1","2","1","1","6","53002","14202"
"0","22","2","1","1","0","6","53002","14301"
