de0c804a0b14abd056f701b14688e3c8b3c21a3c8c5e1ce7de575168a771d253,b61297f54e6b177bb1b4c86a63fcce05022ab873fcd26e37938fe14529477837,4e76fabf13fad3e28784c3e6b7551e3fd4403e915e60bb496208ffea20a2bc4e,fd781b8538eaa9ef4544570e1841751e4c166ced8d5a391fd1189da60adce536,60d36de850525f6fb5767927ca0f95c8bc2ff250398431482b84711a3f396acb,71137e375bb90bf4d503a05d66bfe499cc37f35febebbe58bcd204708841a089,4429c130e3ebc9d0069ca793d522fa7cff5b529299b71e0eeea10671e65bb041,d653a32826bdd5486854285be078cea937b6be66e6e9575084c4e03defa81bc0,c6f7689ccaf6a6a7c01b9b0466fc69ccee80f688e094675346e0099bd88cd3b2,d3860c8e6afc790058df97e5d446d71da082f3301cfea9f54b663452f9f2dfe1,db2b1fe06e621b7d6204bcf626644d32ddc2e118c9c7742af7872dae50d32fb4
"1015","","","","","","","星","","",""
"1019","","","","","","","愛","白","","衣"
"1020","","","","","","綠","","","",""
"1021","","","","","","","普","","",""
"1070","","","","","","","","","K",""
"1071","","","","","","","短","","",""
"1079","","","","","","","順","","",""
"1080","","","","","","","七八九","","",""
"1131","","","","","","","H","","",""
"1196","","","","","","U","","U","",""
"1229","","","","","","","","","","跆"
"1242","","","","","","","三五七","","",""
"1244","一","","","","","","二","","",""
"2002","","房","","紅","磚塊","","","","",""
"2011","蓑","","","","","笠","","","",""
"2012","","","","","","五","南","","",""
"2024","三五八九","","","","","","","","",""
"2031","","","","","","E","S","","",""
"2032","AE","","","","","","","","",""
"2033","","","","","","A","","R","",""
"2034","","","","","","E","","I","",""
"2036","","","","","","UA","","R","",""
"2037","Y","","","","","E","","L","E",""
"2038","I","","","","","E","","L","V",""
"2040","","","","","","L","","I","",""
"2041","","","","","","","","A","",""
"2042","","","","","","","Y","","",""
"2043","","","","","","","K","A","",""
"2045","","","","","","","","A","",""
"2046","","","","","","","Q","R","",""
"2047","","","","","","A","","R","",""
"2048","","","","","","","KQ","A","",""
"2049","","","","","","B","","","",""
"2050","T","","","","","U","","A","",""
"2052","P","","","","","EI","","C","",""
"2053","T","","","","","I","","A","",""
"2054","S","R","O","W","E","","","","","P"
"2055","","","","","","","","R","",""
"2056","","","","","","V","","","",""
"2058","","","","","","","","WU","",""
