607d0decb85566b5c5d2783f24262f30537bd1d74290c43dab5401e6490c5b93,9f667d629bfbf51cfe282e39e6a917992aeedd9b631852f37a34a9813489d0e0,90c5da8ce045a1d97834800e331eeab0d1830a8850ab32a0a3d589bd2a31a6c7,d13e1eb6a46f6ae9c0420494898e7f612fe5472a1cc25df934ada3aac883b867,3e155f35dccab228607dc8774fa21ea4fac8d3e7af487dbef97349bb263396c0,605d15390e95ed39174c1cd1abfd97ed6af3c47244cf909145bf6af53dea2fd5
"0","1","10","1","150","150"
"0","1","10","2","250","400"
"0","1","10","3","400","800"
"0","2","20","1","150","150"
"0","2","20","2","250","400"
"0","2","20","3","400","800"
"1","2","20","4","500","1300"
"0","3","30","1","800","800"
"0","3","30","2","1000","1800"
"0","3","30","3","1200","3000"
"1","3","30","4","1400","4400"
"2","3","30","5","1600","6000"
"0","4","40","1","800","800"
"0","4","40","2","1000","1800"
"0","4","40","3","1200","3000"
"1","4","40","4","1400","4400"
"2","4","40","5","1600","6000"
"0","5","0","0","0","0"
