86d05296f09021389c2990f56e8b572538c9ca2f6593bcdf9563f5876a2206c7,ec50d93bc9ecddcd695ad3650305cadbd3a0fb8697419a419f4e2e8d35cdefa9,e3bf0cc82a4612ef243ea864038dc71f9c342fe4a3be80f8b734b8308e080b34,9b8d561a78e00d7189434185a44e92e44882efe419b1461f277a6bc9971a07be,5ac0f3efb110d62e476457677520c776691f645cba8a69872832f3f90dd38567,49d8e835f52d56220d588f39816b05c35cd1ed6696abeb3eeefa1448d8b5b333,d4a54feed537868a1cbf91e354cc67c6425ec8be66949d75ca1f673f62ee63db
"180010112","180010113","59","1","180010111","18001001","1"
"180010212","180010213","99","2","180010211","18001001","60"
"180010312","180010313","119","3","180010311","18001001","100"
"180010412","180010413","139","4","180010411","18001001","120"
"180010512","180010513","149","5","180010511","18001001","140"
"180010612","180010613","159","6","180010611","18001001","150"
"180010712","180010713","169","7","180010711","18001001","160"
"180010812","180010813","-1","8","180010811","18001001","170"
"180010122","180010123","59","9","180010121","18001002","1"
"180010222","180010223","99","10","180010221","18001002","60"
"180010322","180010323","119","11","180010321","18001002","100"
"180010422","180010423","139","12","180010421","18001002","120"
"180010522","180010523","149","13","180010521","18001002","140"
"180010622","180010623","159","14","180010621","18001002","150"
"180010722","180010723","169","15","180010721","18001002","160"
"180010822","180010823","-1","16","180010821","18001002","170"
"180010132","180010133","59","17","180010131","18001003","1"
"180010232","180010233","99","18","180010231","18001003","60"
"180010332","180010333","119","19","180010331","18001003","100"
"180010432","180010433","139","20","180010431","18001003","120"
"180010532","180010533","149","21","180010531","18001003","140"
"180010632","180010633","159","22","180010631","18001003","150"
"180010732","180010733","169","23","180010731","18001003","160"
"180010832","180010833","-1","24","180010831","18001003","170"
"180010142","180010143","59","25","180010141","18001004","1"
"180010242","180010243","99","26","180010241","18001004","60"
"180010342","180010343","119","27","180010341","18001004","100"
"180010442","180010443","139","28","180010441","18001004","120"
"180010542","180010543","149","29","180010541","18001004","140"
"180010642","180010643","159","30","180010641","18001004","150"
"180010742","180010743","169","31","180010741","18001004","160"
"180010842","180010843","179","32","180010841","18001004","170"
"180010942","180010943","189","33","180010941","18001004","180"
"180011042","180011043","199","34","180011041","18001004","190"
"180011142","180011143","-1","35","180011141","18001004","200"
"180010152","180010153","59","36","180010151","18001005","1"
"180010252","180010253","99","37","180010251","18001005","60"
"180010352","180010353","119","38","180010351","18001005","100"
"180010452","180010453","139","39","180010451","18001005","120"
"180010552","180010553","149","40","180010551","18001005","140"
"180010652","180010653","159","41","180010651","18001005","150"
"180010752","180010753","169","42","180010751","18001005","160"
"180010852","180010853","179","43","180010851","18001005","170"
"180010952","180010953","189","44","180010951","18001005","180"
"180011052","180011053","199","45","180011051","18001005","190"
"180011152","180011153","209","46","180011151","18001005","200"
"180011252","180011253","219","47","180011251","18001005","210"
"180011352","180011353","229","48","180011351","18001005","220"
"180011452","180011453","239","49","180011451","18001005","230"
"180011552","180011553","-1","50","180011551","18001005","240"
"180010162","180010163","59","51","180010161","18001006","1"
"180010262","180010263","99","52","180010261","18001006","60"
"180010362","180010363","119","53","180010361","18001006","100"
"180010462","180010463","139","54","180010461","18001006","120"
"180010562","180010563","149","55","180010561","18001006","140"
"180010662","180010663","159","56","180010661","18001006","150"
"180010762","180010763","169","57","180010761","18001006","160"
"180010862","180010863","179","58","180010861","18001006","170"
"180010962","180010963","189","59","180010961","18001006","180"
"180011062","180011063","199","60","180011061","18001006","190"
"180011162","180011163","209","61","180011161","18001006","200"
"180011262","180011263","219","62","180011261","18001006","210"
"180011362","180011363","229","63","180011361","18001006","220"
"180011462","180011463","239","64","180011461","18001006","230"
"180011562","180011563","249","65","180011561","18001006","240"
"180011662","180011663","259","66","180011661","18001006","250"
"180011762","180011763","-1","67","180011761","18001006","260"
"180010172","180010173","59","68","180010171","18001007","1"
"180010272","180010273","99","69","180010271","18001007","60"
"180010372","180010373","119","70","180010371","18001007","100"
"180010472","180010473","139","71","180010471","18001007","120"
"180010572","180010573","149","72","180010571","18001007","140"
"180010672","180010673","159","73","180010671","18001007","150"
