ed6bbeb9dcd0c4dd9f6483bcdd8e264d6370b955f9aa92c1375743e82acb11a7,ad11a2af4c6f4458adedb680b0a0f992f0263fe69c76b03af276683383da5177,c95edd4046944074f8094bd32471ff850dc190ad890f8e895403152c6f3a453d
"裝備中","106101","平常時"
"特殊技","106701","平常時"
"權能解放中","106801","平常時"
"特殊技","106901","平常時"
"變身中","115801","平常時"
"特殊技","116401","平常時"
"特殊技能","118201","平常時"
"特殊技","118501","平常時"
"特殊技能","118601","平常時"
"初次發動時","120801","平常時"
"特殊技","122001","平常時"
"共鬥中","122301","平常時"
"特殊技","122701","平常時"
"特殊技","123001","平常時"
"共鬥中","125001","平常時"
"特殊技能","125801","平常時"
"特殊技能","126001","平常時"
"特殊技能","126101","平常時"
"特殊技能","126201","平常時"
"【蓄電滿載】中","126401","平常時"
"特殊技能","126501","平常時"
"特殊技能","129001","平常時"
"特殊技能","129301","平常時"
"特殊技能","129401","平常時"
"初次發動時","129501","平常時"
"特殊技能","129601","平常時"
"特殊技能","129701","平常時"
"特殊技能","130001","平常時"
"特殊技能","130101","平常時"
"特殊技能","131201","平常時"
"特殊技能","131801","平常時"
"特殊技能","132001","平常時"
"鬼化中","132101","平常時"
"初次發動時","132901","平常時"
"特殊技能","133101","平常時"
"召喚物技能","133801","平常時"
"特殊技能","134501","平常時"
"特殊技能","181201","平常時"
