a3785f6c777546a3f1d6959693cb25c8cadadbebb1f6f00524a35c90fa48f17f,4c1fdd0ba452e597c0ab9bf85ad6e21c89af064977f7aeb64e9b49d273bec4a3,2f341ef2501eaac6127e024c085d423a606b727e661420d7bbcb6c1131ce10b7,ec48cf1672cd2887a990728e51c0d7bebc5e0c31e4a1a03efa8f4d4b58434731,f71f564a003087db90fb064f007c2dde1ea6d7e3bf3c2f28db3fb99cf4f9004b,e73739cf222898fb2b1d572af3cb9d2186804376666c9c54fbb5feade80795f4,6556880f30e7341b9ab5991753e585bee271ec4a82017373cb2e9a3d07d84a28,fa7a5caf1c8eddf93e8d0b30e9ee4c6f44dedb26db37884289e5aecc93de5715,a88e7f6ba45510af2afabf0cf02642dc7e39d2b7aac45046f2f43947858f22e9,f5a24e406a84120a39799bd140f31ac30eb8e74f4e6356900720753dbad5e20b,929bc26c398fc28d2b7a20492418dc6ddde68eb56ac17ee672e4d99d22513c07,0194f2662be24d7e0eaec24ec648c353a4c5569e5ffeeda8039ab8a60ccc6a0b,75888acf3a3190674f7367a12f8f1418faf6d2cdfd1a0e48f72b4c0636b825d8,0ece0b97679daf992a0d547be824b2fee555bb6136cbc50e842a39eac23b0514,bc975d697a7226ffdd6afb6fe6e65b15c4a8c7aedb8d22a828eada17747cc65a
"0","924070100","924073001","6","924072001","8","90","92407020","0","前哨冒險","92407010","96","1","25","92407"
"92407010","924070200","924073002","6","924072002","8","90","92407030","0","前哨冒險","92407020","96","2","25","92407"
"92407020","924070300","924073003","6","924072003","8","90","0","0","前哨冒險","92407030","96","3","25","92407"
"0","924080100","924083001","25","924082001","25","90","92408020","0","前哨冒險","92408010","540","1","25","92408"
"92408010","924080200","924083002","25","924082002","25","90","92408030","0","前哨冒險","92408020","540","2","25","92408"
"92408020","924080300","924083003","25","924082003","25","90","0","0","前哨冒險","92408030","540","3","25","92408"
"0","924090100","924093001","25","924092001","25","90","92409020","0","前哨冒險","92409010","540","1","25","92409"
"92409010","924090200","924093002","25","924092002","25","90","92409030","0","前哨冒險","92409020","540","2","25","92409"
"92409020","924090300","924093003","25","924092003","25","90","0","0","前哨冒險","92409030","540","3","25","92409"
"0","924100100","924103001","25","924102001","25","90","92410020","0","前哨冒險","92410010","540","1","25","92410"
"92410010","924100200","924103002","25","924102002","25","90","92410030","0","前哨冒險","92410020","540","2","25","92410"
"92410020","924100300","924103003","25","924102003","25","90","0","0","前哨冒險","92410030","540","3","25","92410"
