c5deefb5fb3e39dcf95053610d7819744a1f09eaf717760e29836f1476b79cc9,ae612170cc4dda4c7da25ff71293232caf727ee549604e2d955dfb603dd0502c,59cb55e879fb36a269dd542c294eeac2622bc7042314ce8768472ec60ab5b5b0,0c2513a7a9c6354a063d70fc5928e7ee96a77ea9ca2025a5906cb750fc81b399,121ccc2fdec48d496edda6066ba98281887d38115311ed17427c299236a71611,b56d6d81a89e494f9113e0ced4f945d67650acbdfda00cb823751711cf4a5182
"10011","0","0","0","100112","100111"
"10012","100124","100123","100125","100122","100121"
"10013","100134","100133","100135","100132","100131"
"10021","0","0","0","0","100211"
"10022","0","0","0","0","100221"
"10023","0","0","0","100232","100231"
"10031","0","0","0","0","100311"
"10032","0","0","0","0","100321"
"10033","100334","100333","100335","100332","100331"
"10041","0","0","0","100412","100411"
"10042","0","0","0","100422","100421"
"10043","0","0","0","100432","100431"
"10051","0","0","0","0","100511"
"10052","100524","100523","100525","100522","100521"
"10053","100534","100533","100535","100532","100531"
"11001","0","0","0","0","110011"
"11002","0","0","0","0","110021"
"11003","0","0","0","0","110031"
"11004","0","0","0","0","110041"
"11005","0","0","0","0","110051"
"12001","0","0","0","0","120011"
"12002","0","0","0","0","120021"
"12003","0","0","0","0","120031"
"12004","0","0","0","0","120041"
"12005","0","0","0","0","120051"
"13001","0","0","0","0","130011"
"13002","0","0","0","130022","130021"
"13003","0","0","0","0","130031"
"13004","0","0","0","130042","130041"
"13005","0","0","0","0","130051"
"14001","0","0","0","0","140011"
"14002","0","0","0","0","140021"
"14003","0","0","0","0","140031"
"14004","0","0","0","140042","140041"
"14005","0","0","0","140052","140051"
"15001","0","0","0","0","150011"
"15002","0","0","0","0","150021"
"15003","150034","150033","150035","150032","150031"
"15004","150044","150043","150045","150042","150041"
"15005","0","0","0","0","150051"
"21001","0","0","0","0","210011"
"21002","0","0","0","0","210021"
"21003","0","0","0","0","210031"
"21004","0","0","0","0","210041"
"21005","0","0","0","0","210051"
"22001","0","0","0","0","220011"
"22002","0","0","0","0","220021"
"22003","0","0","0","0","220031"
"22004","0","0","0","0","220041"
"22005","0","0","0","0","220051"
"23001","0","0","0","0","230011"
"23002","0","0","0","230022","230021"
"23003","0","0","0","0","230031"
"23004","0","0","0","230042","230041"
"23005","0","0","0","0","230051"
"24001","0","0","0","0","240011"
"24002","0","0","0","0","240021"
"24003","0","0","0","0","240031"
"24004","0","0","0","240042","240041"
"24005","0","0","0","240052","240051"
"25001","0","0","0","0","250011"
"25002","0","0","0","0","250021"
"25003","250034","250033","250035","250032","250031"
"25004","250044","250043","250045","250042","250041"
"25005","0","0","0","0","250051"
"30001","0","0","0","0","300011"
"31001","0","0","0","0","310011"
"31002","0","0","0","0","310021"
"31003","0","0","0","0","310031"
"31004","0","0","0","0","310041"
"31005","0","0","0","0","310051"
"31006","0","0","0","0","310061"
"32001","0","0","0","0","320011"
"32002","0","0","0","0","320021"
"32003","0","0","0","0","320031"
"32004","0","0","0","0","320041"
"32005","0","0","0","0","320051"
"32006","0","0","0","0","320061"
"33001","0","0","0","0","330011"
"33002","0","0","0","330022","330021"
"33003","0","0","0","0","330031"
"33004","0","0","0","330042","330041"
"33005","0","0","0","0","330051"
"33006","0","0","0","330062","330061"
"34001","0","0","0","0","340011"
"34002","0","0","0","0","340021"
"34003","0","0","0","0","340031"
"34004","0","0","0","340042","340041"
"34005","0","0","0","340052","340051"
"34006","0","0","0","0","340061"
"35001","0","0","0","0","350011"
"35002","0","0","0","0","350021"
"35003","350034","350033","350035","350032","350031"
"35004","350044","350043","350045","350042","350041"
"35005","0","0","0","0","350051"
"35006","0","0","0","0","350061"
"40001","0","400013","0","400012","400011"
"40002","0","0","0","0","400021"
"40003","0","0","0","0","400031"
"40004","400044","400043","0","400042","400041"
"40005","0","0","0","0","400051"
"50001","0","0","0","500012","500011"
"50002","0","0","0","0","500021"
"50003","0","0","0","0","500031"
"50004","0","0","0","0","500041"
"50005","0","0","0","0","500051"
