d40eb0d2fcd7aa0fa25281cb4da32e8db871a29fe54a0df98768d0e292a01303,2a60d11788bdf52287c7a8aedf5824608ef7a6c61dae068866a36c5e1345b7e2,c587462eaeb580ae031bc2cf508a65db365e2055e49bb74421893b77b2887f39,aa9757625ef65a71aa60c798415109870c5e80b4cdad8f1900980fa6468a711f,8f4e7d47fd9c9245e5c056018568669656fc817e7e4fc90baff4331d2160aa3b,f0ec59ecae04f0504b7520891d23a5becbc88105b4e0e4b1372f02c56edab337,1b9f3b827ceff47c022e42c7321e1f160eb02b4e1803bc6a4d0960023c8e0575
"0","50","50","0","9999999","1","1"
"0","20","80","0","9999999","2","2"
"0","70","30","0","2000","3","3"
"0","30","40","30","5000","4","3"
"20","0","40","40","10000","5","3"
"30","0","30","40","15000","6","3"
"35","0","25","40","20000","7","3"
"40","0","20","40","25000","8","3"
"45","0","15","40","30000","9","3"
"50","0","10","40","35000","10","3"
"55","0","10","35","40000","11","3"
"60","0","5","35","45000","12","3"
"65","0","5","30","50000","13","3"
"70","0","0","30","55000","14","3"
"75","0","0","25","60000","15","3"
"80","0","0","20","65000","16","3"
"85","0","0","15","70000","17","3"
"90","0","0","10","75000","18","3"
"95","0","0","5","80000","19","3"
"100","0","0","0","9999999","20","3"
